"source","old_relation","old_target","raw_label","existing_clean_edges","bauwerksteil_decision","suggested_target","suggested_relation","database_change","rationale","legacy_path"
"reuse_einsatz/ELYS_Kultur_Gewerbehaus_Basel__007__Garagentor","has_bauteiltyp","bauteiltyp/Bauwerksteil","Garagentor","installed_in_bauobjekt->bauobjekt/ELYS_Kultur_Gewerbehaus_Basel; uses_material->material/Glas","candidate_precise_component","bauteiltyp/Tuer","has_bauteiltyp","none","Garagentor is a door/gate component, not a whole Bauwerksteil.","Gebäude\ELYS_Kultur_Gewerbehaus_Basel.md"
"reuse_einsatz/Grande_Halle_de_Colombelles__011__Bestand_Betonstruktur","has_bauteiltyp","bauteiltyp/Bauwerksteil","Bestand-Betonstruktur","installed_in_bauobjekt->bauobjekt/Grande_Halle_de_Colombelles; uses_material->material/Beton; uses_material->material/Stahl","candidate_structural_system","tragwerkstyp/Ortbetontragwerk; tragwerksprinzip/Skeletttragwerk","has_tragwerkstyp; has_tragwerksprinzip","none","Concrete frame/structure is structural-system scale.","Gebäude\Grande_Halle_de_Colombelles.md"
"reuse_einsatz/Holbein_Gardens_London__003__bestehender_Betonrahmen","has_bauteiltyp","bauteiltyp/Bauwerksteil","bestehender Betonrahmen","installed_in_bauobjekt->bauobjekt/Holbein_Gardens_London; uses_material->material/Beton; uses_material->material/Stahl","candidate_structural_system","tragwerkstyp/Ortbetontragwerk; tragwerksprinzip/Skeletttragwerk","has_tragwerkstyp; has_tragwerksprinzip","none","Concrete frame/structure is structural-system scale.","Gebäude\Holbein_Gardens_London.md"
"reuse_einsatz/House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain__004__Retained_1990s_concrete_frame_TBC","has_bauteiltyp","bauteiltyp/Bauwerksteil","Retained 1990s concrete frame TBC","installed_in_bauobjekt->bauobjekt/House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain; uses_material->material/Beton","candidate_structural_system","tragwerkstyp/Ortbetontragwerk; tragwerksprinzip/Skeletttragwerk","has_tragwerkstyp; has_tragwerksprinzip","none","Concrete frame/structure is structural-system scale.","Gebäude\House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md"
"reuse_einsatz/Recyclinghaus_Hannover__013__Rohbau","has_bauteiltyp","bauteiltyp/Bauwerksteil","Rohbau","installed_in_bauobjekt->bauobjekt/Recyclinghaus_Hannover; uses_material->material/Holz","candidate_structural_system","tragwerkstyp/*","has_tragwerkstyp","none","Rohbau is object/system scale; exact structure must be checked.","Gebäude\Recyclinghaus_Hannover.md"
"reuse_einsatz/Ferme_du_Rail_Paris__011__Holz_Strohbau","has_bauteiltyp","bauteiltyp/Bauwerksteil","Holz-/Strohbau","installed_in_bauobjekt->bauobjekt/Ferme_du_Rail_Paris; uses_material->material/Holz; uses_material->material/Stroh","case_context_required","bauweise/*; material/Holz; material/Stroh","has_bauweise; uses_material","none","Holz-/Strohbau is construction/material context, not a component type.","Gebäude\Ferme_du_Rail_Paris.md"
"reuse_einsatz/Impact_Hub_Berlin_CRCLR_Fitout__006__Holzgalerie","has_bauteiltyp","bauteiltyp/Bauwerksteil","Holzgalerie","installed_in_bauobjekt->bauobjekt/Impact_Hub_Berlin_CRCLR_Fitout; uses_material->material/Holz","case_context_required","bauobjekt/* or precise bauteiltyp/*","relates_to_bauobjekt or has_bauteiltyp","none","Could be object-scale or component-scale depending on source context.","Gebäude\Impact_Hub_Berlin_CRCLR_Fitout.md"
"reuse_einsatz/CRCLR_House_Impact_Hub_Berlin__006__Holzgalerie_Innenausbau","has_bauteiltyp","bauteiltyp/Bauwerksteil","Holzgalerie / Innenausbau","has_bauteiltyp->bauteiltyp/Innenausbau; installed_in_bauobjekt->bauobjekt/CRCLR_House_Impact_Hub_Berlin; uses_material->material/Holz","case_context_required","bauobjekt/* or precise bauteiltyp/*","relates_to_bauobjekt or has_bauteiltyp","none","Could be object-scale or component-scale depending on source context.","Gebäude\CRCLR_House_Impact_Hub_Berlin.md"
"reuse_einsatz/Maison_DnA_Asse__003__innere_Box","has_bauteiltyp","bauteiltyp/Bauwerksteil","innere Box","installed_in_bauobjekt->bauobjekt/Maison_DnA_Asse; uses_material->material/Holz","case_context_required","bauobjekt/* or precise bauteiltyp/*","relates_to_bauobjekt or has_bauteiltyp","none","Could be object-scale or component-scale depending on source context.","Gebäude\Maison_DnA_Asse.md"
"reuse_einsatz/Big_Dig_House_Lexington_Massachusetts__004__Ramp_pier_components","has_bauteiltyp","bauteiltyp/Bauwerksteil","Ramp / pier components","installed_in_bauobjekt->bauobjekt/Big_Dig_House_Lexington_Massachusetts; uses_material->material/Beton; uses_material->material/Stahl","case_context_required","bauobjekt/* or precise bauteiltyp/*","relates_to_bauobjekt or has_bauteiltyp","none","Could be object-scale or component-scale depending on source context.","Gebäude\Big_Dig_House_Lexington_Massachusetts.md"
"reuse_einsatz/Superlocal_Expogebouw_Bleijerheide__001__Wohnungsteile_Betonunits","has_bauteiltyp","bauteiltyp/Bauwerksteil","Wohnungsteile / Betonunits","has_bauteiltyp->bauteiltyp/Betonfertigteil; installed_in_bauobjekt->bauobjekt/Superlocal_Expogebouw_Bleijerheide; uses_material->material/Beton; uses_material->material/Stahl","case_context_required","bauobjekt/* or precise bauteiltyp/*","relates_to_bauobjekt or has_bauteiltyp","none","Could be object-scale or component-scale depending on source context.","Gebäude\Superlocal_Expogebouw_Bleijerheide.md"
"reuse_einsatz/Juch_Areal_Recyclingzentrum_Zuerich__006__Betriebsgeb_ude","has_bauteiltyp","bauteiltyp/Bauwerksteil","Betriebsgebäude","installed_in_bauobjekt->bauobjekt/Juch_Areal_Recyclingzentrum_Zuerich","keep_review_resolve_scale","","","none","Bauwerksteil is too broad; decide whether this is object scale, structural system, or precise component.","Gebäude\Juch_Areal_Recyclingzentrum_Zuerich.md"
"reuse_einsatz/Europa_Building_Brussels__002__Glas_Stahlw_rfel","has_bauteiltyp","bauteiltyp/Bauwerksteil","Glas-/Stahlwürfel","installed_in_bauobjekt->bauobjekt/Europa_Building_Brussels; uses_material->material/Glas; uses_material->material/Stahl","keep_review_resolve_scale","","","none","Bauwerksteil is too broad; decide whether this is object scale, structural system, or precise component.","Gebäude\Europa_Building_Brussels.md"
"reuse_einsatz/Timber_Square_London__003__Retained_Print_Building_structure","has_bauteiltyp","bauteiltyp/Bauwerksteil","Retained Print Building structure","installed_in_bauobjekt->bauobjekt/Timber_Square_London; uses_material->material/Beton; uses_material->material/Stahl","keep_review_resolve_scale","","","none","Bauwerksteil is too broad; decide whether this is object scale, structural system, or precise component.","Gebäude\Timber_Square_London.md"
"reuse_einsatz/Verbiest_Karreveld_Brussels__013__Verbiest_Industriegew_chshaus","has_bauteiltyp","bauteiltyp/Bauwerksteil","Verbiest Industriegewächshaus","installed_in_bauobjekt->bauobjekt/Verbiest_Karreveld_Brussels; uses_material->material/Glas; uses_material->material/Stahl","keep_review_resolve_scale","","","none","Bauwerksteil is too broad; decide whether this is object scale, structural system, or precise component.","Gebäude\Verbiest_Karreveld_Brussels.md"
"reuse_einsatz/Lycee_Michel_Lucius_Conversion_Luxembourg__011__Bestand_Block_6000","has_bauteiltyp","bauteiltyp/Bauwerksteil","Bestand Block 6000","installed_in_bauobjekt->bauobjekt/Lycee_Michel_Lucius_Conversion_Luxembourg; uses_material->material/Holz","object_scale_not_component","bauobjekt/* or bauobjekt_beteiligung/*","relates_to_bauobjekt","none","The raw label points to a building, object, or object part; do not model as bauteiltyp.","Gebäude\Lycee_Michel_Lucius_Conversion_Luxembourg.md"
