"source","relation","target","raw_label","existing_clean_edges","legacy_path","proposed_action","proposed_target","proposed_relation","proposal_confidence","reviewer_note"
"reuse_einsatz/BlueCity_Offices_Rotterdam__004__Balustraden","has_bauteiltyp","bauteiltyp/Bruestung","Balustraden","belongs_to_fallstudie->fallstudie/BlueCity_Offices_Rotterdam; belongs_to_projekt->projekt/BlueCity_Offices_Rotterdam; installed_in_bauobjekt->bauobjekt/BlueCity_Offices_Rotterdam","Gebäude\BlueCity_Offices_Rotterdam.md","candidate_move","bauteiltyp/Gelaender","has_bauteiltyp","CONFIDENT_IF_SOURCE_CLEAR","Guardrail/balustrade should normalize to Gelaender."
"reuse_einsatz/BedZED_London_Hackbridge__005__Ger_strohre_als_Rampen_Gel_nder_Balustraden","has_bauteiltyp","bauteiltyp/Bruestung","Gerüstrohre als Rampen/Geländer/Balustraden","belongs_to_fallstudie->fallstudie/BedZED_London_Hackbridge; belongs_to_projekt->projekt/BedZED_London_Hackbridge; has_bauteiltyp->bauteiltyp/Gelaender; has_bauteiltyp->bauteiltyp/Technik_TGA; installed_in_bauobjekt->bauobjekt/BedZED_London_Hackbridge; uses_material->material/Stahl","Gebäude\BedZED_London_Hackbridge.md","candidate_move","bauteiltyp/Gelaender","has_bauteiltyp","CONFIDENT_IF_SOURCE_CLEAR","Guardrail/balustrade should normalize to Gelaender."
"reuse_einsatz/Hastings_Pier_Visitor_Centre__005__Pier_Balustraden_Deck","has_bauteiltyp","bauteiltyp/Bruestung","Pier-Balustraden / Deck","belongs_to_fallstudie->fallstudie/Hastings_Pier_Visitor_Centre; belongs_to_projekt->projekt/Hastings_Pier_Visitor_Centre; has_bewertungslogik_abgrenzung->bewertungslogik_abgrenzung/Bestandserhalt_Nicht_Direct_Reuse; installed_in_bauobjekt->bauobjekt/Hastings_Pier_Visitor_Centre; uses_material->material/Holz; uses_material->material/Stahl","Gebäude\Hastings_Pier_Visitor_Centre.md","candidate_move","bauteiltyp/Gelaender","has_bauteiltyp","CONFIDENT_IF_SOURCE_CLEAR","Guardrail/balustrade should normalize to Gelaender."
"reuse_einsatz/Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot__003__Br_stungen_parapets","has_bauteiltyp","bauteiltyp/Bruestung","Brüstungen / parapets","belongs_to_fallstudie->fallstudie/Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot; belongs_to_projekt->projekt/Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot; has_huerde->huerde/Bruch_Beschaedigungsrisiko; installed_in_bauobjekt->bauobjekt/Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot; uses_material->material/Beton; uses_material->material/Stahl","Gebäude\Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot.md","candidate_move_or_review","bauteiltyp/Gelaender or bauteiltyp/Fassade","has_bauteiltyp","REVIEW","BrÃ¼stung/parapet can be guardrail, facade edge, or wall element."
"reuse_einsatz/ELYS_Kultur_Gewerbehaus_Basel__006__Gitterroste_Br_stungsgitter","has_bauteiltyp","bauteiltyp/Bruestung","Gitterroste / Brüstungsgitter","belongs_to_fallstudie->fallstudie/ELYS_Kultur_Gewerbehaus_Basel; belongs_to_projekt->projekt/ELYS_Kultur_Gewerbehaus_Basel; has_bauteiltyp->bauteiltyp/Gitterrost; has_huerde->huerde/Datenluecke; installed_in_bauobjekt->bauobjekt/ELYS_Kultur_Gewerbehaus_Basel; uses_material->material/Stahl","Gebäude\ELYS_Kultur_Gewerbehaus_Basel.md","candidate_split","bauteiltyp/Gitterrost; bauteiltyp/Gelaender","has_bauteiltyp","REVIEW","Could be grating used as guardrail; verify component function."
"reuse_einsatz/Superlocal_Expogebouw_Bleijerheide__008__Br_stungen_Borstweringen","has_bauteiltyp","bauteiltyp/Bruestung","Brüstungen / Borstweringen","belongs_to_fallstudie->fallstudie/Superlocal_Expogebouw_Bleijerheide; belongs_to_projekt->projekt/Superlocal_Expogebouw_Bleijerheide; installed_in_bauobjekt->bauobjekt/Superlocal_Expogebouw_Bleijerheide; uses_material->material/Beton","Gebäude\Superlocal_Expogebouw_Bleijerheide.md","keep_review","","","REVIEW_REQUIRED","BrÃ¼stung needs functional context."
"reuse_einsatz/Kindergarten_Moeoeslistrasse_Manegg_Zuerich__005__Gel_nder_Br_stungsgel_nder","has_bauteiltyp","bauteiltyp/Bruestung","Geländer / Brüstungsgeländer","belongs_to_fallstudie->fallstudie/Kindergarten_Moeoeslistrasse_Manegg_Zuerich; belongs_to_projekt->projekt/Kindergarten_Moeoeslistrasse_Manegg_Zuerich; has_bauteiltyp->bauteiltyp/Gelaender; has_huerde->huerde/Entwurfsbindung; has_huerde->huerde/Kompatibilitaetsproblem; has_huerde->huerde/Toleranzen; installed_in_bauobjekt->bauobjekt/Kindergarten_Moeoeslistrasse_Manegg_Zuerich","Gebäude\Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md","keep_review","","","REVIEW_REQUIRED","BrÃ¼stung needs functional context."
"reuse_einsatz/Charles_Malis_Molenbeek__001__Bodenpflaster_Bruseleye_tiles","has_bauteiltyp","bauteiltyp/Fliese","Bodenpflaster / Bruseleye tiles","belongs_to_fallstudie->fallstudie/Charles_Malis_Molenbeek; belongs_to_projekt->projekt/Charles_Malis_Molenbeek; has_bauteiltyp->bauteiltyp/Boden; has_huerde->huerde/Materialqualitaet_Unklar; has_huerde->huerde/Mengenunsicherheit; installed_in_bauobjekt->bauobjekt/Charles_Malis_Molenbeek; uses_material->material/Keramik; uses_material->material/Naturstein","Gebäude\Charles_Malis_Molenbeek.md","candidate_move_or_split","bauteiltyp/Boden","has_bauteiltyp","REVIEW","Floor/terrace/paving context; material must be checked from source."
"reuse_einsatz/KA13_Kristian_Augusts_gate_13_Oslo__011__Innere_Oberfl_chen_Mosaikfliesen_Terrazzo","has_bauteiltyp","bauteiltyp/Fliese","Innere Oberflächen: Mosaikfliesen/Terrazzo","belongs_to_fallstudie->fallstudie/KA13_Kristian_Augusts_gate_13_Oslo; belongs_to_projekt->projekt/KA13_Kristian_Augusts_gate_13_Oslo; has_bauteiltyp->bauteiltyp/Boden; has_bewertungslogik_abgrenzung->bewertungslogik_abgrenzung/Bestandserhalt_Nicht_Direct_Reuse; has_bewertungslogik_abgrenzung->bewertungslogik_abgrenzung/Kein_Direct_Reuse_Nachweis; installed_in_bauobjekt->bauobjekt/KA13_Kristian_Augusts_gate_13_Oslo; uses_material->material/Keramik; uses_material->material/Naturstein","Gebäude\KA13_Kristian_Augusts_gate_13_Oslo.md","candidate_move_or_split","bauteiltyp/Boden","has_bauteiltyp","REVIEW","Floor/terrace/paving context; material must be checked from source."
"reuse_einsatz/Verbiest_Karreveld_Brussels__007__Verbiest_Terrassenfliesen","has_bauteiltyp","bauteiltyp/Fliese","Verbiest Terrassenfliesen","belongs_to_fallstudie->fallstudie/Verbiest_Karreveld_Brussels; belongs_to_projekt->projekt/Verbiest_Karreveld_Brussels; has_huerde->huerde/Aufbereitungsaufwand; installed_in_bauobjekt->bauobjekt/Verbiest_Karreveld_Brussels; uses_material->material/Naturstein","Gebäude\Verbiest_Karreveld_Brussels.md","candidate_move_or_split","bauteiltyp/Boden","has_bauteiltyp","REVIEW","Floor/terrace/paving context; material must be checked from source."
