"source","relation","old_target","new_target","raw_label","old_confidence","new_confidence","old_resolution_rule","new_resolution_rule"
"reuse_einsatz/Association_house_Groeditz__001__Au_enwand_Fertigteile","uses_material","material/Stahl","material/Stahlbeton","Stahlbetonfertigteil","rule_low","manual_high","material_reinforced_concrete_contains_stahl","manual_40a_stahlbeton_substring_fix"
"reuse_einsatz/Association_house_Groeditz__002__Innenwand_Fertigteile","uses_material","material/Stahl","material/Stahlbeton","Stahlbetonfertigteil","rule_low","manual_high","material_reinforced_concrete_contains_stahl","manual_40a_stahlbeton_substring_fix"
"reuse_einsatz/Association_house_Groeditz__003__Innenwandrahmen","uses_material","material/Stahl","material/Stahlbeton","Stahlbetonfertigteil","rule_low","manual_high","material_reinforced_concrete_contains_stahl","manual_40a_stahlbeton_substring_fix"
"reuse_einsatz/Association_house_Groeditz__004__Deckenelemente","uses_material","material/Stahl","material/Stahlbeton","Stahlbetonfertigteil","rule_low","manual_high","material_reinforced_concrete_contains_stahl","manual_40a_stahlbeton_substring_fix"
"reuse_einsatz/Association_house_Groeditz__005__Sockel_Plinthenplatten","uses_material","material/Stahl","material/Stahlbeton","Stahlbetonfertigteil","rule_low","manual_high","material_reinforced_concrete_contains_stahl","manual_40a_stahlbeton_substring_fix"
"reuse_einsatz/Association_house_Groeditz__006__Treppen","uses_material","material/Stahl","material/Stahlbeton","Stahlbetonfertigteil","rule_low","manual_high","material_reinforced_concrete_contains_stahl","manual_40a_stahlbeton_substring_fix"
"reuse_einsatz/Association_house_Groeditz__007__WBS70_Paneele","uses_material","material/Stahl","material/Stahlbeton","Stahlbetonfertigteil","rule_low","manual_high","material_reinforced_concrete_contains_stahl","manual_40a_stahlbeton_substring_fix"
"reuse_einsatz/Association_house_Plauen__001__Decken_Bodenplatten","uses_material","material/Stahl","material/Stahlbeton","Stahlbetonfertigteil","rule_low","manual_high","material_reinforced_concrete_contains_stahl","manual_40a_stahlbeton_substring_fix"
"reuse_einsatz/Association_house_Plauen__002__Au_enwandelemente","uses_material","material/Stahl","material/Stahlbeton","Stahlbetonfertigteil","rule_low","manual_high","material_reinforced_concrete_contains_stahl","manual_40a_stahlbeton_substring_fix"
"reuse_einsatz/Association_house_Plauen__003__Innenwandelemente","uses_material","material/Stahl","material/Stahlbeton","Stahlbetonfertigteil","rule_low","manual_high","material_reinforced_concrete_contains_stahl","manual_40a_stahlbeton_substring_fix"
"reuse_einsatz/Association_house_Plauen__004__Kellerwandelemente","uses_material","material/Stahl","material/Stahlbeton","Stahlbetonfertigteil","rule_low","manual_high","material_reinforced_concrete_contains_stahl","manual_40a_stahlbeton_substring_fix"
"reuse_einsatz/Berlin_Schildow_Pilot_House__001__zugeschnittene_Betonfertigteile","uses_material","material/Stahl","material/Stahlbeton","Stahlbeton / WBS70","rule_low","manual_high","material_reinforced_concrete_contains_stahl","manual_40a_stahlbeton_substring_fix"
"reuse_einsatz/Berlin_Schildow_Pilot_House__002__Deckenplatten","uses_material","material/Stahl","material/Stahlbeton","Stahlbetonfertigteil","rule_low","manual_high","material_reinforced_concrete_contains_stahl","manual_40a_stahlbeton_substring_fix"
"reuse_einsatz/Berlin_Schildow_Pilot_House__003__Innenwandplatten","uses_material","material/Stahl","material/Stahlbeton","Stahlbetonfertigteil","rule_low","manual_high","material_reinforced_concrete_contains_stahl","manual_40a_stahlbeton_substring_fix"
"reuse_einsatz/Berlin_Schildow_Pilot_House__005__Dach_Satteldach","uses_material","material/Stahl","material/Stahlbeton","Stahlbetonfertigteile?","rule_low","manual_high","material_reinforced_concrete_contains_stahl","manual_40a_stahlbeton_substring_fix"
"reuse_einsatz/Berlin_Schildow_Pilot_House_2__001__zugeschnittene_Betonfertigteile","uses_material","material/Stahl","material/Stahlbeton","Stahlbeton / WBS70","rule_low","manual_high","material_reinforced_concrete_contains_stahl","manual_40a_stahlbeton_substring_fix"
"reuse_einsatz/Berlin_Schildow_Pilot_House_2__002__Deckenplatten_als_Ursprungsbauteile","uses_material","material/Stahl","material/Stahlbeton","Stahlbetonfertigteil","rule_low","manual_high","material_reinforced_concrete_contains_stahl","manual_40a_stahlbeton_substring_fix"
"reuse_einsatz/Berlin_Schildow_Pilot_House_2__003__Innenwandplatten_als_Ursprungsbauteile","uses_material","material/Stahl","material/Stahlbeton","Stahlbetonfertigteil","rule_low","manual_high","material_reinforced_concrete_contains_stahl","manual_40a_stahlbeton_substring_fix"
"reuse_einsatz/Berlin_Schildow_Pilot_House_2__005__Garage_Schuppen_Au_enmauern","uses_material","material/Stahl","material/Stahlbeton","Stahlbetonplatten","rule_low","manual_high","material_reinforced_concrete_contains_stahl","manual_40a_stahlbeton_substring_fix"
"reuse_einsatz/Bestandverplanzung_Pavilion_Muenchen__001__Fertigteil_Paneele","uses_material","material/Stahl","material/Stahlbeton","Stahlbeton / Betonfertigteil","rule_low","manual_high","material_reinforced_concrete_contains_stahl","manual_40a_stahlbeton_substring_fix"
"reuse_einsatz/Big_Dig_House_Lexington_Massachusetts__003__Inverset_panels","uses_material","material/Stahl","material/Stahlbeton","Stahlbeton / reinforced concrete","rule_low","manual_high","material_reinforced_concrete_contains_stahl","manual_40a_stahlbeton_substring_fix"
"reuse_einsatz/Broethen_Twin_House_Hoyerswerda__001__Wandplatten","uses_material","material/Stahl","material/Stahlbeton","Stahlbetonfertigteil / P2","rule_low","manual_high","material_reinforced_concrete_contains_stahl","manual_40a_stahlbeton_substring_fix"
"reuse_einsatz/Broethen_Twin_House_Hoyerswerda__002__Deckenplatten","uses_material","material/Stahl","material/Stahlbeton","Stahlbetonfertigteil / P2","rule_low","manual_high","material_reinforced_concrete_contains_stahl","manual_40a_stahlbeton_substring_fix"
"reuse_einsatz/Broethen_Twin_House_Hoyerswerda__003__Fassaden_Au_enwandanteile","uses_material","material/Stahl","material/Stahlbeton","Stahlbetonfertigteil?","rule_low","manual_high","material_reinforced_concrete_contains_stahl","manual_40a_stahlbeton_substring_fix"
"reuse_einsatz/Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot__001__Hohlk_rperdecken_kanaalplaatvloeren","uses_material","material/Stahl","material/Stahlbeton","Spannbeton/Fertigbeton","rule_low","manual_high","material_reinforced_concrete_contains_stahl","manual_40a_stahlbeton_substring_fix"
"reuse_einsatz/Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot__002__Prefab_Fassadenelemente","uses_material","material/Stahl","material/Stahlbeton","Fertigbeton/Sandwich- oder Fassadenelemente, genaue Schichten unbekannt","rule_low","manual_high","material_reinforced_concrete_contains_stahl","manual_40a_stahlbeton_substring_fix"
"reuse_einsatz/Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot__003__Br_stungen_parapets","uses_material","material/Stahl","material/Stahlbeton","Fertigbeton","rule_low","manual_high","material_reinforced_concrete_contains_stahl","manual_40a_stahlbeton_substring_fix"
"reuse_einsatz/Europa_Building_Brussels__003__Residence_Palace_Bestand","uses_material","material/Stahl","material/Stahlbeton","Mauerwerk/Stein/Stahlbeton unbekannt","rule_low","manual_high","material_reinforced_concrete_contains_stahl","manual_40a_stahlbeton_substring_fix"
"reuse_einsatz/Grande_Halle_de_Colombelles__011__Bestand_Betonstruktur","uses_material","material/Stahl","material/Stahlbeton","Beton/Stahlbeton","rule_low","manual_high","material_reinforced_concrete_contains_stahl","manual_40a_stahlbeton_substring_fix"
"reuse_einsatz/Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere__001__Hohlk_rperdecken","uses_material","material/Stahl","material/Stahlbeton","Spannbeton/Fertigbeton","rule_low","manual_high","material_reinforced_concrete_contains_stahl","manual_40a_stahlbeton_substring_fix"
"reuse_einsatz/Haus_HOS_Mehrfamilienhaus_Muehlhausen__001__Wandelemente","uses_material","material/Stahl","material/Stahlbeton","Stahlbetonfertigteil / WBS70-Kontext","rule_low","manual_high","material_reinforced_concrete_contains_stahl","manual_40a_stahlbeton_substring_fix"
"reuse_einsatz/Haus_HOS_Mehrfamilienhaus_Muehlhausen__002__Deckenelemente","uses_material","material/Stahl","material/Stahlbeton","Stahlbetonfertigteil / WBS70-Kontext","rule_low","manual_high","material_reinforced_concrete_contains_stahl","manual_40a_stahlbeton_substring_fix"
"reuse_einsatz/Haus_HOS_Mehrfamilienhaus_Muehlhausen__003__Treppen","uses_material","material/Stahl","material/Stahlbeton","Stahlbetonfertigteil","rule_low","manual_high","material_reinforced_concrete_contains_stahl","manual_40a_stahlbeton_substring_fix"
"reuse_einsatz/Haus_HOS_Mehrfamilienhaus_Muehlhausen__004__Gesamtbauteile","uses_material","material/Stahl","material/Stahlbeton","Stahlbetonfertigteile","rule_low","manual_high","material_reinforced_concrete_contains_stahl","manual_40a_stahlbeton_substring_fix"
"reuse_einsatz/Holbein_Gardens_London__003__bestehender_Betonrahmen","uses_material","material/Stahl","material/Stahlbeton","Stahlbeton","rule_low","manual_high","material_reinforced_concrete_contains_stahl","manual_40a_stahlbeton_substring_fix"
"reuse_einsatz/Juch_Areal_Recyclingzentrum_Zuerich__003__Beton_Pilzst_tzen_mit_Deckenelementen","uses_material","material/Stahl","material/Stahlbeton","Beton/Stahlbeton","rule_low","manual_high","material_reinforced_concrete_contains_stahl","manual_40a_stahlbeton_substring_fix"
"reuse_einsatz/KA13_Kristian_Augusts_gate_13_Oslo__001__Hohlk_rperdecken_hollow_core_slabs","uses_material","material/Stahl","material/Stahlbeton","Stahlbeton/Spannbeton","rule_low","manual_high","material_reinforced_concrete_contains_stahl","manual_40a_stahlbeton_substring_fix"
"reuse_einsatz/Lokomotion_Technology_Centre_mini_pilot_Tampere__001__Hohlk_rperdecken","uses_material","material/Stahl","material/Stahlbeton","Spannbeton/Fertigbeton","rule_low","manual_high","material_reinforced_concrete_contains_stahl","manual_40a_stahlbeton_substring_fix"
"reuse_einsatz/Mehrow_Pilot_House__001__Wandplatten","uses_material","material/Stahl","material/Stahlbeton","Stahlbetonfertigteil / WBS70","rule_low","manual_high","material_reinforced_concrete_contains_stahl","manual_40a_stahlbeton_substring_fix"
"reuse_einsatz/Mehrow_Pilot_House__002__Deckenplatten","uses_material","material/Stahl","material/Stahlbeton","Stahlbetonfertigteil / WBS70","rule_low","manual_high","material_reinforced_concrete_contains_stahl","manual_40a_stahlbeton_substring_fix"
"reuse_einsatz/Mehrow_Pilot_House__003__Betonvolumen_gesamt","uses_material","material/Stahl","material/Stahlbeton","Stahlbeton","rule_low","manual_high","material_reinforced_concrete_contains_stahl","manual_40a_stahlbeton_substring_fix"
"reuse_einsatz/Melkinlaituri_Primary_School_Daycare_Centre_Helsinki__001__Hohlk_rperdecken","uses_material","material/Stahl","material/Stahlbeton","Spannbeton/Fertigbeton","rule_low","manual_high","material_reinforced_concrete_contains_stahl","manual_40a_stahlbeton_substring_fix"
