"source","relation","old_target","new_target","raw_label","old_confidence","new_confidence","old_resolution_rule","new_resolution_rule"
"reuse_einsatz/Association_house_Groeditz__008__Fenster_T_ren_Dach_Gel_nder_Bodenaufbauten_TGA_D","has_bauteiltyp","bauteiltyp/Festes_Einbauteil","bauteiltyp/Ausbau","Fenster/Türen/Dach/Geländer/Bodenaufbauten/TGA/Dämmung/Sanitär/Beleuchtung/feste Einbauten","rule_medium","manual_high","bauteil_festes_einbauteil","manual_40b_consolidate_Festes_Einbauteil"
"reuse_einsatz/Association_house_Groeditz__008__Fenster_T_ren_Dach_Gel_nder_Bodenaufbauten_TGA_D","has_bauteiltyp","bauteiltyp/Innenausbau","bauteiltyp/Ausbau","Fenster/Türen/Dach/Geländer/Bodenaufbauten/TGA/Dämmung/Sanitär/Beleuchtung/feste Einbauten","rule_medium","manual_high","bauteil_innenausbau","manual_40b_consolidate_Innenausbau"
"reuse_einsatz/Association_house_Groeditz__008__Fenster_T_ren_Dach_Gel_nder_Bodenaufbauten_TGA_D","has_bauteiltyp","bauteiltyp/Leuchte","bauteiltyp/Technik","Fenster/Türen/Dach/Geländer/Bodenaufbauten/TGA/Dämmung/Sanitär/Beleuchtung/feste Einbauten","rule_high","rule_high","bauteil_lighting","manual_40b_consolidate_Leuchte"
"reuse_einsatz/Association_house_Groeditz__008__Fenster_T_ren_Dach_Gel_nder_Bodenaufbauten_TGA_D","has_bauteiltyp","bauteiltyp/Sanitaerobjekt","bauteiltyp/Technik","Fenster/Türen/Dach/Geländer/Bodenaufbauten/TGA/Dämmung/Sanitär/Beleuchtung/feste Einbauten","rule_high","rule_high","bauteil_sanitary","manual_40b_consolidate_Sanitaerobjekt"
"reuse_einsatz/Association_house_Groeditz__008__Fenster_T_ren_Dach_Gel_nder_Bodenaufbauten_TGA_D","has_bauteiltyp","bauteiltyp/Technik_TGA","bauteiltyp/Technik","Fenster/Türen/Dach/Geländer/Bodenaufbauten/TGA/Dämmung/Sanitär/Beleuchtung/feste Einbauten","rule_medium","manual_high","bauteil_tga","manual_40b_consolidate_Technik_TGA"
"reuse_einsatz/Association_house_Plauen__007__Fenster_T_ren_Dach_Treppen_Gel_nder_TGA_D_mmung","has_bauteiltyp","bauteiltyp/Festes_Einbauteil","bauteiltyp/Ausbau","Fenster/Türen/Dach/Treppen/Geländer/TGA/Dämmung/Sanitär/Beleuchtung/feste Einbauten","rule_medium","manual_high","bauteil_festes_einbauteil","manual_40b_consolidate_Festes_Einbauteil"
"reuse_einsatz/Association_house_Plauen__007__Fenster_T_ren_Dach_Treppen_Gel_nder_TGA_D_mmung","has_bauteiltyp","bauteiltyp/Innenausbau","bauteiltyp/Ausbau","Fenster/Türen/Dach/Treppen/Geländer/TGA/Dämmung/Sanitär/Beleuchtung/feste Einbauten","rule_medium","manual_high","bauteil_innenausbau","manual_40b_consolidate_Innenausbau"
"reuse_einsatz/Association_house_Plauen__007__Fenster_T_ren_Dach_Treppen_Gel_nder_TGA_D_mmung","has_bauteiltyp","bauteiltyp/Leuchte","bauteiltyp/Technik","Fenster/Türen/Dach/Treppen/Geländer/TGA/Dämmung/Sanitär/Beleuchtung/feste Einbauten","rule_high","rule_high","bauteil_lighting","manual_40b_consolidate_Leuchte"
"reuse_einsatz/Association_house_Plauen__007__Fenster_T_ren_Dach_Treppen_Gel_nder_TGA_D_mmung","has_bauteiltyp","bauteiltyp/Sanitaerobjekt","bauteiltyp/Technik","Fenster/Türen/Dach/Treppen/Geländer/TGA/Dämmung/Sanitär/Beleuchtung/feste Einbauten","rule_high","rule_high","bauteil_sanitary","manual_40b_consolidate_Sanitaerobjekt"
"reuse_einsatz/Association_house_Plauen__007__Fenster_T_ren_Dach_Treppen_Gel_nder_TGA_D_mmung","has_bauteiltyp","bauteiltyp/Technik_TGA","bauteiltyp/Technik","Fenster/Türen/Dach/Treppen/Geländer/TGA/Dämmung/Sanitär/Beleuchtung/feste Einbauten","rule_medium","manual_high","bauteil_tga","manual_40b_consolidate_Technik_TGA"
"reuse_einsatz/AWM_Muenster_Circular_Office__002__WC_Trennw_nde","has_bauteiltyp","bauteiltyp/Sanitaerobjekt","bauteiltyp/Technik","WC-Trennwände","rule_high","rule_high","bauteil_sanitary","manual_40b_consolidate_Sanitaerobjekt"
"reuse_einsatz/AWM_Muenster_Circular_Office__003__Kabeltrassen_als_Regale","has_bauteiltyp","bauteiltyp/Technik_TGA","bauteiltyp/Technik","Kabeltrassen als Regale","rule_medium","manual_high","bauteil_tga","manual_40b_consolidate_Technik_TGA"
"reuse_einsatz/AWM_Muenster_Circular_Office__004__Kabeltrassen_und_LED_Leuchten","has_bauteiltyp","bauteiltyp/Leuchte","bauteiltyp/Technik","Kabeltrassen und LED-Leuchten","rule_high","rule_high","bauteil_lighting","manual_40b_consolidate_Leuchte"
"reuse_einsatz/AWM_Muenster_Circular_Office__004__Kabeltrassen_und_LED_Leuchten","has_bauteiltyp","bauteiltyp/Technik_TGA","bauteiltyp/Technik","Kabeltrassen und LED-Leuchten","rule_medium","manual_high","bauteil_tga","manual_40b_consolidate_Technik_TGA"
"reuse_einsatz/AWM_Muenster_Circular_Office__006__Sideboard_Holzeinbauten","has_bauteiltyp","bauteiltyp/Innenausbau","bauteiltyp/Ausbau","Sideboard / Holzeinbauten","rule_medium","manual_high","bauteil_innenausbau","manual_40b_consolidate_Innenausbau"
"reuse_einsatz/AWM_Muenster_Circular_Office__009__Akustik_Baffeln","has_bauteiltyp","bauteiltyp/Akustikelement","bauteiltyp/Ausbau","Akustik-Baffeln","rule_high","rule_high","bauteil_akustik","manual_40b_consolidate_Akustikelement"
"reuse_einsatz/BedZED_London_Hackbridge__005__Ger_strohre_als_Rampen_Gel_nder_Balustraden","has_bauteiltyp","bauteiltyp/Technik_TGA","bauteiltyp/Technik","Gerüstrohre als Rampen/Geländer/Balustraden","rule_medium","manual_high","bauteil_tga","manual_40b_consolidate_Technik_TGA"
"reuse_einsatz/BedZED_London_Hackbridge__009__Feste_Einbauten_K_chenteile","has_bauteiltyp","bauteiltyp/Festes_Einbauteil","bauteiltyp/Ausbau","Feste Einbauten/Küchenteile","rule_medium","manual_high","bauteil_festes_einbauteil","manual_40b_consolidate_Festes_Einbauteil"
"reuse_einsatz/BedZED_London_Hackbridge__009__Feste_Einbauten_K_chenteile","has_bauteiltyp","bauteiltyp/Innenausbau","bauteiltyp/Ausbau","Feste Einbauten/Küchenteile","rule_medium","manual_high","bauteil_innenausbau","manual_40b_consolidate_Innenausbau"
"reuse_einsatz/BedZED_London_Hackbridge__011__Sanit_r","has_bauteiltyp","bauteiltyp/Sanitaerobjekt","bauteiltyp/Technik","Sanitär","rule_high","rule_high","bauteil_sanitary","manual_40b_consolidate_Sanitaerobjekt"
"reuse_einsatz/BedZED_London_Hackbridge__012__Beleuchtung","has_bauteiltyp","bauteiltyp/Leuchte","bauteiltyp/Technik","Beleuchtung","rule_high","rule_high","bauteil_lighting","manual_40b_consolidate_Leuchte"
"reuse_einsatz/Berlin_Schildow_Pilot_House__006__Fenster_T_ren_Fassade_Gel_nder_Bodenaufbauten_TG","has_bauteiltyp","bauteiltyp/Festes_Einbauteil","bauteiltyp/Ausbau","Fenster/Türen/Fassade/Geländer/Bodenaufbauten/TGA/Dämmung/Sanitär/Beleuchtung/feste Einbauten","rule_medium","manual_high","bauteil_festes_einbauteil","manual_40b_consolidate_Festes_Einbauteil"
"reuse_einsatz/Berlin_Schildow_Pilot_House__006__Fenster_T_ren_Fassade_Gel_nder_Bodenaufbauten_TG","has_bauteiltyp","bauteiltyp/Innenausbau","bauteiltyp/Ausbau","Fenster/Türen/Fassade/Geländer/Bodenaufbauten/TGA/Dämmung/Sanitär/Beleuchtung/feste Einbauten","rule_medium","manual_high","bauteil_innenausbau","manual_40b_consolidate_Innenausbau"
"reuse_einsatz/Berlin_Schildow_Pilot_House__006__Fenster_T_ren_Fassade_Gel_nder_Bodenaufbauten_TG","has_bauteiltyp","bauteiltyp/Leuchte","bauteiltyp/Technik","Fenster/Türen/Fassade/Geländer/Bodenaufbauten/TGA/Dämmung/Sanitär/Beleuchtung/feste Einbauten","rule_high","rule_high","bauteil_lighting","manual_40b_consolidate_Leuchte"
"reuse_einsatz/Berlin_Schildow_Pilot_House__006__Fenster_T_ren_Fassade_Gel_nder_Bodenaufbauten_TG","has_bauteiltyp","bauteiltyp/Sanitaerobjekt","bauteiltyp/Technik","Fenster/Türen/Fassade/Geländer/Bodenaufbauten/TGA/Dämmung/Sanitär/Beleuchtung/feste Einbauten","rule_high","rule_high","bauteil_sanitary","manual_40b_consolidate_Sanitaerobjekt"
