"source","relation","target","raw_label","confidence","resolution_rule","legacy_path"
"reuse_einsatz/BlueCity_Offices_Rotterdam__004__Balustraden","has_beschaffungsweg","beschaffungsweg/Digitale_Plattform","laut Sekundärquelle dekommissionierte Ölplattform","rule_high","label_50i_has_beschaffungsweg_frontmatter",""
"reuse_einsatz/Charles_Malis_Molenbeek__002__Leuchten","has_beschaffungsweg","beschaffungsweg/Bauteilboerse","ROTOR","rule_high","label_50i_has_beschaffungsweg_frontmatter",""
"reuse_einsatz/Chiro_d_Itterbeek_Dilbeek__001__Fassadenziegel","has_beschaffungsweg","beschaffungsweg/Bauteilboerse","Franck / Opalis-Händler","rule_high","label_50i_has_beschaffungsweg_frontmatter",""
"reuse_einsatz/Chiro_d_Itterbeek_Dilbeek__002__Au_enst_rze","has_beschaffungsweg","beschaffungsweg/Bauteilboerse","Gebruiktebouwmaterialen / Opalis-Händler","rule_high","label_50i_has_beschaffungsweg_frontmatter",""
"reuse_einsatz/Chiro_d_Itterbeek_Dilbeek__006__Bodenfliesen","has_beschaffungsweg","beschaffungsweg/Bauteilboerse","RotorDC","rule_high","label_50i_has_beschaffungsweg_frontmatter",""
"reuse_einsatz/Chiro_d_Itterbeek_Dilbeek__007__Wandfliesen","has_beschaffungsweg","beschaffungsweg/Bauteilboerse","RotorDC","rule_high","label_50i_has_beschaffungsweg_frontmatter",""
"reuse_einsatz/Chiro_d_Itterbeek_Dilbeek__008__Sanit_robjekte","has_beschaffungsweg","beschaffungsweg/Bauteilboerse","RotorDC","rule_high","label_50i_has_beschaffungsweg_frontmatter",""
"reuse_einsatz/Chiro_d_Itterbeek_Dilbeek__009__Leuchten","has_beschaffungsweg","beschaffungsweg/Bauteilboerse","RotorDC","rule_high","label_50i_has_beschaffungsweg_frontmatter",""
"reuse_einsatz/Chiro_d_Itterbeek_Dilbeek__013__Holzrahmen_Dachtragwerk","has_beschaffungsweg","beschaffungsweg/Bauteilboerse","Bouwstocks Surplus/Restposten","rule_high","label_50i_has_beschaffungsweg_frontmatter",""
"reuse_einsatz/Circular_Pavilion_Paris__006__vier_gro_e_Leuchten","has_beschaffungsweg","beschaffungsweg/Ausschreibung","Lager öffentlicher Beleuchtung","rule_high","label_50i_has_beschaffungsweg_frontmatter",""
"reuse_einsatz/ELYS_Kultur_Gewerbehaus_Basel__005__Steinwolled_mmung","has_beschaffungsweg","beschaffungsweg/Bauteilboerse","Restposten / Baustellenabfälle","rule_high","label_50i_has_beschaffungsweg_frontmatter",""
"reuse_einsatz/Ferme_du_Rail_Paris__003__Granitbordsteine","has_beschaffungsweg","beschaffungsweg/Ausschreibung","Pariser öffentliche Raum-/Straßenbau-Baustellen","rule_high","label_50i_has_beschaffungsweg_frontmatter",""
"reuse_einsatz/K118_Kopfbau_Halle_118_Winterthur__004__Fenster","has_beschaffungsweg","beschaffungsweg/Bauteilboerse","Rückbau / Restposten","rule_high","label_50i_has_beschaffungsweg_frontmatter",""
"reuse_einsatz/Maison_Vignette_Auderghem__003__Wandfliesen","has_beschaffungsweg","beschaffungsweg/Bauteilboerse","Rotor DC","rule_high","label_50i_has_beschaffungsweg_frontmatter",""
"reuse_einsatz/Maison_Vignette_Auderghem__004__Bodenfliesen","has_beschaffungsweg","beschaffungsweg/Bauteilboerse","Rotor DC","rule_high","label_50i_has_beschaffungsweg_frontmatter",""
"reuse_einsatz/Maison_Vignette_Auderghem__006__Sanit_robjekte","has_beschaffungsweg","beschaffungsweg/Bauteilboerse","Rotor DC","rule_high","label_50i_has_beschaffungsweg_frontmatter",""
"reuse_einsatz/Upcycle_Studios_Copenhagen__001__Fenster_Doppelverglasung","has_beschaffungsweg","beschaffungsweg/Ausschreibung","öffentliche Wohnbauten in Nordjütland","rule_high","label_50i_has_beschaffungsweg_frontmatter",""
