"source","relation","target","raw_label","confidence","resolution_rule","legacy_path"
"reuse_einsatz/55_Great_Suffolk_Street_London__001__Stahlprofile_f_r_neuen_externen_Kern","has_rechtliche_bedingung","rechtliche_bedingung/Zulassung_im_Einzelfall","Testing centres; CE marking","rule_medium","label_50m_has_rechtliche_bedingung_component_label",""
"reuse_einsatz/55_Great_Suffolk_Street_London__003__Reclaimed_stock_von_Cleveland","has_rechtliche_bedingung","rechtliche_bedingung/Zulassung_im_Einzelfall","Lagerung, Restaurierung, Rezertifizierung","rule_medium","label_50m_has_rechtliche_bedingung_component_label",""
"reuse_einsatz/AWM_Muenster_Circular_Office__004__Kabeltrassen_und_LED_Leuchten","has_rechtliche_bedingung","rechtliche_bedingung/Zulassung_im_Einzelfall","Zulassung/Haftung","rule_medium","label_50m_has_rechtliche_bedingung_component_label",""
"reuse_einsatz/BioPartner_5_Leiden_Oegstgeest__003__W_nde_Innenw_nde","has_rechtliche_bedingung","rechtliche_bedingung/Zulassung_im_Einzelfall","Passung / Zulassung","rule_medium","label_50m_has_rechtliche_bedingung_component_label",""
"reuse_einsatz/BioPartner_5_Leiden_Oegstgeest__007__Sanit_r","has_rechtliche_bedingung","rechtliche_bedingung/Gewaehrleistung","Akzeptanz Installateur, Gewährleistung","rule_medium","label_50m_has_rechtliche_bedingung_component_label",""
"reuse_einsatz/Boulder_Fire_Station_3__001__Wide_flange_beams_structural_steel_members","has_rechtliche_bedingung","rechtliche_bedingung/Bauordnungsrecht","lokale Bauordnung/IBC unbekannt; Deconstruction Ordinance relevant","rule_low","label_50m_has_rechtliche_bedingung_component_label",""
"reuse_einsatz/Boulder_Fire_Station_3__002__Stahlstockpile_gesamt","has_rechtliche_bedingung","rechtliche_bedingung/Bauordnungsrecht","Boulder ordinance","rule_medium","label_50m_has_rechtliche_bedingung_component_label",""
"reuse_einsatz/Brent_Cross_Town_Primary_Substation_London__001__Lange_St_tzen_aus_reclaimed_tubulars","has_rechtliche_bedingung","rechtliche_bedingung/Zulassung_im_Einzelfall","SCI P427; CE/UKCA","rule_medium","label_50m_has_rechtliche_bedingung_component_label",""
"reuse_einsatz/Brent_Cross_Town_Primary_Substation_London__002__Aussteifung_bracing_members","has_rechtliche_bedingung","rechtliche_bedingung/Zulassung_im_Einzelfall","SCI P427; CE/UKCA","rule_medium","label_50m_has_rechtliche_bedingung_component_label",""
"reuse_einsatz/CRCLR_House_Impact_Hub_Berlin__001__Stahlpfetten_I_Tr_ger","has_rechtliche_bedingung","rechtliche_bedingung/Gewaehrleistung","fehlendes Werkszeugnis; Gewährleistung; Zeit/Kosten","rule_medium","label_50m_has_rechtliche_bedingung_component_label",""
"reuse_einsatz/CascadeUp_London_secondary_timber_glulam_demonstrator__002__Wandpaneele","has_rechtliche_bedingung","rechtliche_bedingung/Bauordnungsrecht","Materialvariabilität; bauaufsichtliche Akzeptanz","rule_medium","label_50m_has_rechtliche_bedingung_component_label",""
"reuse_einsatz/Chiro_d_Itterbeek_Dilbeek__009__Leuchten","has_rechtliche_bedingung","rechtliche_bedingung/Zulassung_im_Einzelfall","Zulassung/Prüfung","rule_medium","label_50m_has_rechtliche_bedingung_component_label",""
"reuse_einsatz/Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot__001__Hohlk_rperdecken_kanaalplaatvloeren","has_rechtliche_bedingung","rechtliche_bedingung/Bauordnungsrecht","CROW-CUR 4:2023 als Leitfaden; Bauvorschriften unbekannt","rule_low","label_50m_has_rechtliche_bedingung_component_label",""
"reuse_einsatz/ELYS_Kultur_Gewerbehaus_Basel__003__Fenster","has_rechtliche_bedingung","rechtliche_bedingung/Gewaehrleistung","Hersteller wollten keine Garantie gewähren","rule_medium","label_50m_has_rechtliche_bedingung_component_label",""
"reuse_einsatz/Grubenstrasse_29_Werkhof_29_Zuerich__008__T_ren","has_rechtliche_bedingung","rechtliche_bedingung/Zulassung_im_Einzelfall","Zulassung","rule_medium","label_50m_has_rechtliche_bedingung_component_label",""
"reuse_einsatz/Grubenstrasse_29_Werkhof_29_Zuerich__010__Sanit_rapparate","has_rechtliche_bedingung","rechtliche_bedingung/Gewaehrleistung","Gewährleistung","rule_medium","label_50m_has_rechtliche_bedingung_component_label",""
"reuse_einsatz/Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere__001__Hohlk_rperdecken","has_rechtliche_bedingung","rechtliche_bedingung/Bauordnungsrecht","lokale Baugenehmigung unbekannt; EN 1168 als Fachbezug","rule_low","label_50m_has_rechtliche_bedingung_component_label",""
"reuse_einsatz/Hastings_Pier_Visitor_Centre__001__Fassadenbekleidung_Besucherzentrum","has_rechtliche_bedingung","rechtliche_bedingung/Bauordnungsrecht","Heritage-Kontext; Bauordnung unbekannt","rule_low","label_50m_has_rechtliche_bedingung_component_label",""
"reuse_einsatz/K118_Kopfbau_Halle_118_Winterthur__008__T_ren","has_rechtliche_bedingung","rechtliche_bedingung/Zulassung_im_Einzelfall","Zulassung","rule_medium","label_50m_has_rechtliche_bedingung_component_label",""
"reuse_einsatz/KA13_Kristian_Augusts_gate_13_Oslo__002__Stahltr_ger_st_tzen_reused","has_rechtliche_bedingung","rechtliche_bedingung/Bauordnungsrecht","Dokumentation/Regelwerk","rule_medium","label_50m_has_rechtliche_bedingung_component_label",""
"reuse_einsatz/KA13_Kristian_Augusts_gate_13_Oslo__006__Radiatoren","has_rechtliche_bedingung","rechtliche_bedingung/Gewaehrleistung","technische Gewährleistung","rule_medium","label_50m_has_rechtliche_bedingung_component_label",""
"reuse_einsatz/KA13_Kristian_Augusts_gate_13_Oslo__007__Sanit_r_Waschbecken_Toiletten","has_rechtliche_bedingung","rechtliche_bedingung/Gewaehrleistung","Hygiene/Gewährleistung","rule_medium","label_50m_has_rechtliche_bedingung_component_label",""
