"source","relation","target","raw_label","confidence","resolution_rule","legacy_path"
"reuse_einsatz/Boulder_Fire_Station_3__001__Wide_flange_beams_structural_steel_members","has_ressourcenquelle","ressourcenquelle/Materialstockpile","Boulder Community Hospital Steel Stockpile","rule_high","label_50s_has_ressourcenquelle_frontmatter",""
"reuse_einsatz/Brent_Cross_Town_Primary_Substation_London__001__Lange_St_tzen_aus_reclaimed_tubulars","has_ressourcenquelle","ressourcenquelle/Produktionsueberschuss","surplus/cancelled oil and gas pipeline projects via Cleveland Steel and Tubes","rule_high","label_50s_has_ressourcenquelle_frontmatter",""
"reuse_einsatz/Brighton_Waste_House_Brighton__001__Betonbl_cke","has_ressourcenquelle","ressourcenquelle/Baustelle","weggeworfene Baustellenmaterialien","rule_high","label_50s_has_ressourcenquelle_frontmatter",""
"reuse_einsatz/Brighton_Waste_House_Brighton__003__Sperrholz_ply_sheets","has_ressourcenquelle","ressourcenquelle/Baustelle","Baustellenabfall","rule_high","label_50s_has_ressourcenquelle_frontmatter",""
"reuse_einsatz/CRCLR_House_Impact_Hub_Berlin__006__Holzgalerie_Innenausbau","has_ressourcenquelle","ressourcenquelle/Baustelle","Abrissbaustellen, Messen, Museen, Lagerbestände, Schreinereireste","rule_high","label_50s_has_ressourcenquelle_frontmatter",""
"reuse_einsatz/CRCLR_House_Impact_Hub_Berlin__006__Holzgalerie_Innenausbau","has_ressourcenquelle","ressourcenquelle/Lager","Abrissbaustellen, Messen, Museen, Lagerbestände, Schreinereireste","rule_high","label_50s_has_ressourcenquelle_frontmatter",""
"reuse_einsatz/Chiro_d_Itterbeek_Dilbeek__001__Fassadenziegel","has_ressourcenquelle","ressourcenquelle/Bauteilboerse","Franck / Opalis-Händler","rule_high","label_50s_has_ressourcenquelle_frontmatter",""
"reuse_einsatz/Chiro_d_Itterbeek_Dilbeek__001__Fassadenziegel","has_ressourcenquelle","ressourcenquelle/Haendler","Franck / Opalis-Händler","rule_high","label_50s_has_ressourcenquelle_frontmatter",""
"reuse_einsatz/Chiro_d_Itterbeek_Dilbeek__002__Au_enst_rze","has_ressourcenquelle","ressourcenquelle/Bauteilboerse","Gebruiktebouwmaterialen / Opalis-Händler","rule_high","label_50s_has_ressourcenquelle_frontmatter",""
"reuse_einsatz/Chiro_d_Itterbeek_Dilbeek__002__Au_enst_rze","has_ressourcenquelle","ressourcenquelle/Haendler","Gebruiktebouwmaterialen / Opalis-Händler","rule_high","label_50s_has_ressourcenquelle_frontmatter",""
"reuse_einsatz/Chiro_d_Itterbeek_Dilbeek__012__Betonbl_cke","has_ressourcenquelle","ressourcenquelle/Produktionsueberschuss","Bouwstocks Surplus/B-Qualität","rule_high","label_50s_has_ressourcenquelle_frontmatter",""
"reuse_einsatz/Chiro_d_Itterbeek_Dilbeek__013__Holzrahmen_Dachtragwerk","has_ressourcenquelle","ressourcenquelle/Produktionsueberschuss","Bouwstocks Surplus/Restposten","rule_high","label_50s_has_ressourcenquelle_frontmatter",""
"reuse_einsatz/Circular_Pavilion_Paris__003__Holzstruktur","has_ressourcenquelle","ressourcenquelle/Baustelle","Restmaterial Baustelle Altenheim","rule_high","label_50s_has_ressourcenquelle_frontmatter",""
"reuse_einsatz/Circular_Pavilion_Paris__003__Holzstruktur","has_ressourcenquelle","ressourcenquelle/Materialstockpile","Restmaterial Baustelle Altenheim","rule_high","label_50s_has_ressourcenquelle_frontmatter",""
"reuse_einsatz/ELYS_Kultur_Gewerbehaus_Basel__001__Holzrahmen_Fassade","has_ressourcenquelle","ressourcenquelle/Lager","Rückbauten Basel, Lagerbestände, Bestands-/Arealmaterial","rule_high","label_50s_has_ressourcenquelle_frontmatter",""
"reuse_einsatz/ELYS_Kultur_Gewerbehaus_Basel__005__Steinwolled_mmung","has_ressourcenquelle","ressourcenquelle/Baustelle","Restposten / Baustellenabfälle","rule_high","label_50s_has_ressourcenquelle_frontmatter",""
