"source","case_id","legacy_path","value","relationship","confidence_source","note","raw_label","reason"
"reuse_einsatz/55_Great_Suffolk_Street_London__004__Bestandslagerhaus","","","","","","","Restaurierung / Erhalt","not_reusable_enough_for_process_phase_edge"
"reuse_einsatz/55_Great_Suffolk_Street_London__005__Br_ckenlinks_zum_Kern","","","","","","","unbekannt","not_reusable_enough_for_process_phase_edge"
"reuse_einsatz/55_Great_Suffolk_Street_London__006__Fassadenbekleidung_externer_Kern","","","","","","","unbekannt","not_reusable_enough_for_process_phase_edge"
"reuse_einsatz/AWM_Muenster_Circular_Office__007__Hanfkalksteine","","","","","","","Neubauprodukt","not_reusable_enough_for_process_phase_edge"
"reuse_einsatz/AWM_Muenster_Circular_Office__009__Akustik_Baffeln","","","","","","","Recycling/Produktion","not_reusable_enough_for_process_phase_edge"
"reuse_einsatz/Association_house_Groeditz__001__Au_enwand_Fertigteile","","","","","","","unbekannt","no_precise_process_phase_target"
"reuse_einsatz/Association_house_Groeditz__002__Innenwand_Fertigteile","","","","","","","unbekannt","no_precise_process_phase_target"
"reuse_einsatz/Association_house_Groeditz__003__Innenwandrahmen","","","","","","","unbekannt","no_precise_process_phase_target"
"reuse_einsatz/Association_house_Groeditz__004__Deckenelemente","","","","","","","unbekannt","no_precise_process_phase_target"
"reuse_einsatz/Association_house_Groeditz__005__Sockel_Plinthenplatten","","","","","","","unbekannt","no_precise_process_phase_target"
"reuse_einsatz/Association_house_Groeditz__006__Treppen","","","","","","","unbekannt","no_precise_process_phase_target"
"reuse_einsatz/Association_house_Groeditz__007__WBS70_Paneele","","","","","","","unbekannt","no_precise_process_phase_target"
"reuse_einsatz/Association_house_Groeditz__008__Fenster_T_ren_Dach_Gel_nder_Bodenaufbauten_TGA_D","","","","","","","unbekannt","not_reusable_enough_for_process_phase_edge"
"reuse_einsatz/Association_house_Plauen__001__Decken_Bodenplatten","","","","","","","unbekannt","no_precise_process_phase_target"
"reuse_einsatz/Association_house_Plauen__002__Au_enwandelemente","","","","","","","unbekannt","no_precise_process_phase_target"
"reuse_einsatz/Association_house_Plauen__003__Innenwandelemente","","","","","","","unbekannt","no_precise_process_phase_target"
"reuse_einsatz/Association_house_Plauen__004__Kellerwandelemente","","","","","","","unbekannt","no_precise_process_phase_target"
"reuse_einsatz/Association_house_Plauen__005__Tr_ger","","","","","","","unbekannt","not_reusable_enough_for_process_phase_edge"
"reuse_einsatz/Association_house_Plauen__006__St_tzen","","","","","","","unbekannt","not_reusable_enough_for_process_phase_edge"
"reuse_einsatz/Association_house_Plauen__007__Fenster_T_ren_Dach_Treppen_Gel_nder_TGA_D_mmung","","","","","","","unbekannt","not_reusable_enough_for_process_phase_edge"
"reuse_einsatz/BedZED_London_Hackbridge__002__Curved_steel_sections","","","","","","","neu statt wiederverwendet","not_reusable_enough_for_process_phase_edge"
"reuse_einsatz/BedZED_London_Hackbridge__004__T_ren","","","","","","","unbekannt","no_precise_process_phase_target"
"reuse_einsatz/BedZED_London_Hackbridge__005__Ger_strohre_als_Rampen_Gel_nder_Balustraden","","","","","","","unbekannt","no_precise_process_phase_target"
"reuse_einsatz/BedZED_London_Hackbridge__006__Bordsteine","","","","","","","unbekannt","no_precise_process_phase_target"
"reuse_einsatz/BedZED_London_Hackbridge__007__Natursteinplatten_paving_slabs","","","","","","","unbekannt","no_precise_process_phase_target"
"reuse_einsatz/BedZED_London_Hackbridge__008__Recycling_Glas_Sand_unter_Pflaster","","","","","","","Recycling, Körnung","not_reusable_enough_for_process_phase_edge"
"reuse_einsatz/BedZED_London_Hackbridge__009__Feste_Einbauten_K_chenteile","","","","","","","Recyclingprodukt","no_precise_process_phase_target"
"reuse_einsatz/BedZED_London_Hackbridge__010__D_mmung","","","","","","","unbekannt","not_reusable_enough_for_process_phase_edge"
"reuse_einsatz/BedZED_London_Hackbridge__011__Sanit_r","","","","","","","unbekannt","not_reusable_enough_for_process_phase_edge"
"reuse_einsatz/BedZED_London_Hackbridge__012__Beleuchtung","","","","","","","unbekannt","not_reusable_enough_for_process_phase_edge"
"reuse_einsatz/Berlin_Schildow_Pilot_House_2__004__Treppe","","","","","","","neu","not_reusable_enough_for_process_phase_edge"
"reuse_einsatz/Berlin_Schildow_Pilot_House_2__005__Garage_Schuppen_Au_enmauern","","","","","","","unbekannt","no_precise_process_phase_target"
"reuse_einsatz/Berlin_Schildow_Pilot_House_2__006__Fenster","","","","","","","unbekannt","not_reusable_enough_for_process_phase_edge"
"reuse_einsatz/Berlin_Schildow_Pilot_House_2__007__T_ren","","","","","","","unbekannt","not_reusable_enough_for_process_phase_edge"
"reuse_einsatz/Berlin_Schildow_Pilot_House_2__009__TGA","","","","","","","unbekannt","not_reusable_enough_for_process_phase_edge"
"reuse_einsatz/Berlin_Schildow_Pilot_House__004__Treppe","","","","","","","neu","not_reusable_enough_for_process_phase_edge"
"reuse_einsatz/Berlin_Schildow_Pilot_House__006__Fenster_T_ren_Fassade_Gel_nder_Bodenaufbauten_TG","","","","","","","unbekannt","not_reusable_enough_for_process_phase_edge"
"reuse_einsatz/Bestandverplanzung_Pavilion_Muenchen__002__T_ren","","","","","","","unbekannt","not_reusable_enough_for_process_phase_edge"
"reuse_einsatz/Bestandverplanzung_Pavilion_Muenchen__003__Fenster_Fassade","","","","","","","unbekannt","not_reusable_enough_for_process_phase_edge"
"reuse_einsatz/Bestandverplanzung_Pavilion_Muenchen__004__Dach","","","","","","","unbekannt","not_reusable_enough_for_process_phase_edge"
"reuse_einsatz/Bestandverplanzung_Pavilion_Muenchen__005__Treppen_Gel_nder","","","","","","","unbekannt","not_reusable_enough_for_process_phase_edge"
"reuse_einsatz/Bestandverplanzung_Pavilion_Muenchen__006__TGA_Sanit_r_Beleuchtung","","","","","","","unbekannt","not_reusable_enough_for_process_phase_edge"
"reuse_einsatz/Big_Dig_Building_Boston__002__Stra_en_Rampenelemente","","","","","","","unbekannt","no_precise_process_phase_target"
"reuse_einsatz/Big_Dig_Building_Boston__004__Landscape_elevated_landscape_elements","","","","","","","unbekannt","no_precise_process_phase_target"
"reuse_einsatz/Big_Dig_Building_Boston__005__TGA_Fenster_T_ren_Dach","","","","","","","unbekannt","not_reusable_enough_for_process_phase_edge"
