"source","case_id","legacy_path","value","relationship","confidence_source","note","raw_label","reason"
"reuse_einsatz/55_Great_Suffolk_Street_London__004__Bestandslagerhaus","","","","","","","Bestandserhalt darf nicht als Direct Reuse gezählt werden","not_reusable_enough_for_has_huerde"
"reuse_einsatz/55_Great_Suffolk_Street_London__005__Br_ckenlinks_zum_Kern","","","","","","","Schnittstelle Alt/Neu","not_reusable_enough_for_has_huerde"
"reuse_einsatz/55_Great_Suffolk_Street_London__006__Fassadenbekleidung_externer_Kern","","","","","","","kein Reuse-Nachweis","not_reusable_enough_for_has_huerde"
"reuse_einsatz/AWM_Muenster_Circular_Office__006__Sideboard_Holzeinbauten","","","","","","","Herkunft und Sortierung","no_token_match"
"reuse_einsatz/AWM_Muenster_Circular_Office__007__Hanfkalksteine","","","","","","","zählt nicht als Direct Reuse","not_reusable_enough_for_has_huerde"
"reuse_einsatz/AWM_Muenster_Circular_Office__009__Akustik_Baffeln","","","","","","","kein Direct Reuse","not_reusable_enough_for_has_huerde"
"reuse_einsatz/Association_house_Groeditz__002__Innenwand_Fertigteile","","","","","","","Höhenausgleich","no_token_match"
"reuse_einsatz/Association_house_Plauen__003__Innenwandelemente","","","","","","","Grundrissbindung","no_token_match"
"reuse_einsatz/BedZED_London_Hackbridge__002__Curved_steel_sections","","","","","","","Biegebetrieb wollte reclaimed steel nicht biegen; Zeitdruck","not_reusable_enough_for_has_huerde"
"reuse_einsatz/BedZED_London_Hackbridge__004__T_ren","","","","","","","Programm-/Lieferkettenprobleme bei reclaimed doors","no_token_match"
"reuse_einsatz/BedZED_London_Hackbridge__007__Natursteinplatten_paving_slabs","","","","","","","Reclaimed paving slabs funktionierten nicht vollständig im Programm","no_token_match"
"reuse_einsatz/BedZED_London_Hackbridge__008__Recycling_Glas_Sand_unter_Pflaster","","","","","","","zählt als Recycling, nicht Direct Reuse","not_reusable_enough_for_has_huerde"
"reuse_einsatz/Berlin_Schildow_Pilot_House_2__004__Treppe","","","","","","","zählt nicht als Reuse","not_reusable_enough_for_has_huerde"
"reuse_einsatz/Berlin_Schildow_Pilot_House__004__Treppe","","","","","","","zählt nicht als Reuse","not_reusable_enough_for_has_huerde"
"reuse_einsatz/Bestandverplanzung_Pavilion_Muenchen__001__Fertigteil_Paneele","","","","","","","kaum technische Primärquellen","no_token_match"
"reuse_einsatz/Bestandverplanzung_Pavilion_Muenchen__002__T_ren","","","","","","","nicht belegt","not_reusable_enough_for_has_huerde"
"reuse_einsatz/Bestandverplanzung_Pavilion_Muenchen__003__Fenster_Fassade","","","","","","","nicht belegt","not_reusable_enough_for_has_huerde"
"reuse_einsatz/Bestandverplanzung_Pavilion_Muenchen__004__Dach","","","","","","","nicht belegt","not_reusable_enough_for_has_huerde"
"reuse_einsatz/Bestandverplanzung_Pavilion_Muenchen__005__Treppen_Gel_nder","","","","","","","nicht belegt","not_reusable_enough_for_has_huerde"
"reuse_einsatz/Bestandverplanzung_Pavilion_Muenchen__006__TGA_Sanit_r_Beleuchtung","","","","","","","nicht belegt","not_reusable_enough_for_has_huerde"
"reuse_einsatz/Big_Dig_Building_Boston__005__TGA_Fenster_T_ren_Dach","","","","","","","nicht belegt","not_reusable_enough_for_has_huerde"
"reuse_einsatz/Big_Dig_House_Lexington_Massachusetts__002__Stahlst_tzen","","","","","","","Gewicht / Montage","no_token_match"
"reuse_einsatz/Big_Dig_House_Lexington_Massachusetts__004__Ramp_pier_components","","","","","","","heavy lifting / transport","no_token_match"
"reuse_einsatz/Big_Dig_House_Lexington_Massachusetts__005__Dachgarten_Tragunterbau","","","","","","","Gewicht / Abdichtung","no_token_match"
"reuse_einsatz/Big_Dig_House_Lexington_Massachusetts__006__Glas_Zedernfassade","","","","","","","nicht zählen","not_reusable_enough_for_has_huerde"
"reuse_einsatz/Big_Dig_House_Lexington_Massachusetts__007__Concrete_block_garage_wing","","","","","","","nicht zählen","not_reusable_enough_for_has_huerde"
"reuse_einsatz/BioPartner_5_Leiden_Oegstgeest__008__Beleuchtung","","","","","","","nicht belegt","not_reusable_enough_for_has_huerde"
"reuse_einsatz/BlueCity_Offices_Rotterdam__002__wiederverwendeter_Stahl","","","","","","","Rolle/Menge nicht belegt","not_reusable_enough_for_has_huerde"
"reuse_einsatz/BlueCity_Offices_Rotterdam__003__Betonbl_cke","","","","","","","nur Sekundärquelle","no_token_match"
"reuse_einsatz/BlueCity_Offices_Rotterdam__004__Balustraden","","","","","","","Quelle sekundär","no_token_match"
"reuse_einsatz/BlueCity_Offices_Rotterdam__005__T_ren","","","","","","","keine Reuse-Belege","not_reusable_enough_for_has_huerde"
"reuse_einsatz/BlueCity_Offices_Rotterdam__006__Beleuchtung","","","","","","","nicht belegt als Reuse","not_reusable_enough_for_has_huerde"
"reuse_einsatz/BlueCity_Offices_Rotterdam__007__feste_Einbauten","","","","","","","Quellenfokus auf Fensterrahmen","no_token_match"
"reuse_einsatz/Boulder_Fire_Station_3__002__Stahlstockpile_gesamt","","","","","","","Matching von Bauteilen zu Projekten","no_token_match"
"reuse_einsatz/Boulder_Fire_Station_3__003__Glulam_timber_columns","","","","","","","nicht Direct Reuse","not_reusable_enough_for_has_huerde"
"reuse_einsatz/Boulder_Fire_Station_3__004__Concrete_slab_on_metal_deck_composite_framing","","","","","","","nicht Direct Reuse","not_reusable_enough_for_has_huerde"
"reuse_einsatz/Boulder_Fire_Station_3__005__PV_Dach_gro_e_Dachfl_che","","","","","","","nicht Direct Reuse","not_reusable_enough_for_has_huerde"
"reuse_einsatz/Brent_Cross_Town_Primary_Substation_London__002__Aussteifung_bracing_members","","","","","","","geänderte Designs / reserved steel mismatch","no_token_match"
"reuse_einsatz/Brent_Cross_Town_Primary_Substation_London__003__Fa_ade_support_members","","","","","","","Reused tubes wären hier laut Arup weniger effizient","not_reusable_enough_for_has_huerde"
"reuse_einsatz/Brent_Cross_Town_Primary_Substation_London__004__Ovaler_Substation_Screen","","","","","","","große Landmarke an Verkehrsraum","no_token_match"
"reuse_einsatz/Brent_Cross_Town_Primary_Substation_London__005__Earth_Friendly_Concrete_low_cement_concrete","","","","","","","nicht als Direct Reuse zählen","not_reusable_enough_for_has_huerde"
"reuse_einsatz/Brent_Cross_Town_Primary_Substation_London__006__Elektrotechnische_Anlagen","","","","","","","außerhalb Reuse-Fokus","not_reusable_enough_for_has_huerde"
"reuse_einsatz/Brighton_Waste_House_Brighton__003__Sperrholz_ply_sheets","","","","","","","Produktdaten fehlen","no_token_match"
"reuse_einsatz/Brighton_Waste_House_Brighton__004__Teppichfliesen","","","","","","","ungewöhnliche Außenanwendung","no_token_match"
"reuse_einsatz/Brighton_Waste_House_Brighton__005__Vinylbanner","","","","","","","Eignung als Baufolie","no_token_match"
"reuse_einsatz/Brighton_Waste_House_Brighton__006__Zahnb_rsten","","","","","","","ungewöhnliches Material","no_token_match"
"reuse_einsatz/Brighton_Waste_House_Brighton__011__Duvets_Bettdecken","","","","","","","experimentelle Eignung","no_token_match"
"reuse_einsatz/Brighton_Waste_House_Brighton__012__Austernschalen_Wandfliesen","","","","","","","neues Materialexperiment","not_reusable_enough_for_has_huerde"
"reuse_einsatz/Broethen_Twin_House_Hoyerswerda__002__Deckenplatten","","","","","","","Transportgewicht","no_token_match"
"reuse_einsatz/Broethen_Twin_House_Hoyerswerda__008__TGA","","","","","","","Integration in Platten","not_reusable_enough_for_has_huerde"
"reuse_einsatz/CRCLR_House_Impact_Hub_Berlin__002__Stahlfachwerktr_ger","","","","","","","Quellenkonflikt zum realisierten Umfang","no_token_match"
"reuse_einsatz/CRCLR_House_Impact_Hub_Berlin__004__Sanit_robjekte_Duschtassen","","","","","","","geringer als Fenster/Türen","no_token_match"
"reuse_einsatz/CRCLR_House_Impact_Hub_Berlin__007__TGA_sichtbar_gef_hrt","","","","","","","Koordination","no_token_match"
"reuse_einsatz/Charles_Malis_Molenbeek__002__Leuchten","","","","","","","nur fest installierte Leuchten zählen","no_token_match"
"reuse_einsatz/Charles_Malis_Molenbeek__003__Betonst_tzen_balken_Binder","","","","","","","zählt nicht als Direct Reuse, da Bestandserhalt","not_reusable_enough_for_has_huerde"
"reuse_einsatz/Charles_Malis_Molenbeek__004__Ornamentale_Fassade","","","","","","","zählt nicht als Direct Reuse","not_reusable_enough_for_has_huerde"
