"source","case_id","legacy_path","value","relationship","confidence_source","note","raw_label","reason"
"reuse_einsatz/55_Great_Suffolk_Street_London__004__Bestandslagerhaus","","","","","","","denkmal-/bauaufsichtlich unbekannt","not_reusable_enough_for_has_pruefung_nachweis"
"reuse_einsatz/AWM_Muenster_Circular_Office__004__Kabeltrassen_und_LED_Leuchten","","","","","","","Elektrosicherheitsprüfung unbekannt","no_token_match"
"reuse_einsatz/Berlin_Schildow_Pilot_House_2__001__zugeschnittene_Betonfertigteile","","","","","","","allgemein geprüft, Detailwerte unbekannt","no_token_match"
"reuse_einsatz/Berlin_Schildow_Pilot_House__001__zugeschnittene_Betonfertigteile","","","","","","","Festigkeitstests allgemein belegt","no_token_match"
"reuse_einsatz/Berlin_Schildow_Pilot_House__002__Deckenplatten","","","","","","","belastet/gesägt/gebohrt im Forschungsumfeld","no_token_match"
"reuse_einsatz/Berlin_Schildow_Pilot_House__003__Innenwandplatten","","","","","","","Festigkeitstests allgemein","no_token_match"
"reuse_einsatz/BioPartner_5_Leiden_Oegstgeest__001__Tr_ger_St_tzen_Stahlrahmen","","","","","","","Berechnung, Archivrecherche, destruktive Untersuchung genannt","no_token_match"
"reuse_einsatz/BioPartner_5_Leiden_Oegstgeest__007__Sanit_r","","","","","","","hygienische/technische Prüfung unbekannt","no_token_match"
"reuse_einsatz/Brent_Cross_Town_Primary_Substation_London__002__Aussteifung_bracing_members","","","","","","","wie oben","no_token_match"
"reuse_einsatz/Brighton_Waste_House_Brighton__006__Zahnb_rsten","","","","","","","Monitoring unbekannt","no_token_match"
"reuse_einsatz/Brighton_Waste_House_Brighton__011__Duvets_Bettdecken","","","","","","","Test geplant","no_token_match"
"reuse_einsatz/CascadeUp_London_secondary_timber_glulam_demonstrator__001__Tragwerksrahmen_Balken_St_tzen","","","","","","","Begleitforschung zu Sekundärholz/CLST; Pilot-spezifisch unbekannt","no_token_match"
"reuse_einsatz/CascadeUp_London_secondary_timber_glulam_demonstrator__003__Bodenpaneele","","","","","","","Begleitforschung zu CLST, spezifisch unbekannt","no_token_match"
"reuse_einsatz/Charles_Malis_Molenbeek__002__Leuchten","","","","","","","elektrische Prüfung unbekannt","no_token_match"
"reuse_einsatz/Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot__001__Hohlk_rperdecken_kanaalplaatvloeren","","","","","","","Druck-/Belastungstests laut Lagemaat; weitere QA unbekannt","no_token_match"
"reuse_einsatz/Circular_Pavilion_Paris__006__vier_gro_e_Leuchten","","","","","","","elektrische Prüfung unbekannt","no_token_match"
"reuse_einsatz/Europa_Building_Brussels__003__Residence_Palace_Bestand","","","","","","","Denkmal-/Zustandsprüfung unbekannt","not_reusable_enough_for_has_pruefung_nachweis"
"reuse_einsatz/Ferme_du_Rail_Paris__001__Holzfensterrahmen_Ch_ssis_bois","","","","","","","Bureau de contrôle beteiligt","no_token_match"
"reuse_einsatz/Ferme_du_Rail_Paris__002__Holzfensterrahmen","","","","","","","Bureau de contrôle akzeptierte geringes Risiko","no_token_match"
"reuse_einsatz/Ferme_du_Rail_Paris__006__Fliesen_Fayence","","","","","","","PV und Produktdaten vorhanden","no_token_match"
"reuse_einsatz/Grande_Halle_de_Colombelles__011__Bestand_Betonstruktur","","","","","","","Ferroscan belegt","not_reusable_enough_for_has_pruefung_nachweis"
"reuse_einsatz/Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere__001__Hohlk_rperdecken","","","","","","","sorgfältige Qualitätssicherung; Details unbekannt","no_token_match"
"reuse_einsatz/Haus_HOS_Mehrfamilienhaus_Muehlhausen__004__Gesamtbauteile","","","","","","","teilweise belegt","no_token_match"
"reuse_einsatz/Holbein_Gardens_London__001__Stahltr_ger_st_tzen","","","","","","","CST / P427; zerstörende und zerstörungsfreie Prüfungen","no_token_match"
"reuse_einsatz/Holbein_Gardens_London__003__bestehender_Betonrahmen","","","","","","","Bestandsuntersuchungen","not_reusable_enough_for_has_pruefung_nachweis"
