"folder","role","decision","current_nodes","note"
"fallstudie","core entity","include","99","use existing staged nodes"
"projekt","core entity","include","89","use existing staged nodes"
"bauobjekt","core entity","include","88","use existing staged nodes"
"akteur","core entity","include","65","use existing staged nodes"
"reuse_einsatz","core entity","include","637","use existing staged nodes"
"reuse_kette","core entity","include","43","use existing staged nodes"
"reuse_kettenstation","core entity","include","86","use existing staged nodes"
"akteur_beteiligung","core entity","include","238","use existing staged nodes"
"bauobjekt_beteiligung","core entity","include","0","schema folder, create nodes later from donor/receiver roles"
"datenpunkt","core entity","include","619","use existing staged nodes"
"quelle","core entity","include","96","final should archive all 567 old files"
"software_digitaltool","core entity","include","76","use existing staged nodes"
"bauobjektklasse","controlled knot","include",,"use existing staged nodes"
"bauobjektrolle","controlled knot","include","0","schema folder, no fake nodes yet"
"bauobjektstatus","controlled knot","include","0","schema folder, no fake nodes yet"
"nutzung","controlled knot","include","0","schema folder, no fake nodes yet"
"bauaufgabe_intervention","controlled knot","include","3","use existing staged nodes"
"ort","controlled knot","include","12","use existing staged nodes"
"reuse_strategie","controlled knot","include","8","use existing staged nodes"
"bewertungslogik_abgrenzung","controlled knot","include","7","use existing staged nodes"
"reuse_einsatzstatus","controlled knot","include",,"use existing staged nodes"
"ressourcenquelle","controlled knot","include",,"use existing staged nodes"
"beschaffungsweg","controlled knot","include","2","use existing staged nodes"
"bauteiltyp","controlled knot","include","53","use existing staged nodes"
"bauteilebene","controlled knot","include","0","schema folder, no fake nodes yet"
"material","controlled knot","include","27","use existing staged nodes"
"bauteilzustand","controlled knot","include","0","schema folder, no fake nodes yet"
"funktionswechsel","controlled knot","include","0","schema folder, no fake nodes yet"
"bauweise","controlled knot","include","2","use existing staged nodes"
"bausystem","controlled knot","include","3","use existing staged nodes"
"tragwerksprinzip","controlled knot","include","4","use existing staged nodes"
"tragwerkstyp","controlled knot","include","9","use existing staged nodes"
"fuegung_verbindung","controlled knot","include","12","use existing staged nodes"
"prozessphase","controlled knot","include","9","use existing staged nodes"
"rueckbauverfahren","controlled knot","include","5","use existing staged nodes"
"aufbereitungsverfahren","controlled knot","include","7","use existing staged nodes"
"logistik","controlled knot","include","6","use existing staged nodes"
"pruefung_nachweis","controlled knot","include","11","use existing staged nodes"
"leistungsanforderung","controlled knot","include","13","use existing staged nodes"
"norm","controlled knot","include","9","use existing staged nodes"
"rechtliche_bedingung","controlled knot","include","6","use existing staged nodes"
"schadstoff","controlled knot","include","5","use existing staged nodes"
"huerde","controlled knot","include","30","use existing staged nodes"
"kennwertdefinition","controlled knot","include","31","use existing staged nodes"
"datenqualitaet","controlled knot","include","0","schema folder, no fake nodes yet"
"zertifizierung_bewertungssystem","controlled knot","include",,"use existing staged nodes"
"datenmodell","controlled knot","include","9","use existing staged nodes"
"dokumenttyp","controlled knot","include","16","use existing staged nodes"
"programm_kontext","controlled knot","include","0","schema folder, no fake nodes yet"
"kontextmerkmal","controlled knot","include","2","use existing staged nodes"
"wirtschaft","controlled knot","include","6","use existing staged nodes"
"akteurrolle","controlled knot","include","21","use existing staged nodes"
"tooltyp","controlled knot","include","2","use existing staged nodes"
"foerderprogramm","controlled knot","include","5","use existing staged nodes"
"methode","controlled knot","include","11","use existing staged nodes"
"meta","excluded/hold","exclude_first_version","6","do not include in first final database"
"akteurleistung","excluded/hold","exclude_first_version","0","do not include in first final database"
"akteurtyp","excluded/hold","exclude_first_version","0","do not include in first final database"
"beleg","excluded/hold","exclude_first_version","0","do not include in first final database"
"gebaeudetypologie","excluded/hold","exclude_first_version","0","do not include in first final database"
"plattformfunktion","excluded/hold","exclude_first_version","0","do not include in first final database"
"plattformzugang","excluded/hold","exclude_first_version","0","do not include in first final database"
