"id","target","status"
"Platte_Paneel","bauteiltyp/Platte_Paneel","already_exists"
"Ziegel","bauteiltyp/Ziegel","already_exists"
"Mauerstein_Block","bauteiltyp/Mauerstein_Block","created"
"Dachziegel","bauteiltyp/Dachziegel","already_exists"
"Pflaster_Bodenplatte","bauteiltyp/Pflaster_Bodenplatte","already_exists"
"Bodenbelag","bauteiltyp/Bodenbelag","already_exists"
"Akustikelement","bauteiltyp/Akustikelement","already_exists"
"Innenausbau_Element","bauteiltyp/Innenausbau_Element","already_exists"
"Kueche","bauteiltyp/Kueche","already_exists"
"Bruestung","bauteiltyp/Bruestung","already_exists"
"Gitterrost","bauteiltyp/Gitterrost","already_exists"
"Beschattung_Sonnenschutz","bauteiltyp/Beschattung_Sonnenschutz","already_exists"
"Vordach_Ueberdachung","bauteiltyp/Vordach_Ueberdachung","already_exists"
"Fundament_Bodenplatte","bauteiltyp/Fundament_Bodenplatte","already_exists"
"Auflager_Widerlager","bauteiltyp/Auflager_Widerlager","already_exists"
"Blechpaneel","bauteiltyp/Blechpaneel","already_exists"
"Schacht","bauteiltyp/Schacht","already_exists"
"Landschaftselement","bauteiltyp/Landschaftselement","already_exists"
"Bauwerksteil","bauteiltyp/Bauwerksteil","already_exists"
