"target","target_index","legacy_source_count","roles"
"bauteiltyp/Betonfertigteil","_graph\bauteiltyp\Betonfertigteil\index.md","3","phase1_primary; phase2_secondary; phase2_primary"
"bauteiltyp/Deckenplatte","_graph\bauteiltyp\Deckenplatte\index.md","2","phase1_primary; phase2_primary"
"bauteiltyp/Fachwerktraeger","_graph\bauteiltyp\Fachwerktraeger\index.md","2","phase1_primary; phase2_secondary"
"bauteiltyp/Traeger","_graph\bauteiltyp\Traeger\index.md","2","phase1_primary; phase2_primary"
"datenmodell/Materialpass_Schema","_graph\datenmodell\Materialpass_Schema\index.md","2","phase1_primary; phase2_secondary"
"dokumenttyp/Materialpass","_graph\dokumenttyp\Materialpass\index.md","2","phase1_primary; phase2_primary"
"material/Beton","_graph\material\Beton\index.md","2","phase1_primary; phase2_secondary"
"material/Holz","_graph\material\Holz\index.md","4","phase1_primary; phase2_secondary"
"material/Stahl","_graph\material\Stahl\index.md","3","phase1_primary; phase2_secondary"
"reuse_strategie/Design_for_Disassembly","_graph\reuse_strategie\Design_for_Disassembly\index.md","3","phase1_primary; phase2_primary"
"methode/Pre_Deconstruction_Audit","_graph\methode\Pre_Deconstruction_Audit\index.md","1","phase2_secondary"
"datenmodell/Gebaeuderessourcenpass","_graph\datenmodell\Gebaeuderessourcenpass\index.md","1","phase2_secondary"
"beschaffungsweg/Digitale_Plattform","_graph\beschaffungsweg\Digitale_Plattform\index.md","1","phase2_secondary"
"tooltyp/Bauteilboerse","_graph\tooltyp\Bauteilboerse\index.md","6","phase2_secondary"
"beschaffungsweg/Bauteilboerse","_graph\beschaffungsweg\Bauteilboerse\index.md","6","phase2_secondary"
"ressourcenquelle/Bauteilboerse","_graph\ressourcenquelle\Bauteilboerse\index.md","6","phase2_secondary"
"methode/Abrissmonitoring","_graph\methode\Abrissmonitoring\index.md","1","phase2_secondary"
"kontextmerkmal/Bestandserhalt_Policy","_graph\kontextmerkmal\Bestandserhalt_Policy\index.md","1","phase2_secondary"
"datenmodell/Materialpass","_graph\datenmodell\Materialpass\index.md","1","phase2_secondary"
"dokumenttyp/Gebaeuderessourcenpass","_graph\dokumenttyp\Gebaeuderessourcenpass\index.md","2","phase2_secondary; phase2_primary"
"tooltyp/Materialkataster","_graph\tooltyp\Materialkataster\index.md","1","phase2_secondary"
"fuegung_verbindung/Beton_Fertigteile_Verbindungen","_graph\fuegung_verbindung\Beton_Fertigteile_Verbindungen\index.md","1","phase2_primary"
"material/Beton_Fertigteile","_graph\material\Beton_Fertigteile\index.md","1","phase2_secondary"
"fuegung_verbindung/Composite_Verbindungen","_graph\fuegung_verbindung\Composite_Verbindungen\index.md","1","phase2_primary"
"material/Composite","_graph\material\Composite\index.md","1","phase2_secondary"
"fuegung_verbindung/Holz_Verbindungen","_graph\fuegung_verbindung\Holz_Verbindungen\index.md","1","phase2_primary"
"fuegung_verbindung/Stahl_Verbindungen","_graph\fuegung_verbindung\Stahl_Verbindungen\index.md","1","phase2_primary"
"leistungsanforderung/Brandschutzanforderung","_graph\leistungsanforderung\Brandschutzanforderung\index.md","1","phase2_primary"
"leistungsanforderung/F90","_graph\leistungsanforderung\F90\index.md","1","phase2_primary"
"leistungsanforderung/Feuerwiderstand","_graph\leistungsanforderung\Feuerwiderstand\index.md","1","phase2_primary"
"leistungsanforderung/R90","_graph\leistungsanforderung\R90\index.md","1","phase2_primary"
"leistungsanforderung/REI90","_graph\leistungsanforderung\REI90\index.md","1","phase2_primary"
"bauaufgabe_intervention/Aufstockung","_graph\bauaufgabe_intervention\Aufstockung\index.md","2","phase2_primary"
"kontextmerkmal/Pilotprojekt","_graph\kontextmerkmal\Pilotprojekt\index.md","1","phase2_primary"
"reuse_einsatzstatus/Temporaer","_graph\reuse_einsatzstatus\Temporaer\index.md","1","phase2_primary"
"reuse_strategie/Temporaerer_Wiedereinbau","_graph\reuse_strategie\Temporaerer_Wiedereinbau\index.md","1","phase2_secondary"
"bauaufgabe_intervention/Umbau","_graph\bauaufgabe_intervention\Umbau\index.md","1","phase2_primary"
"bauaufgabe_intervention/Umnutzung","_graph\bauaufgabe_intervention\Umnutzung\index.md","1","phase2_primary"
"bauweise/Holzbauweise","_graph\bauweise\Holzbauweise\index.md","1","phase2_secondary"
"tragwerkstyp/Holztragwerk","_graph\tragwerkstyp\Holztragwerk\index.md","2","phase2_secondary; phase2_primary"
"bausystem/Betonfertigteil_System","_graph\bausystem\Betonfertigteil_System\index.md","2","phase2_primary; phase2_secondary"
"tragwerkstyp/Betonfertigteiltragwerk","_graph\tragwerkstyp\Betonfertigteiltragwerk\index.md","1","phase2_secondary"
"tragwerkstyp/Dachtragwerk","_graph\tragwerkstyp\Dachtragwerk\index.md","1","phase2_primary"
"tragwerksprinzip/Fachwerk","_graph\tragwerksprinzip\Fachwerk\index.md","1","phase2_secondary"
"methode/Design_for_Disassembly","_graph\methode\Design_for_Disassembly\index.md","1","phase2_secondary"
"tragwerkstyp/Demontierbares_Tragwerk","_graph\tragwerkstyp\Demontierbares_Tragwerk\index.md","2","phase2_secondary"
"bausystem/Holz_Skelettbau","_graph\bausystem\Holz_Skelettbau\index.md","1","phase2_primary"
"tragwerkstyp/Holz_Skeletttragwerk","_graph\tragwerkstyp\Holz_Skeletttragwerk\index.md","1","phase2_secondary"
"fuegung_verbindung/Reversible_Fuegung","_graph\fuegung_verbindung\Reversible_Fuegung\index.md","1","phase2_primary"
"tragwerksprinzip/Skelettbauweise","_graph\tragwerksprinzip\Skelettbauweise\index.md","1","phase2_primary"
"tragwerkstyp/Skeletttragwerk","_graph\tragwerkstyp\Skeletttragwerk\index.md","1","phase2_secondary"
"bausystem/Stahl_Skelettbau","_graph\bausystem\Stahl_Skelettbau\index.md","1","phase2_primary"
"tragwerkstyp/Stahl_Skeletttragwerk","_graph\tragwerkstyp\Stahl_Skeletttragwerk\index.md","1","phase2_secondary"
"tragwerkstyp/Plattentragwerk","_graph\tragwerkstyp\Plattentragwerk\index.md","1","phase2_secondary"
"bauweise/Ortbetonbauweise","_graph\bauweise\Ortbetonbauweise\index.md","1","phase2_primary"
"tragwerkstyp/Ortbetontragwerk","_graph\tragwerkstyp\Ortbetontragwerk\index.md","1","phase2_secondary"
"bauteiltyp/Tragende_Wand","_graph\bauteiltyp\Tragende_Wand\index.md","2","phase2_primary"
"bauteiltyp/Kern","_graph\bauteiltyp\Kern\index.md","1","phase2_secondary"
"tragwerksprinzip/Wand_Kern_Tragwerk","_graph\tragwerksprinzip\Wand_Kern_Tragwerk\index.md","1","phase2_secondary"
"tragwerksprinzip/Wandtragwerk","_graph\tragwerksprinzip\Wandtragwerk\index.md","1","phase2_secondary"
"zertifizierung_bewertungssystem/DGNB","_graph\zertifizierung_bewertungssystem\DGNB\index.md","1","phase2_secondary"
