"canonical_target","entity","id","title","legacy_source_count","target_index"
"akteur/Architects_for_Future_Deutschland","akteur","Architects_for_Future_Deutschland","Architects for Future Deutschland","2","_graph\akteur\Architects_for_Future_Deutschland\index.md"
"akteur/Architektenkammer_Berlin_A_Wie_Zirkulaer","akteur","Architektenkammer_Berlin_A_Wie_Zirkulaer","Architektenkammer Berlin A Wie Zirkulaer","1","_graph\akteur\Architektenkammer_Berlin_A_Wie_Zirkulaer\index.md"
"akteur/baubuero_in_situ_zirkular","akteur","baubuero_in_situ_zirkular","baubüro in situ + Zirkular","1","_graph\akteur\baubuero_in_situ_zirkular\index.md"
"akteur/Bauhaus_Erde","akteur","Bauhaus_Erde","Bauhaus Erde","1","_graph\akteur\Bauhaus_Erde\index.md"
"akteur/Bauteilboerse_Bremen","akteur","Bauteilboerse_Bremen","Bauteilboerse Bremen","1","_graph\akteur\Bauteilboerse_Bremen\index.md"
"akteur/Bauteilboerse_Hannover","akteur","Bauteilboerse_Hannover","Bauteilbörse Hannover","1","_graph\akteur\Bauteilboerse_Hannover\index.md"
"akteur/Bauteilnetz_Deutschland","akteur","Bauteilnetz_Deutschland","Bauteilnetz Deutschland","1","_graph\akteur\Bauteilnetz_Deutschland\index.md"
"akteur/BBSR_Zukunft_Bau","akteur","BBSR_Zukunft_Bau","BBSR Zukunft Bau","1","_graph\akteur\BBSR_Zukunft_Bau\index.md"
"akteur/BDA_Bund_Deutscher_Architektinnen_Architekten","akteur","BDA_Bund_Deutscher_Architektinnen_Architekten","BDA Bund Deutscher Architektinnen Architekten","1","_graph\akteur\BDA_Bund_Deutscher_Architektinnen_Architekten\index.md"
"akteur/Bellastock","akteur","Bellastock","Bellastock","1","_graph\akteur\Bellastock\index.md"
"akteur/BIM_Berlin","akteur","BIM_Berlin","BIM Berlin — vertieftes Forschungsdossier","1","_graph\akteur\BIM_Berlin\index.md"
"akteur/BIZH","akteur","BIZH","BIZH","1","_graph\akteur\BIZH\index.md"
"akteur/Bundesstiftung_Bauakademie","akteur","Bundesstiftung_Bauakademie","Bundesstiftung Bauakademie","1","_graph\akteur\Bundesstiftung_Bauakademie\index.md"
"akteur/Bundesstiftung_Baukultur","akteur","Bundesstiftung_Baukultur","Bundesstiftung Baukultur","1","_graph\akteur\Bundesstiftung_Baukultur\index.md"
