"count","relation_target"
"1623","belongs_to_fallstudie, fallstudie"
"1494","belongs_to_projekt, projekt"
"298","has_akteurrolle, akteurrolle"
"88","has_bauobjekt, bauobjekt"
"848","has_bauteiltyp, bauteiltyp"
"151","has_bewertungslogik_abgrenzung, bewertungslogik_abgrenzung"
"444","has_huerde, huerde"
"3","has_leistungsanforderung, leistungsanforderung"
"89","has_projekt, projekt"
"48","has_pruefung_nachweis, pruefung_nachweis"
"637","installed_in_bauobjekt, bauobjekt"
"44","involves_akteur, akteur"
"619","measured_on_bauobjekt, bauobjekt"
"612","measures_kennwertdefinition, kennwertdefinition"
"86","part_of_reuse_kette, reuse_kette"
"9","references_norm, norm"
"238","relates_to_bauobjekt, bauobjekt"
"592","uses_material, material"
