"count","bucket"
"146","akteur, akteur_candidate, no_existing_actor_match"
"120","huerde, huerde_label, no_confident_huerde_match"
"110","kennwertdefinition, kennwert_label, no_confident_kennwertdefinition_match"
"51","akteur, akteur_candidate, multi_actor_or_unmerged_candidate"
"51","material, material_label, no_confident_material_match"
"50","pruefung_nachweis, pruefung_label, no_confident_pruefung_match"
"46","norm_or_leistungsanforderung, norm_recht_label, no_confident_norm_or_requirement_match"
"46","bauteiltyp, bauteil_label, no_confident_bauteiltyp_match"
"12","akteurrolle, beziehung, no_confident_akteurrolle_match"
"10","akteur, akteur_candidate, partially_resolved_multi_actor_label"
