"actor_label","actor_id","target","occurrence_count","status"
"Ramboll Finland","Ramboll_Finland","akteur/Ramboll_Finland","3","created"
"Umacon","Umacon","akteur/Umacon","3","created"
"Consolis Parma","Consolis_Parma","akteur/Consolis_Parma","3","created"
"IMd Raadgevende Ingenieurs","IMd_Raadgevende_Ingenieurs","akteur/IMd_Raadgevende_Ingenieurs","3","created"
"Lendager","Lendager","akteur/Lendager","2","already_exists"
"Zirkular GmbH","Zirkular_GmbH","akteur/Zirkular_GmbH","2","already_exists"
"Skanska Finland","Skanska_Finland","akteur/Skanska_Finland","2","created"
"Arup","Arup","akteur/Arup","2","created"
"Cleveland Steel and Tubes","Cleveland_Steel_and_Tubes","akteur/Cleveland_Steel_and_Tubes","2","created"
"cepezed","cepezed","akteur/cepezed","2","created"
"BLAF Architecten","BLAF_Architecten","akteur/BLAF_Architecten","2","created"
"Bellastock","Bellastock","akteur/Bellastock","2","already_exists"
