"target","reference_count","role","legacy_path","action"
"ressourcenquelle/Bauteilboerse","45","secondary","akteur\06_bauteilboersen_marktplaetze_handel\Bauteilboerse_Bremen.md","semantic_split"
"ressourcenquelle/Bauteilboerse","45","secondary","akteur\06_bauteilboersen_marktplaetze_handel\Bauteilboerse_Hannover.md","semantic_split"
"ressourcenquelle/Bauteilboerse","45","secondary","akteur\06_bauteilboersen_marktplaetze_handel\Bauteilnetz_Deutschland.md","semantic_split"
"ressourcenquelle/Bauteilboerse","45","secondary","akteur\06_bauteilboersen_marktplaetze_handel\Lindner_Group_ReUsed_Products.md","semantic_split"
"ressourcenquelle/Bauteilboerse","45","secondary","akteur\06_bauteilboersen_marktplaetze_handel\Restado.md","semantic_split"
"ressourcenquelle/Bauteilboerse","45","secondary","akteur\06_bauteilboersen_marktplaetze_handel\Rotor_DC.md","semantic_split"
"ressourcenquelle/Bauteilboerse","45","secondary","bauteilboerse\articonnex.md","split_platform_profile"
"ressourcenquelle/Bauteilboerse","45","secondary","bauteilboerse\backacia.md","split_platform_profile"
"ressourcenquelle/Bauteilboerse","45","secondary","bauteilboerse\baticycle.md","split_platform_profile"
"ressourcenquelle/Bauteilboerse","45","secondary","bauteilboerse\batiterre.md","split_platform_profile"
"ressourcenquelle/Bauteilboerse","45","secondary","bauteilboerse\batrecup.md","split_platform_profile"
"ressourcenquelle/Bauteilboerse","45","secondary","bauteilboerse\baukarussell.md","split_platform_profile"
"ressourcenquelle/Bauteilboerse","45","secondary","bauteilboerse\bauteilboerse-bremen.md","split_platform_profile"
"ressourcenquelle/Bauteilboerse","45","secondary","bauteilboerse\bauteilladen-winterthur.md","split_platform_profile"
"ressourcenquelle/Bauteilboerse","45","secondary","bauteilboerse\bauteilnetz-deutschland.md","split_platform_profile"
"ressourcenquelle/Bauteilboerse","45","secondary","bauteilboerse\building-spares-market.md","split_platform_profile"
"ressourcenquelle/Bauteilboerse","45","secondary","bauteilboerse\cornermat-retrival.md","split_platform_profile"
