"source","source_entity","source_id","field","raw_label","suggested_entity","reason","legacy_path"
"akteur_beteiligung/55_Great_Suffolk_Street_London__001__Fabrix","akteur_beteiligung","55_Great_Suffolk_Street_London__001__Fabrix","akteur_candidate","Fabrix","akteur","no_existing_actor_match","Gebäude\55_Great_Suffolk_Street_London.md"
"akteur_beteiligung/55_Great_Suffolk_Street_London__002__Hawkins_Brown","akteur_beteiligung","55_Great_Suffolk_Street_London__002__Hawkins_Brown","akteur_candidate","Hawkins\Brown","akteur","no_existing_actor_match","Gebäude\55_Great_Suffolk_Street_London.md"
"akteur_beteiligung/55_Great_Suffolk_Street_London__003__Symmetrys","akteur_beteiligung","55_Great_Suffolk_Street_London__003__Symmetrys","akteur_candidate","Symmetrys","akteur","no_existing_actor_match","Gebäude\55_Great_Suffolk_Street_London.md"
"akteur_beteiligung/55_Great_Suffolk_Street_London__004__AKT_II","akteur_beteiligung","55_Great_Suffolk_Street_London__004__AKT_II","akteur_candidate","AKT II","akteur","no_existing_actor_match","Gebäude\55_Great_Suffolk_Street_London.md"
"akteur_beteiligung/55_Great_Suffolk_Street_London__005__CBRE","akteur_beteiligung","55_Great_Suffolk_Street_London__005__CBRE","akteur_candidate","CBRE","akteur","no_existing_actor_match","Gebäude\55_Great_Suffolk_Street_London.md"
"akteur_beteiligung/55_Great_Suffolk_Street_London__006__Opera","akteur_beteiligung","55_Great_Suffolk_Street_London__006__Opera","akteur_candidate","Opera","akteur","no_existing_actor_match","Gebäude\55_Great_Suffolk_Street_London.md"
"akteur_beteiligung/55_Great_Suffolk_Street_London__007__Gardiner_Theobald","akteur_beteiligung","55_Great_Suffolk_Street_London__007__Gardiner_Theobald","akteur_candidate","Gardiner & Theobald","akteur","no_existing_actor_match","Gebäude\55_Great_Suffolk_Street_London.md"
"akteur_beteiligung/55_Great_Suffolk_Street_London__008__Cantillon","akteur_beteiligung","55_Great_Suffolk_Street_London__008__Cantillon","akteur_candidate","Cantillon","akteur","no_existing_actor_match","Gebäude\55_Great_Suffolk_Street_London.md"
"akteur_beteiligung/Association_house_Groeditz__001__Polony_2008_Mettke_Heyn_Dechantsreiter_als_Liter","akteur_beteiligung","Association_house_Groeditz__001__Polony_2008_Mettke_Heyn_Dechantsreiter_als_Liter","akteur_candidate","Polony 2008; Mettke/Heyn/Dechantsreiter als Literaturquellen","akteur","multi_actor_or_unmerged_candidate","Gebäude\Association_house_Groeditz.md"
"akteur_beteiligung/Association_house_Plauen__001__Angelika_Mettke_Heyn_et_al_Dechantsreiter_et_al","akteur_beteiligung","Association_house_Plauen__001__Angelika_Mettke_Heyn_et_al_Dechantsreiter_et_al","akteur_candidate","Angelika Mettke / Heyn et al. / Dechantsreiter et al. / Fischer et al.","akteur","multi_actor_or_unmerged_candidate","Gebäude\Association_house_Plauen.md"
