"entity","id","typed_path","title","build_status","markdown_path","dateien_file_count","imported_source_count"
"akteur","Architects_for_Future_Deutschland","akteur/Architects_for_Future_Deutschland","Architects for Future Deutschland","promoted_phase42","_database/akteur/Architects_for_Future_Deutschland/index.md","1","1"
"akteur","Architektenkammer_Berlin_A_Wie_Zirkulaer","akteur/Architektenkammer_Berlin_A_Wie_Zirkulaer","Architektenkammer Berlin A Wie Zirkulaer","promoted_phase42","_database/akteur/Architektenkammer_Berlin_A_Wie_Zirkulaer/index.md","1","1"
"akteur","Arup","akteur/Arup","Arup","promoted_phase42","_database/akteur/Arup/index.md","1","1"
"akteur","baubuero_in_situ_zirkular","akteur/baubuero_in_situ_zirkular","baubüro in situ + Zirkular","promoted_phase42","_database/akteur/baubuero_in_situ_zirkular/index.md","1","1"
"akteur","Bauhaus_Erde","akteur/Bauhaus_Erde","Bauhaus Erde","promoted_phase42","_database/akteur/Bauhaus_Erde/index.md","1","1"
"akteur","Bauteilboerse_Bremen","akteur/Bauteilboerse_Bremen","Bauteilboerse Bremen","promoted_phase42","_database/akteur/Bauteilboerse_Bremen/index.md","1","1"
"akteur","Bauteilboerse_Hannover","akteur/Bauteilboerse_Hannover","Bauteilbörse Hannover","promoted_phase42","_database/akteur/Bauteilboerse_Hannover/index.md","1","1"
"akteur","Bauteilnetz_Deutschland","akteur/Bauteilnetz_Deutschland","Bauteilnetz Deutschland","promoted_phase42","_database/akteur/Bauteilnetz_Deutschland/index.md","1","1"
"akteur","BBSR_Zukunft_Bau","akteur/BBSR_Zukunft_Bau","BBSR Zukunft Bau","promoted_phase42","_database/akteur/BBSR_Zukunft_Bau/index.md","1","1"
"akteur","BDA_Bund_Deutscher_Architektinnen_Architekten","akteur/BDA_Bund_Deutscher_Architektinnen_Architekten","BDA Bund Deutscher Architektinnen Architekten","promoted_phase42","_database/akteur/BDA_Bund_Deutscher_Architektinnen_Architekten/index.md","1","1"
"akteur","Bellastock","akteur/Bellastock","Bellastock","promoted_phase42","_database/akteur/Bellastock/index.md","1","1"
"akteur","BIM_Berlin","akteur/BIM_Berlin","BIM Berlin — vertieftes Forschungsdossier","promoted_phase42","_database/akteur/BIM_Berlin/index.md","1","1"
"akteur","BIZH","akteur/BIZH","BIZH","promoted_phase42","_database/akteur/BIZH/index.md","1","1"
"akteur","BLAF_Architecten","akteur/BLAF_Architecten","BLAF Architecten","promoted_phase42","_database/akteur/BLAF_Architecten/index.md","1","1"
"akteur","Bundesstiftung_Bauakademie","akteur/Bundesstiftung_Bauakademie","Bundesstiftung Bauakademie","promoted_phase42","_database/akteur/Bundesstiftung_Bauakademie/index.md","1","1"
"akteur","Bundesstiftung_Baukultur","akteur/Bundesstiftung_Baukultur","Bundesstiftung Baukultur","promoted_phase42","_database/akteur/Bundesstiftung_Baukultur/index.md","1","1"
"akteur","C2C_NGO","akteur/C2C_NGO","C2C NGO","promoted_phase42","_database/akteur/C2C_NGO/index.md","1","1"
"akteur","cepezed","akteur/cepezed","cepezed","promoted_phase42","_database/akteur/cepezed/index.md","1","1"
"akteur","Circular_Berlin","akteur/Circular_Berlin","Circular Berlin","promoted_phase42","_database/akteur/Circular_Berlin/index.md","1","1"
"akteur","Circular_Structural_Design","akteur/Circular_Structural_Design","Circular Structural Design","promoted_phase42","_database/akteur/Circular_Structural_Design/index.md","1","1"
"akteur","CITYFOERSTER","akteur/CITYFOERSTER","CITYFOERSTER","promoted_phase42","_database/akteur/CITYFOERSTER/index.md","1","1"
"akteur","Cleveland_Steel_and_Tubes","akteur/Cleveland_Steel_and_Tubes","Cleveland Steel and Tubes","promoted_phase42","_database/akteur/Cleveland_Steel_and_Tubes/index.md","1","1"
"akteur","Concular","akteur/Concular","Concular — vertieftes Forschungsdossier","promoted_phase42","_database/akteur/Concular/index.md","1","1"
"akteur","Consolis_Parma","akteur/Consolis_Parma","Consolis Parma","promoted_phase42","_database/akteur/Consolis_Parma/index.md","1","1"
