file,source_folder,entity_type,value
55_Great_Suffolk_Street_London.md,Gebäude,Fallstudie,55 Great Suffolk Street
55_Great_Suffolk_Street_London.md,Gebäude,Gebaeude,Grade II Listed Victorian warehouse
55_Great_Suffolk_Street_London.md,Gebäude,Projekt,Retrofit + Extension zu Arbeitsplatznutzung
55_Great_Suffolk_Street_London.md,Gebäude,Ort,"Southwark, London, UK"
55_Great_Suffolk_Street_London.md,Gebäude,Akteur,Fabrix
55_Great_Suffolk_Street_London.md,Gebäude,Akteur,Hawkins\Brown
55_Great_Suffolk_Street_London.md,Gebäude,Akteur,Symmetrys
55_Great_Suffolk_Street_London.md,Gebäude,Akteur,AKT II
55_Great_Suffolk_Street_London.md,Gebäude,Akteur,CBRE
55_Great_Suffolk_Street_London.md,Gebäude,Akteur,Opera
55_Great_Suffolk_Street_London.md,Gebäude,Akteur,Gardiner & Theobald
55_Great_Suffolk_Street_London.md,Gebäude,Akteur,Cantillon
55_Great_Suffolk_Street_London.md,Gebäude,Akteur,Cleveland Steel and Tubes
55_Great_Suffolk_Street_London.md,Gebäude,Bauteil,Wiederverwendete Stahlprofile
55_Great_Suffolk_Street_London.md,Gebäude,Material,Baustahl
55_Great_Suffolk_Street_London.md,Gebäude,Bauteilboerse,keine klassische Bauteilbörse
55_Great_Suffolk_Street_London.md,Gebäude,Bericht,ASBP DISRUPT case study
55_Great_Suffolk_Street_London.md,Gebäude,Kennwert,20.35 t reused steel
55_Great_Suffolk_Street_London.md,Gebäude,Kennwert,ca. 50 t CO₂
55_Great_Suffolk_Street_London.md,Gebäude,Kennwert,386 kgCO₂e/m² A1-A5
55_Great_Suffolk_Street_London.md,Gebäude,Pruefung,Testing + CE marking
55_Great_Suffolk_Street_London.md,Gebäude,Norm_Recht,EN 1090
55_Great_Suffolk_Street_London.md,Gebäude,Norm_Recht,Grade II listing / Heritage at Risk
55_Great_Suffolk_Street_London.md,Gebäude,Reuse_Strategie,Ex-situ Bauteilwiederverwendung
55_Great_Suffolk_Street_London.md,Gebäude,Abbruchmethode,Deconstruction / Demolition donor site 1 Broadgate
55_Great_Suffolk_Street_London.md,Gebäude,Aufbereitungsmethode,"Entfernen von Anbauteilen, Löcher füllen, Testen, CE marking"
55_Great_Suffolk_Street_London.md,Gebäude,Verbindung,Stahlbauverbindungen
55_Great_Suffolk_Street_London.md,Gebäude,Huerde,"Profilverfügbarkeit, Services, Profilhöhen, Zertifizierung"
55_Great_Suffolk_Street_London.md,Gebäude,Leistungsanforderung,"Tragfähigkeit, Zertifizierung, Brandschutz, Erschließung"
55_Great_Suffolk_Street_London.md,Gebäude,Wirtschaft,"Materialkosten niedriger, aber keine Gesamteinsparung"
55_Great_Suffolk_Street_London.md,Gebäude,Logistik,"Vorausbeschaffung, Lagerung bei Cleveland"
55_Great_Suffolk_Street_London.md,Gebäude,Werkzeug,unbekannt
55_Great_Suffolk_Street_London.md,Gebäude,Werkzeug,unbekannt
55_Great_Suffolk_Street_London.md,Gebäude,Schadstoff,unbekannt
55_Great_Suffolk_Street_London.md,Gebäude,Foerderprogramm,DISRUPT
55_Great_Suffolk_Street_London.md,Gebäude,Methode,Circular economy / urban mining
55_Great_Suffolk_Street_London.md,Gebäude,Donor-Gebäude,Reuse braucht Herkunftsobjekt als eigene Entität
55_Great_Suffolk_Street_London.md,Gebäude,Reuse-Stockholder,Spezifischer Akteur zwischen Rückbau und Wiedereinbau
55_Great_Suffolk_Street_London.md,Gebäude,Reuse-Kette,"Verknüpft Rückbauprojekt, Lagerung, Prüfung, neues Projekt"
55_Great_Suffolk_Street_London.md,Gebäude,Reuse-Konformität,Zertifizierungsstatus wiederverwendeter Profile
Association_house_Groeditz.md,Gebäude,Fallstudie,"Association house, Gröditz / Gröditz association house"
Association_house_Groeditz.md,Gebäude,Gebaeude,Sport-/Vereinshaus
Association_house_Groeditz.md,Gebäude,Ort,"Gröditz, Deutschland"
Association_house_Groeditz.md,Gebäude,Projekt,Neubau aus wiederverwendeten Betonfertigteilen
Association_house_Groeditz.md,Gebäude,Bauteil,279 Betonfertigteile + 159 WBS70-Paneele
Association_house_Groeditz.md,Gebäude,Material,Stahlbetonfertigteile
Association_house_Groeditz.md,Gebäude,Gebaeude,Spender: Schule Typ Dresden; weiteres WBS70-Gebäude
Association_house_Groeditz.md,Gebäude,Tragwerkssystem,Fertigteil-Wand-/Deckensystem
Association_house_Groeditz.md,Gebäude,Reuse_Strategie,ex-situ Bauteilwiederverwendung
Association_house_Groeditz.md,Gebäude,Verbindung,Ziegelschicht zum Höhenausgleich; überlappende Fassaden-Fertigteile
Association_house_Groeditz.md,Gebäude,Abbruchmethode,selektiver Rückbau/Demontage
Association_house_Groeditz.md,Gebäude,Aufbereitungsmethode,Höhenausgleich durch Ziegelschicht; sonst unbekannt
Association_house_Groeditz.md,Gebäude,Pruefung,unbekannt
Association_house_Groeditz.md,Gebäude,Logistik,"ca. 2,5 km Transportdistanz"
Association_house_Groeditz.md,Gebäude,Huerde,"Maßausgleich, unterschiedliche Fertigteilsysteme, Anschlüsse"
Association_house_Groeditz.md,Gebäude,Kennwert,"438 dokumentierte Betonfertigteile; 2,5 km; 2007"
Association_house_Groeditz.md,Gebäude,Akteur,Polony 2008; Mettke/Heyn/Dechantsreiter als Literaturquellen
Association_house_Groeditz.md,Gebäude,Wirtschaft,unbekannt
Association_house_Groeditz.md,Gebäude,Spendergebäude,Mehrere Herkunftsgebäude müssen getrennt erfasst werden
Association_house_Groeditz.md,Gebäude,Empfängergebäude,Zielgebäude mit neuer Nutzung
Association_house_Groeditz.md,Gebäude,Fertigteilsystem,Erfasst systemabhängige Bauteilgeometrien
Association_house_Groeditz.md,Gebäude,Ausgleichsschicht,Konstruktive Reuse-Anpassung braucht eigene Erfassung
Association_house_Plauen.md,Gebäude,Fallstudie,"Association house, Plauen / Plauen association house"
Association_house_Plauen.md,Gebäude,Gebaeude,Sport-/Vereinshaus
Association_house_Plauen.md,Gebäude,Ort,"Plauen, Deutschland"
Association_house_Plauen.md,Gebäude,Projekt,Neubau mit gebrauchten Betonfertigteilen
Association_house_Plauen.md,Gebäude,Bauteil,"145 Decken-/Bodenplatten, 19 Außenwandelemente, 14 Innenwände, 11 Kellerwände"
Association_house_Plauen.md,Gebäude,Material,Stahlbetonfertigteile / precast concrete
Association_house_Plauen.md,Gebäude,Tragwerkssystem,Plattenbau-/Wandbau-System mit Fertigteilplatten
Association_house_Plauen.md,Gebäude,Reuse_Strategie,ex-situ Bauteilwiederverwendung
Association_house_Plauen.md,Gebäude,Abbruchmethode,selektiver Rückbau / Demontage
Association_house_Plauen.md,Gebäude,Aufbereitungsmethode,unbekannt
Association_house_Plauen.md,Gebäude,Pruefung,unbekannt
Association_house_Plauen.md,Gebäude,Logistik,ca. 7 km Transportdistanz
Association_house_Plauen.md,Gebäude,Huerde,"Gewährleistung, Prüfung, Logistik, Toleranzen"
Association_house_Plauen.md,Gebäude,Kennwert,189 Fertigteile; ca. 7 km Distanz; 2007; gebaut
Association_house_Plauen.md,Gebäude,Akteur,Angelika Mettke / Heyn et al. / Dechantsreiter et al. / Fischer et al.
Association_house_Plauen.md,Gebäude,Norm_Recht,"Eurocode 2, DIN EN 206-1, DIN 1045-2"
Association_house_Plauen.md,Gebäude,Norm_Recht,unbekannt
Association_house_Plauen.md,Gebäude,Wirtschaft,unbekannt
Association_house_Plauen.md,Gebäude,Spendergebäude,Reuse-Fälle brauchen die Trennung zwischen Herkunfts- und Empfängergebäude
Association_house_Plauen.md,Gebäude,Empfängergebäude,Erlaubt klare Zuordnung der neuen Nutzung und Anforderungen
Association_house_Plauen.md,Gebäude,Fertigteilsystem,"Plattenbautyp bestimmt Geometrie, Verbindung und Wiederverwendbarkeit"
AWM_Muenster_Circular_Office.md,Gebäude,Fallstudie,"AWM Münster, 3. OG Rösnerstraße"
AWM_Muenster_Circular_Office.md,Gebäude,Gebaeude,altes Verwaltungsgebäude der awm
AWM_Muenster_Circular_Office.md,Gebäude,Ort,"Münster, Rösnerstraße"
AWM_Muenster_Circular_Office.md,Gebäude,Projekt,moderne Arbeitswelt aus gebrauchten Materialien
