value,count,n_files,knoten_kandidat_n>=3,files
Consolis Parma,3,3,JA,Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md; Lokomotion_Technology_Centre_mini_pilot_Tampere.md; Melkinlaituri_Primary_School_Daycare_Centre_Helsinki.md
Ramboll Finland,3,3,JA,Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md; Lokomotion_Technology_Centre_mini_pilot_Tampere.md; Melkinlaituri_Primary_School_Daycare_Centre_Helsinki.md
Umacon,3,3,JA,Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md; Lokomotion_Technology_Centre_mini_pilot_Tampere.md; Melkinlaituri_Primary_School_Daycare_Centre_Helsinki.md
Cleveland Steel and Tubes,2,2,,55_Great_Suffolk_Street_London.md; Brent_Cross_Town_Primary_Substation_London.md
IMd Raadgevende Ingenieurs,2,2,,BioPartner_5_Leiden_Oegstgeest.md; Montessori_Maassluis.md
Arup,2,2,,Brent_Cross_Town_Primary_Substation_London.md; Peoples_Pavilion_Eindhoven.md
cepezed,2,2,,Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot.md; The_Green_House_Utrecht.md
Bellastock,2,2,,Ferme_du_Rail_Paris.md; Resilience_La_Ferme_des_Possibles_Stains.md
BLAF Architecten,2,2,,Maison_DnA_Asse.md; gjG_House_Gentbrugge.md
Skanska Finland,2,2,,Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md; Lokomotion_Technology_Centre_mini_pilot_Tampere.md
Zirkular GmbH,2,2,,Juch_Areal_Recyclingzentrum_Zuerich.md; K118_Kopfbau_Halle_118_Winterthur.md
Lendager,2,2,,Svanen_Kindergarten_Gladsaxe.md; TRAE_High_Rise_Aarhus.md
LXSY_Architektur,2,2,,BOELL_LAB_Berlin.md; ReUseBox_Heilbronn.md
Fabrix,1,1,,55_Great_Suffolk_Street_London.md
Hawkins\Brown,1,1,,55_Great_Suffolk_Street_London.md
Symmetrys,1,1,,55_Great_Suffolk_Street_London.md
AKT II,1,1,,55_Great_Suffolk_Street_London.md
CBRE,1,1,,55_Great_Suffolk_Street_London.md
Opera,1,1,,55_Great_Suffolk_Street_London.md
Gardiner & Theobald,1,1,,55_Great_Suffolk_Street_London.md
Cantillon,1,1,,55_Great_Suffolk_Street_London.md
Polony 2008; Mettke/Heyn/Dechantsreiter als Literaturquellen,1,1,,Association_house_Groeditz.md
Angelika Mettke / Heyn et al. / Dechantsreiter et al. / Fischer et al.,1,1,,Association_house_Plauen.md
"Abfallwirtschaftsbetriebe Münster, urselmann interior, Concular, Petra Jablonická, Sven Urselmann",1,1,,AWM_Muenster_Circular_Office.md
Bill Dunster / ZEDfactory; BioRegional; Peabody Trust; Arup; Ellis & Moore; Gardiner & Theobald,1,1,,BedZED_London_Hackbridge.md
"Claus Asam, IEMB/TU Berlin; Architekturbüro Conclus / Hervé Biele bzw. Joel Biele",1,1,,Berlin_Schildow_Pilot_House.md
Hervé Biele / Architekturbüro Conclus; Claus Asam / IEMB,1,1,,Berlin_Schildow_Pilot_House_2.md
Detlev Lange / Familie Lange,1,1,,Berlin_Schildow_Pilot_House_2.md
Single Speed Design / SsD,1,1,,Big_Dig_Building_Boston.md
"John Hong, Jinhee Park, Paul Pedini",1,1,,Big_Dig_Building_Boston.md
Paul Pedini,1,1,,Big_Dig_House_Lexington_Massachusetts.md
Single Speed Design,1,1,,Big_Dig_House_Lexington_Massachusetts.md
John Hong,1,1,,Big_Dig_House_Lexington_Massachusetts.md
Jinhee Park,1,1,,Big_Dig_House_Lexington_Massachusetts.md
Weidlinger Associates,1,1,,Big_Dig_House_Lexington_Massachusetts.md
BioPartner Center Leiden,1,1,,BioPartner_5_Leiden_Oegstgeest.md
Popma ter Steege Architecten / PTSA,1,1,,BioPartner_5_Leiden_Oegstgeest.md
De Vries en Verburg,1,1,,BioPartner_5_Leiden_Oegstgeest.md
Vic Obdam Staalbouw,1,1,,BioPartner_5_Leiden_Oegstgeest.md
Deerns,1,1,,BioPartner_5_Leiden_Oegstgeest.md
STONE22,1,1,,BioPartner_5_Leiden_Oegstgeest.md
"BlueCity, Superuse Studios, COUP, Workspot, Floris Schiferli",1,1,,BlueCity_Offices_Rotterdam.md
Davis Partnership Architects,1,1,,Boulder_Fire_Station_3.md
KL&A Engineers and Builders,1,1,,Boulder_Fire_Station_3.md
Mark Young Construction,1,1,,Boulder_Fire_Station_3.md
Brent Cross South Limited Partnership,1,1,,Brent_Cross_Town_Primary_Substation_London.md
Related Argent,1,1,,Brent_Cross_Town_Primary_Substation_London.md
London Borough of Barnet,1,1,,Brent_Cross_Town_Primary_Substation_London.md
IF_DO,1,1,,Brent_Cross_Town_Primary_Substation_London.md
Whitby Wood,1,1,,Brent_Cross_Town_Primary_Substation_London.md
Bourne Special Projects / Bourne Group,1,1,,Brent_Cross_Town_Primary_Substation_London.md
Galldris / Galldris Group,1,1,,Brent_Cross_Town_Primary_Substation_London.md
"Duncan Baker-Brown, Cat Fletcher/Freegle, Mears Group, Greater Brighton Metropolitan College, Studierende",1,1,,Brighton_Waste_House_Brighton.md
unbekannt,1,1,,Broethen_Twin_House_Hoyerswerda.md
MAMOUT architectes,1,1,,Charles_Malis_Molenbeek.md
LD2 architecture,1,1,,Charles_Malis_Molenbeek.md
Stéphanie Willocx architecte,1,1,,Charles_Malis_Molenbeek.md
Commune de Molenbeek-Saint-Jean,1,1,,Charles_Malis_Molenbeek.md
MOBAT Ingénierie,1,1,,Charles_Malis_Molenbeek.md
GTD Consulting / GTD Engineering,1,1,,Charles_Malis_Molenbeek.md
Gillion Construct,1,1,,Charles_Malis_Molenbeek.md
Rotor asbl-vzw,1,1,,Chiro_d_Itterbeek_Dilbeek.md
CC Autrement,1,1,,Chiro_d_Itterbeek_Dilbeek.md
"gmp · Architekten von Gerkan, Marg und Partner",1,1,,Christ_Pavilion_Volkenroda.md
Evangelisches Büro für die Weltausstellung Expo 2000,1,1,,Christ_Pavilion_Volkenroda.md
Kloster Volkenroda / Jesus-Bruderschaft,1,1,,Christ_Pavilion_Volkenroda.md
Provincie Gelderland,1,1,,Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot.md
IMd raadgevende ingenieurs,1,1,,Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot.md
Dycore,1,1,,Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot.md
Encore Heureux Architectes,1,1,,Circular_Pavilion_Paris.md
TRIBU,1,1,,Circular_Pavilion_Paris.md
Bonnefrite,1,1,,Circular_Pavilion_Paris.md
Camping Design,1,1,,Circular_Pavilion_Paris.md
Ville de Paris – Pavillon de l’Arsenal,1,1,,Circular_Pavilion_Paris.md
technische Dienste der Stadt Paris,1,1,,Circular_Pavilion_Paris.md
TRNSFRM eG; Die Zusammenarbeiter; LXSY; ZRS; Solares Bauen; eZeit; brandkontrolle; Akustik-Ingenieurbüro Moll,1,1,,CRCLR_House_Impact_Hub_Berlin.md
Immobilien Basel-Stadt; Hochbauamt Basel-Stadt; baubüro in situ; S+B; Jauslin Stebler; Pro Engineering; Haustec; Rapp AG; Husner AG Holzbau; Zirkular,1,1,,ELYS_Kultur_Gewerbehaus_Basel.md
Philippe Samyn and Partners; Studio Valle Progettazioni; Buro Happold; Belgian Buildings Agency / Regie der Gebouwen,1,1,,Europa_Building_Brussels.md
Grand Huit,1,1,,Ferme_du_Rail_Paris.md
Travail & Vie,1,1,,Ferme_du_Rail_Paris.md
Réhabail,1,1,,Ferme_du_Rail_Paris.md
Albert & Compagnie,1,1,,Ferme_du_Rail_Paris.md
Pouget Consultants,1,1,,Ferme_du_Rail_Paris.md
Scoping,1,1,,Ferme_du_Rail_Paris.md
Mélanie Devret,1,1,,Ferme_du_Rail_Paris.md
Philippe Peiger,1,1,,Ferme_du_Rail_Paris.md
Tecclem,1,1,,gjG_House_Gentbrugge.md
G-build,1,1,,gjG_House_Gentbrugge.md
Vlieghe,1,1,,gjG_House_Gentbrugge.md
Barbara Oelbrandt,1,1,,gjG_House_Gentbrugge.md
Normandie Aménagement,1,1,,Grande_Halle_de_Colombelles.md
Encore Heureux,1,1,,Grande_Halle_de_Colombelles.md
Construire,1,1,,Grande_Halle_de_Colombelles.md
Le WIP,1,1,,Grande_Halle_de_Colombelles.md
Stéphanie Paly,1,1,,Grande_Halle_de_Colombelles.md
Ligne B.E.,1,1,,Grande_Halle_de_Colombelles.md
Albert & Co,1,1,,Grande_Halle_de_Colombelles.md
"Marc Angst, This Alder, Oliver Zbinden u. a.",1,1,,Grubenstrasse_29_Werkhof_29_Zuerich.md
Tampere University / Satu Huuhka,1,1,,Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md
LIIKE Oy Arkkitehtistudio,1,1,,Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md
dRMM Architects,1,1,,Hastings_Pier_Visitor_Centre.md
Hastings Pier Charity,1,1,,Hastings_Pier_Visitor_Centre.md
Ramboll,1,1,,Hastings_Pier_Visitor_Centre.md
Seidl + Seidl Architekten; Architekturbüro Hose; Dr. Angelika Mettke / BTU Cottbus,1,1,,Haus_HOS_Mehrfamilienhaus_Muehlhausen.md
FORE Partnership,1,1,,House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md
Stiff + Trevillion,1,1,,House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md
ECE Architecture,1,1,,House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md
