value,count,n_files,knoten_kandidat_n>=3,files
unbekannt,2,2,,Broethen_Twin_House_Hoyerswerda.md; Maison_des_Canaux_Paris.md
Duncan Baker-Brown / BBM Sustainable Design,1,1,,Brighton_Waste_House_Brighton.md
Barr Gazetas,1,1,,Holbein_Gardens_London.md
MAD arkitekter / Mad as,1,1,,KA13_Kristian_Augusts_gate_13_Oslo.md
Bischof Föhn Architektur,1,1,,Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md
RAU Architects,1,1,,Liander_Alliander_HQ_Duiven.md
CITYFÖRSTER architecture + urbanism,1,1,,Recyclinghaus_Hannover.md
Lendager Group / Lendager Architects,1,1,,Resource_Rows_Copenhagen.md
Bennetts Associates,1,1,,Timber_Square_London.md
Lendager / Lendager Group,1,1,,Upcycle_Studios_Copenhagen.md
Superuse Studios / 2012Architecten,1,1,,Villa_Welpeloo_Enschede.md
