value,count,n_files,knoten_kandidat_n>=3,files
"Entfernen von Anbauteilen, Löcher füllen, Testen, CE marking",1,1,,55_Great_Suffolk_Street_London.md
Höhenausgleich durch Ziegelschicht; sonst unbekannt,1,1,,Association_house_Groeditz.md
unbekannt,1,1,,Association_house_Plauen.md
"Sandstrahlen, Fertigung, Beschichtung mit zinkreicher Beschichtung",1,1,,BedZED_London_Hackbridge.md
Zuschnitt/Sägen von Platten,1,1,,Berlin_Schildow_Pilot_House.md
Reinigung und Zuschnitt nach Schneidplan,1,1,,Berlin_Schildow_Pilot_House_2.md
Reuse largely as found / prefab kit,1,1,,Big_Dig_House_Lexington_Massachusetts.md
"Demontage, Transport, Beschichtung/Coating, Wiedermontage",1,1,,BioPartner_5_Leiden_Oegstgeest.md
"surface preparation, testing, weld inspection",1,1,,Brent_Cross_Town_Primary_Substation_London.md
Vorbereitung des Rückbauholzes; Herstellung zu glulamST und CLST,1,1,,CascadeUp_London_secondary_timber_glulam_demonstrator.md
"Kürzen von Hohlkörperdecken; Fassadenelemente schneiden, Brüstungen abtrennen; Lagerung",1,1,,Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot.md
"abschleifen, restaurieren, lackieren, in Edelstahlrahmen setzen",1,1,,Europa_Building_Brussels.md
"Reparieren, Vermessen, Katalogisieren, Anpassen",1,1,,Grubenstrasse_29_Werkhof_29_Zuerich.md
Werksaufbereitung im Consolis-Parma-Werk Kangasala,1,1,,Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md
Zuschneiden / Spalten längerer Stücke,1,1,,Hastings_Pier_Visitor_Centre.md
"cleaning, testing, certification, preparation",1,1,,House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md
"Spenden sammeln, kombinieren, zuschneiden/integrieren",1,1,,Kamikatsu_Zero_Waste_Center_Hotel_WHY.md
Reinigung / Auswahl von Gebrauchtziegeln,1,1,,Lo_Reninge_Town_Hall_Facade.md
"Demontage, Reinigung, ggf. Zuschnitt",1,1,,Mehrow_Pilot_House.md
"Reinigung, Zuschnitt, Öffnungen/Fittings, Wärmedämmung",1,1,,Melkinlaituri_Primary_School_Daycare_Centre_Helsinki.md
"Fensterglas ersetzt, Rahmen ertüchtigt",1,1,,Recyclinghaus_Hannover.md
"Prüfung, Verstärkung, Anpassung, Verdopplung einzelner Bögen",1,1,,Recypark_Demets_Anderlecht.md
möglichst ohne Bearbeitung; Repair/Remanufacturing als Lehre,1,1,,Superlocal_Expogebouw_Bleijerheide.md
"Demontage, Zwischenlagerung, Wiedereinbau",1,1,,Verbiest_Karreveld_Brussels.md
geringe Veränderung / Anpassung; Fassadenreserve angelegt,1,1,,Villa_Welpeloo_Enschede.md
