value,count,n_files,knoten_kandidat_n>=3,files
unbekannt,2,2,,Broethen_Twin_House_Hoyerswerda.md; Resource_Rows_Copenhagen.md
Peabody Trust,1,1,,BedZED_London_Hackbridge.md
University of Brighton,1,1,,Brighton_Waste_House_Brighton.md
Commune de Dilbeek,1,1,,Chiro_d_Itterbeek_Dilbeek.md
Lagemaat Heerde,1,1,,Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot.md
A-Kruunu,1,1,,Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md
Privat,1,1,,Haus_HOS_Mehrfamilienhaus_Muehlhausen.md
Grosvenor,1,1,,Holbein_Gardens_London.md
Emergis,1,1,,Jeugdkliniek_Ithaka_Emergis_Kloetinge.md
Stadt Zürich / Amt für Hochbauten; ERZ als Eigentümervertretung/Betreiber,1,1,,Juch_Areal_Recyclingzentrum_Zuerich.md
Entra AS,1,1,,KA13_Kristian_Augusts_gate_13_Oslo.md
Stadt Zürich / Amt für Hochbauten / Immobilien Stadt Zürich,1,1,,Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md
Metso Oyj,1,1,,Lokomotion_Technology_Centre_mini_pilot_Tampere.md
Private owner,1,1,,Maison_Vignette_Auderghem.md
City of Helsinki,1,1,,Melkinlaituri_Primary_School_Daycare_Centre_Helsinki.md
Ville de Mouscron,1,1,,Musee_de_Folklore_Mouscron.md
Landsec,1,1,,Timber_Square_London.md
Kilden & Hindby / PFA Ejendomme,1,1,,TRAE_High_Rise_Aarhus.md
NREP / AG Gruppen,1,1,,Upcycle_Studios_Copenhagen.md
privat; Tjibbe Knol / Ingrid Blans in Architectuurgids genannt,1,1,,Villa_Welpeloo_Enschede.md
