value,count,n_files,knoten_kandidat_n>=3,files
unbekannt,2,2,,Maison_des_Canaux_Paris.md; Montessori_Maassluis.md
keine klassische Bauteilbörse,1,1,,55_Great_Suffolk_Street_London.md
Concular,1,1,,AWM_Muenster_Circular_Office.md
keine,1,1,,Big_Dig_House_Lexington_Massachusetts.md
"Franck, RotorDC, Gebruiktebouwmaterialen, Namur Croisade pauvreté, Bouwstocks, kleine Anzeigen",1,1,,Chiro_d_Itterbeek_Dilbeek.md
Bauteilladen Winterthur,1,1,,Grubenstrasse_29_Werkhof_29_Zuerich.md
Cleveland Steel and Tubes / reclaimed stock,1,1,,Holbein_Gardens_London.md
Kuru Kuru Shop / Reuse Shop,1,1,,Kamikatsu_Zero_Waste_Center_Hotel_WHY.md
Franck Bricks; Rotor DC; 2emain.be,1,1,,Maison_Vignette_Auderghem.md
RotorDC,1,1,,Multi_Brussels_Reuse_in_MULTI.md
