value,count,n_files,knoten_kandidat_n>=3,files
unbekannt,2,2,,Svanen_Kindergarten_Gladsaxe.md; The_Green_House_Utrecht.md
DISRUPT,1,1,,55_Great_Suffolk_Street_London.md
Holcim Awards Encouragement Prize 2005–2006 North America,1,1,,Big_Dig_Building_Boston.md
DISRUPT case study,1,1,,Brent_Cross_Town_Primary_Substation_London.md
Heritage Lottery Fund / National Lottery Heritage Fund,1,1,,Hastings_Pier_Visitor_Centre.md
Provinz Zeeland / Rabobank Groenprojecten,1,1,,Jeugdkliniek_Ithaka_Emergis_Kloetinge.md
New European Bauhaus Prize 2024,1,1,,Lycee_Michel_Lucius_Conversion_Luxembourg.md
Be Exemplary,1,1,,Maison_Vignette_Auderghem.md
DBU-Förderung; bpb-Förderung für Programm am Tempelhofer Feld,1,1,,Plattenvereinigung_Berlin.md
FEDER und Be.Exemplary,1,1,,Recypark_Demets_Anderlecht.md
Urban Innovative Actions / IBA Parkstad,1,1,,Superlocal_Expogebouw_Bleijerheide.md
ERDF / FEDER Brüssel-Hauptstadt,1,1,,Zinneke_Feder_Masui4ever_Brussels.md
