value,count,n_files,knoten_kandidat_n>=3,files
unbekannt,2,2,,Institut_de_Botanique_ULg_Liege.md; Maison_des_Canaux_Paris.md
20.35 t reused steel,1,1,,55_Great_Suffolk_Street_London.md
ca. 50 t CO₂,1,1,,55_Great_Suffolk_Street_London.md
386 kgCO₂e/m² A1-A5,1,1,,55_Great_Suffolk_Street_London.md
"438 dokumentierte Betonfertigteile; 2,5 km; 2007",1,1,,Association_house_Groeditz.md
189 Fertigteile; ca. 7 km Distanz; 2007; gebaut,1,1,,Association_house_Plauen.md
"6,9 t wiedergewonnene Materialien",1,1,,AWM_Muenster_Circular_Office.md
"13,32 t CO₂e / 82 %",1,1,,AWM_Muenster_Circular_Office.md
"95,6 % c2c-inspiriert oder ReUse",1,1,,AWM_Muenster_Circular_Office.md
250 m² / 200 m²,1,1,,AWM_Muenster_Circular_Office.md
98 t wiederverwendeter Stahl,1,1,,BedZED_London_Hackbridge.md
"3.404 t wiederverwendete/recycelte Materialien, 15 %",1,1,,BedZED_London_Hackbridge.md
245 m³; 200 Teile; 33 km; 2005; Bauteilalter ca. 18 Jahre,1,1,,Berlin_Schildow_Pilot_House.md
200 Teile; 245 m³; ca. 18 Jahre Bauteilalter; 2005,1,1,,Berlin_Schildow_Pilot_House_2.md
2008; ca. 36 Jahre Bauteilalter,1,1,,Bestandverplanzung_Pavilion_Muenchen.md
2.335 m² site area; 2.936 m² constructed area,1,1,,Big_Dig_Building_Boston.md
"300 tons / 600,000+ lb",1,1,,Big_Dig_House_Lexington_Massachusetts.md
"4,000 / 4,027 / 4,300 sq ft",1,1,,Big_Dig_House_Lexington_Massachusetts.md
"$645,000 excl. land / $175/sf / $150/sf",1,1,,Big_Dig_House_Lexington_Massachusetts.md
165.000 kg wiederverwendeter Stahl,1,1,,BioPartner_5_Leiden_Oegstgeest.md
6.200 m² / 7.000 m²,1,1,,BioPartner_5_Leiden_Oegstgeest.md
248 kg CO₂-eq/m² embodied carbon,1,1,,BioPartner_5_Leiden_Oegstgeest.md
