value,count,n_files,knoten_kandidat_n>=3,files
"Tragfähigkeit, Zertifizierung, Brandschutz, Erschließung",1,1,,55_Great_Suffolk_Street_London.md
roof could withstand 18-wheeler / 250 psf,1,1,,Big_Dig_House_Lexington_Massachusetts.md
Kirche / öffentlicher Versammlungsraum,1,1,,Christ_Pavilion_Volkenroda.md
Fassade als äußere Hülle; akustische und thermische Pufferwirkung laut Sekundärquelle,1,1,,Europa_Building_Brussels.md
"Strukturautonomie, Akustik, Dachauflager",1,1,,gjG_House_Gentbrugge.md
"Marine Außenklima, Dauerhaftigkeit, Brandschutz",1,1,,Hastings_Pier_Visitor_Centre.md
Fassaden-/Witterungsschicht,1,1,,Lo_Reninge_Town_Hall_Facade.md
"Bibliothek/Leseraum, Rauch-/Wärmespeicher, Akustik/Thermik",1,1,,Lycee_Michel_Lucius_Conversion_Luxembourg.md
Energieperformance / Luftdichtheit Innenbox,1,1,,Maison_DnA_Asse.md
"Tragfähigkeit PV-Dach, Wind/Lateral System",1,1,,Saxum_Vineyard_Equipment_Barn_Paso_Robles.md
"Schule, Wohnhaus, Atelier",1,1,,Verbiest_Karreveld_Brussels.md
