value,count,n_files,knoten_kandidat_n>=3,files
Stahl,3,3,JA,Boulder_Fire_Station_3.md; House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md; Roots_in_the_Sky_Blackfriars_Crown_Court.md
Ziegel / Backstein,3,3,JA,Lo_Reninge_Town_Hall_Facade.md; Maison_DnA_Asse.md; Musee_de_Folklore_Mouscron.md
ReUse_Fenster,3,3,JA,ELYS_Kultur_und_Gewerbehaus_Basel_Lysbuechelareal.md; Hobelwerk_Haus_D_Oberwinterthur.md; K118_Kopfbau_Halle_118_Winterthur.md
Baustahl,2,2,,55_Great_Suffolk_Street_London.md; Holbein_Gardens_London.md
Stahlbetonfertigteile,2,2,,Association_house_Groeditz.md; Lysbuechel_Parkhaus.md
WBS70-Stahlbetonfertigteile,2,2,,Berlin_Schildow_Pilot_House_2.md; Mehrow_Pilot_House.md
Stahl und Beton,2,2,,Big_Dig_Building_Boston.md; Big_Dig_House_Lexington_Massachusetts.md
ReUse_Innenausbau,2,2,,Altes_Hobelwerk_Winterthur.md; Hobelwerk_Haus_D_Oberwinterthur.md
Beton,2,2,,Areal_Walkeweg_Nord.md; Lysbuechel_Parkhaus.md
Holz,2,2,,BOELL_LAB_Berlin.md; Bestandshalle_CRCLR_House.md
ReUse_Bauteile,2,2,,BOELL_LAB_Berlin.md; Da_Vinci_Business_District.md
PV,2,2,,BOELL_LAB_Berlin.md; ReUseBox_Heilbronn.md
ReUse_Stahl,2,2,,K118_Kopfbau_Halle_118_Winterthur.md; ReUseBox_Heilbronn.md
Stahlbetonfertigteile / precast concrete,1,1,,Association_house_Plauen.md
"Hanfkalksteine, Lehm, Akustikbaffeln, Teppich",1,1,,AWM_Muenster_Circular_Office.md
"Stahl, Holz, Stein, Glas, Recyclingmaterialien",1,1,,BedZED_London_Hackbridge.md
Stahlbetonfertigteile / WBS70,1,1,,Berlin_Schildow_Pilot_House.md
Beton / Stahlbetonfertigteile,1,1,,Bestandverplanzung_Pavilion_Muenchen.md
Mauerwerkspuin / Abbruchschutt,1,1,,BioPartner_5_Leiden_Oegstgeest.md
europäisches Konstruktionsholz,1,1,,BlueCity_Offices_Rotterdam.md
Stahlrohre,1,1,,Brent_Cross_Town_Primary_Substation_London.md
Zahnbürsten,1,1,,Brighton_Waste_House_Brighton.md
Denim jeans,1,1,,Brighton_Waste_House_Brighton.md
"Videokassetten, DVDs, Floppy Discs",1,1,,Brighton_Waste_House_Brighton.md
"Fahrradschläuche, Polystyrol, Kaffeesatz",1,1,,Brighton_Waste_House_Brighton.md
Stahlbetonfertigteile / P2-PC-System,1,1,,Broethen_Twin_House_Hoyerswerda.md
sekundäres Abbruchholz / reclaimed solid timber,1,1,,CascadeUp_London_secondary_timber_glulam_demonstrator.md
"Dämmung, Betonblöcke, Holzrahmen",1,1,,Chiro_d_Itterbeek_Dilbeek.md
"Stahl, Sichtbeton, Glas, Marmor",1,1,,Christ_Pavilion_Volkenroda.md
Fertigbeton,1,1,,Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot.md
Eiche oder ähnliche Holzarten; Glas/Stahl/Edelstahlrahmen,1,1,,Europa_Building_Brussels.md
wiederverwendete Ziegel,1,1,,gjG_House_Gentbrugge.md
"Holz, Stroh, Lehm",1,1,,Grubenstrasse_29_Werkhof_29_Zuerich.md
Spannbeton,1,1,,Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md
"Holz, tropisches Hartholz / Pier decking",1,1,,Hastings_Pier_Visitor_Centre.md
Stahlbetonfertigteile / WBS70-Plattenbauteile,1,1,,Haus_HOS_Mehrfamilienhaus_Muehlhausen.md
"Holz, vermutlich reclaimed timber",1,1,,Institut_de_Botanique_ULg_Liege.md
