value,count,n_files,knoten_kandidat_n>=3,files
unbekannt,15,15,JA,Association_house_Groeditz.md; Association_house_Plauen.md; Bestandverplanzung_Pavilion_Muenchen.md; Big_Dig_House_Lexington_Massachusetts.md; Broethen_Twin_House_Hoyerswerda.md; Institut_de_Botanique_ULg_Liege.md; Lo_Reninge_Town_Hall_Facade.md; Maison_DnA_Asse.md; Maison_Vignette_Auderghem.md; Montessori_Maassluis.md; Recyclinghaus_Hannover.md; Upcycle_Studios_Copenhagen.md; Verbiest_Karreveld_Brussels.md; Woongroep_Boschgaard_Den_Bosch.md; gjG_House_Gentbrugge.md
Testing + CE marking,1,1,,55_Great_Suffolk_Street_London.md
"Sichtprüfung, Herstellungsdatum, Zustand, vorhandene Verbindungen, Fabrikationseignung",1,1,,BedZED_London_Hackbridge.md
"Festigkeitstests / Belastungs-, Schneid-, Bohrversuche im IEMB-Kontext",1,1,,Berlin_Schildow_Pilot_House.md
Belastungs-/Festigkeitsprüfung allgemein im IEMB-Kontext,1,1,,Berlin_Schildow_Pilot_House_2.md
"Auswahl, Dokumentation, Testing/Verification von reclaimed steel",1,1,,Boulder_Fire_Station_3.md
Independent testing + weld inspection,1,1,,Brent_Cross_Town_Primary_Substation_London.md
Monitoring / living laboratory,1,1,,Brighton_Waste_House_Brighton.md
nicht-destruktive Bewertung / Biegeversuche in Begleitforschung zu CLST,1,1,,CascadeUp_London_secondary_timber_glulam_demonstrator.md
"Zugversuche, chemische Analyse, Schweißbarkeit, Korrosionsschutz",1,1,,CRCLR_House_Impact_Hub_Berlin.md
"visuelle Analyse, Risikobewertung durch Bureau de contrôle",1,1,,Ferme_du_Rail_Paris.md
"Vermessung, Inventarisierung, Katalogisierung",1,1,,Grubenstrasse_29_Werkhof_29_Zuerich.md
sorgfältige Qualitätssicherung,1,1,,Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md
Materialzustand / Eignung für Außenbekleidung,1,1,,Hastings_Pier_Visitor_Centre.md
Auswahl gemeinsam mit Statiker,1,1,,Haus_HOS_Mehrfamilienhaus_Muehlhausen.md
CST testing nach SCI P427; zerstörende und zerstörungsfreie Prüfungen,1,1,,Holbein_Gardens_London.md
"tensile test, chemical analysis, metallographic examination",1,1,,House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md
Zugversuche / chemische Analysen für Stahl,1,1,,Impact_Hub_Berlin_CRCLR_Fitout.md
Dokumentation nach TEK; Tests/SINTEF für HCS laut Thesisquellen,1,1,,KA13_Kristian_Augusts_gate_13_Oslo.md
"Bauteilkatalog mit Herkunft, Qualität, Montageanleitung",1,1,,Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md
"Qualitätssicherung, Werksaufbereitung, Zulassungsdokumentation",1,1,,Lokomotion_Technology_Centre_mini_pilot_Tampere.md
unbekannt / IEMB-Forschungskontext,1,1,,Mehrow_Pilot_House.md
Werksprüfungen; Anforderungen klar erfüllt,1,1,,Melkinlaituri_Primary_School_Daycare_Centre_Helsinki.md
Tests und Stabilitätsberechnungen berührt,1,1,,Musee_de_Folklore_Mouscron.md
"Funktionsfähigkeit, Materialqualität, Umweltverträglichkeit, Energiebilanz, Wiederverwertbarkeit",1,1,,Plattenpalast_Berlin.md
"Finite-Elemente-Modell, Lastversuch, nicht-destruktive Untersuchung",1,1,,ReCrete_footbridge_reused_concrete_blocks.md
Laborversuche / mechanische Prüfung,1,1,,Recypark_Demets_Anderlecht.md
Testing und recertification von Reuse-Stahl,1,1,,Roots_in_the_Sky_Blackfriars_Crown_Court.md
konstruktive Analyse / RISA-3D,1,1,,Saxum_Vineyard_Equipment_Barn_Paso_Robles.md
unabhängiges Bauadviesbureau prüfte technische/finanzielle/prozessuale Machbarkeit,1,1,,Superlocal_Expogebouw_Bleijerheide.md
"fire testing, acoustics, insurance, vibration performance at scale",1,1,,Timber_Square_London.md
Full-scale fire tests / DBI-Tests,1,1,,TRAE_High_Rise_Aarhus.md
Tragwerksberechnung mit schlechtester Stahlqualität aus Baujahr der Maschine,1,1,,Villa_Welpeloo_Enschede.md
