value,count,n_files,knoten_kandidat_n>=3,files
ex-situ Bauteilwiederverwendung,10,10,JA,Association_house_Groeditz.md; Association_house_Plauen.md; Big_Dig_House_Lexington_Massachusetts.md; Boulder_Fire_Station_3.md; Broethen_Twin_House_Hoyerswerda.md; Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md; Lokomotion_Technology_Centre_mini_pilot_Tampere.md; Maison_Vignette_Auderghem.md; Mehrow_Pilot_House.md; Melkinlaituri_Primary_School_Daycare_Centre_Helsinki.md
Ex-situ Bauteilwiederverwendung,2,2,,55_Great_Suffolk_Street_London.md; BedZED_London_Hackbridge.md
ex-situ Bauteilwiederverwendung; Zuschnitt; Remontage,2,2,,Berlin_Schildow_Pilot_House.md; Berlin_Schildow_Pilot_House_2.md
Bauteilwiederverwendung / Materialwiederverwendung,2,2,,Maison_DnA_Asse.md; gjG_House_Gentbrugge.md
ex-situ / Gebäudeversetzung / Bauteilwiederverwendung,1,1,,Bestandverplanzung_Pavilion_Muenchen.md
ex-situ; Infrastruktur-zu-Gebäude; Bauteilwiederverwendung,1,1,,Big_Dig_Building_Boston.md
Donorskelet / ex-situ structural reuse,1,1,,BioPartner_5_Leiden_Oegstgeest.md
Reuse von Stahlrohren / stockholder procurement,1,1,,Brent_Cross_Town_Primary_Substation_London.md
Abfall als Ressource / on-site reuse / living lab,1,1,,Brighton_Waste_House_Brighton.md
adaptive reuse + begrenzte Bauteilwiederverwendung,1,1,,Charles_Malis_Molenbeek.md
Gebäudeversetzung / komplett / ex-situ,1,1,,Christ_Pavilion_Volkenroda.md
Material- und Bauteilwiederverwendung,1,1,,Ferme_du_Rail_Paris.md
Lot 01 „Réemploi“,1,1,,Grande_Halle_de_Colombelles.md
Bauteilwiederverwendung + in-situ Transformation + adaptive reuse,1,1,,Grubenstrasse_29_Werkhof_29_Zuerich.md
Ex-situ auf demselben Standort / Bauteilwiederverwendung,1,1,,Hastings_Pier_Visitor_Centre.md
ex-situ Remontage,1,1,,Haus_HOS_Mehrfamilienhaus_Muehlhausen.md
ex-situ Bauteilwiederverwendung / salvaged structural steel,1,1,,Holbein_Gardens_London.md
Ex-situ steel reuse + in-project self-reuse,1,1,,House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md
partielle Hüllbauteil-Wiederverwendung,1,1,,Institut_de_Botanique_ULg_Liege.md
Bauteilsuche + Entwurf aus Verfügbarkeit,1,1,,K118_Kopfbau_Halle_118_Winterthur.md
Großmaßstäbliche Bauteilwiederverwendung + Transformation,1,1,,KA13_Kristian_Augusts_gate_13_Oslo.md
Bauteil- und Materialwiederverwendung,1,1,,Kamikatsu_Zero_Waste_Center_Hotel_WHY.md
integrierter Re-Use-Pilot / Bauteiljäger*innen,1,1,,Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md
adaptive reuse + partielle Bauteil-/Materialwiederverwendung,1,1,,Liander_Alliander_HQ_Duiven.md
ex-situ Bauteil-/Materialwiederverwendung in Gebäudehülle,1,1,,Lo_Reninge_Town_Hall_Facade.md
on-site selective deconstruction and reuse,1,1,,Lycee_Michel_Lucius_Conversion_Luxembourg.md
partielle Bauteil- und Materialwiederverwendung,1,1,,Maison_des_Canaux_Paris.md
ex-situ Bauteilwiederverwendung / strukturelle Wiederverwendung geplant,1,1,,Montessori_Maassluis.md
ex-situ Wiederverwendung von Ziegeln in Fassade,1,1,,Musee_de_Folklore_Mouscron.md
Borrowed building / reversible construction,1,1,,Peoples_Pavilion_Eindhoven.md
circular fit-out / reuse-first,1,1,,PLP_London_HQ_Circular_Studio_Fitout.md
Bauteilwiederverwendung + Recyclingmaterial + recyclinggerechte Konstruktion,1,1,,Recyclinghaus_Hannover.md
Ex-situ Wiederverwendung einer Hallenstruktur,1,1,,Recypark_Demets_Anderlecht.md
Bauteilwiederverwendung + Materialwiederverwendung,1,1,,Resilience_La_Ferme_des_Possibles_Stains.md
Ziegelwand-Module aus Rückbau,1,1,,Resource_Rows_Copenhagen.md
Circular building site / on-site depot,1,1,,Svanen_Kindergarten_Gladsaxe.md
"Bauteil- und Materialwiederverwendung, temporärer demontabler Neubau",1,1,,The_Green_House_Utrecht.md
ex-situ Bauteilwiederverwendung von Stahl + Bestandserhalt + DfD,1,1,,Timber_Square_London.md
Upcycling / reuse of existing materials,1,1,,Upcycle_Studios_Copenhagen.md
in-situ transformiert / Bauteilwiederverwendung,1,1,,Verbiest_Karreveld_Brussels.md
Materialgetriebener Entwurf / Superuse,1,1,,Villa_Welpeloo_Enschede.md
"Oogsten / material harvesting, bauen mit Restmaterialien",1,1,,Woongroep_Boschgaard_Den_Bosch.md
Bauteilwiederverwendung + adaptive reuse,1,1,,Zinneke_Feder_Masui4ever_Brussels.md
