value,count,n_files,knoten_kandidat_n>=3,files
Holzbau,3,3,JA,Hobelwerk_Haus_D_Oberwinterthur.md; LysP8_Basel_Lysbuechelareal.md; ReUseBox_Heilbronn.md
Stützen_Träger_System,2,2,,Areal_Walkeweg_Nord.md; Lysbuechel_Parkhaus.md
Stahlskelett,2,2,,K118_Kopfbau_Halle_118_Winterthur.md; ReUseBox_Heilbronn.md
Fertigteil-Wand-/Deckensystem,1,1,,Association_house_Groeditz.md
Plattenbau-/Wandbau-System mit Fertigteilplatten,1,1,,Association_house_Plauen.md
Infrastrukturbauteile als hoch belastbare Gebäudestruktur,1,1,,Big_Dig_Building_Boston.md
Stahl- und Betontragwerk aus Big-Dig-Komponenten,1,1,,Big_Dig_House_Lexington_Massachusetts.md
Hybrid aus Glulam-Timber Columns und reclaimed steel beams,1,1,,Boulder_Fire_Station_3.md
vorhandene Betonstützen/-balken/-Binder,1,1,,Charles_Malis_Molenbeek.md
"modulares, demontier- und wieder zusammensetzbares System",1,1,,Christ_Pavilion_Volkenroda.md
"formaktive, gekrümmte Ziegelschale + Stahl-/Holz-Infill",1,1,,gjG_House_Gentbrugge.md
Bestand + verstärktes Stützenraster + neue Holz-/Stroh-/Lehm-Aufstockung,1,1,,Grubenstrasse_29_Werkhof_29_Zuerich.md
neues CLT-Besucherzentrum,1,1,,Hastings_Pier_Visitor_Centre.md
Bestandsstruktur,1,1,,Institut_de_Botanique_ULg_Liege.md
bestehendes Stahlstützensystem + donor HCS/Steel,1,1,,KA13_Kristian_Augusts_gate_13_Oslo.md
Holzbau mit lokalem Holz,1,1,,Kamikatsu_Zero_Waste_Center_Hotel_WHY.md
bestehende Gebäude + neue Überdachung / Verbindung,1,1,,Liander_Alliander_HQ_Duiven.md
Holzstruktur im Neubau,1,1,,Lo_Reninge_Town_Hall_Facade.md
autonome äußere Ziegelstruktur + innerer Holzrahmen,1,1,,Maison_DnA_Asse.md
"Holzrahmen / Holzstützen und -träger, Strohballen-Füllung",1,1,,Maison_Vignette_Auderghem.md
Hybrid aus Holzstützen und reused hollow core slabs,1,1,,Montessori_Maassluis.md
"10-m-spannender, nachgespannter segmentierter Bogen",1,1,,ReCrete_footbridge_reused_concrete_blocks.md
Neubau-Tragwerk; Reuse-Fassade nicht als Haupttragwerk,1,1,,Resource_Rows_Copenhagen.md
"Modern pole barn / post-frame, Rohrtragwerk",1,1,,Saxum_Vineyard_Equipment_Barn_Paso_Robles.md
demontables Stahlrahmen-System aus galvanisierten Profilen,1,1,,The_Green_House_Utrecht.md
"Massivholzstützen, CLT-Decken, Betonkerne",1,1,,TRAE_High_Rise_Aarhus.md
Industriehalle,1,1,,Altes_Hobelwerk_Winterthur.md
Skelettbau,1,1,,Areal_Walkeweg_Nord.md
Holzaufstockung,1,1,,Bestandshalle_CRCLR_House.md
Holztragwerk,1,1,,BOELL_LAB_Berlin.md
Rastertragwerk,1,1,,BOELL_LAB_Berlin.md
Stahlbetonskelett,1,1,,ELYS_Kultur_und_Gewerbehaus_Basel_Lysbuechelareal.md
Aufstockung,1,1,,K118_Kopfbau_Halle_118_Winterthur.md
Parkhaus_Tragwerk,1,1,,Lysbuechel_Parkhaus.md
