value,count,n_files,knoten_kandidat_n>=3,files
unbekannt,11,9,JA,55_Great_Suffolk_Street_London.md; BedZED_London_Hackbridge.md; Big_Dig_House_Lexington_Massachusetts.md; Brent_Cross_Town_Primary_Substation_London.md; Brighton_Waste_House_Brighton.md; Grande_Halle_de_Colombelles.md; Upcycle_Studios_Copenhagen.md; Woongroep_Boschgaard_Den_Bosch.md; Zinneke_Feder_Masui4ever_Brussels.md
Qflow,2,1,,House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md
Diamant-Schneidemaschine,1,1,,Berlin_Schildow_Pilot_House_2.md
digitale Tools / BIM,1,1,,Brent_Cross_Town_Primary_Substation_London.md
"Seilsäge, Bohrungen, Hebekette, Spezial-Setup zum Kürzen",1,1,,Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot.md
Entscheidungshilfe-Tool,1,1,,Ferme_du_Rail_Paris.md
HTS Stockmatcher,1,1,,Holbein_Gardens_London.md
Concular / Restado,1,1,,Impact_Hub_Berlin_CRCLR_Fitout.md
Madaster,1,1,,Multi_Brussels_Reuse_in_MULTI.md
RISA-3D,1,1,,Saxum_Vineyard_Equipment_Barn_Paso_Robles.md
Track-and-trace / Materialdatenbank / QR-Code / STABU-Code,1,1,,Superlocal_Expogebouw_Bleijerheide.md
Smart measuring system,1,1,,The_Green_House_Utrecht.md
HTS Reused Steel Stockmatcher,1,1,,Timber_Square_London.md
Harvestmap / Oogstkaart,1,1,,Villa_Welpeloo_Enschede.md
