cluster_label,n_files,n_raw_values,raw_values
architects,6,6,Davis Partnership Architects (n=1); dRMM Architects (n=1); Kraaijvanger Architects (n=1); Lendager Group / Lendager Architects (n=1); Sweco / Sweco Architects (n=1); Bikubenfonden; Pihlmann Architects; Hoffmann A/S; ABC Rådgivende Ingeniører; Sara Martinsen; DTU Kristoffer Negendahl/Negeldahl (n=1)
architecture,5,5,LD2 architecture (n=1); ECE Architecture (n=1); Karbon’ architecture & urbanisme (n=1); PLP Architecture (n=1); Ouest Architecture (n=1)
design,5,5,Single Speed Design / SsD (n=1); Single Speed Design (n=1); Camping Design (n=1); Yamada Noriaki Structural Design Office (n=1); Dutch Design Foundation (n=1)
architecten,4,3,BLAF Architecten (n=2); Popma ter Steege Architecten / PTSA (n=1); Rothuizen Architecten / Taco Tuinhof (n=1)
architekten,4,4,"gmp · Architekten von Gerkan, Marg und Partner (n=1); Seidl + Seidl Architekten; Architekturbüro Hose; Dr. Angelika Mettke / BTU Cottbus (n=1); Anna Hopp, Carsten Wiewiorra / Wiewiorra Hopp Architekten (n=1); asp_Architekten (n=1)"
architektur,4,3,"LXSY_Architektur (n=2); Impact Hub Berlin, LXSY Architektur, TRNSFRM eG, Die Zusammenarbeiter, ZRS Ingenieure (n=1); Stadt Zürich, Amt für Hochbauten, Immobilien Stadt Zürich, Bischof Föhn Architektur, Zirkular GmbH, Meili Partner, Heierli, Haerter + Partner, Schmidiger + Rosasco, aik (n=1)"
group,4,5,"Bourne Special Projects / Bourne Group (n=1); Galldris / Galldris Group (n=1); Duncan Baker-Brown, Cat Fletcher/Freegle, Mears Group, Greater Brighton Metropolitan College, Studierende (n=1); Lendager Group / Lendager Architects (n=1); Artelia Group (n=1)"
lendager,4,3,"Lendager (n=2); Lendager Group / Lendager Architects (n=1); NREP, AG Gruppen, Lendager, MOE, Artelia, BOGL (n=1)"
lxsy,4,3,"LXSY_Architektur (n=2); TRNSFRM eG; Die Zusammenarbeiter; LXSY; ZRS; Solares Bauen; eZeit; brandkontrolle; Akustik-Ingenieurbüro Moll (n=1); Impact Hub Berlin, LXSY Architektur, TRNSFRM eG, Die Zusammenarbeiter, ZRS Ingenieure (n=1)"
ramboll,4,2,Ramboll Finland (n=3); Ramboll (n=1)
rotor,4,4,"Rotor asbl-vzw (n=1); Whitewood, Immobel, CONIX RDBM, Cordeel, Rotor, RotorDC, Madaster/EPEA (n=1); Rotor asbl (n=1); Rotor (n=1)"
stadt,4,4,"technische Dienste der Stadt Paris (n=1); Immobilien Basel-Stadt; Hochbauamt Basel-Stadt; baubüro in situ; S+B; Jauslin Stebler; Pro Engineering; Haustec; Rapp AG; Husner AG Holzbau; Zirkular (n=1); Stadt Zürich, Amt für Hochbauten, Immobilien Stadt Zürich, Bischof Föhn Architektur, Zirkular GmbH, Meili Partner, Heierli, Haerter + Partner, Schmidiger + Rosasco, aik (n=1); Stadt_Heilbronn (n=1)"
zirkular,4,3,"Zirkular GmbH (n=2); Immobilien Basel-Stadt; Hochbauamt Basel-Stadt; baubüro in situ; S+B; Jauslin Stebler; Pro Engineering; Haustec; Rapp AG; Husner AG Holzbau; Zirkular (n=1); Stadt Zürich, Amt für Hochbauten, Immobilien Stadt Zürich, Bischof Föhn Architektur, Zirkular GmbH, Meili Partner, Heierli, Haerter + Partner, Schmidiger + Rosasco, aik (n=1)"
architectes,3,3,MAMOUT architectes (n=1); Encore Heureux Architectes (n=1); Schmets architectes (n=1)
architekturbuero,3,3,"Claus Asam, IEMB/TU Berlin; Architekturbüro Conclus / Hervé Biele bzw. Joel Biele (n=1); Hervé Biele / Architekturbüro Conclus; Claus Asam / IEMB (n=1); Seidl + Seidl Architekten; Architekturbüro Hose; Dr. Angelika Mettke / BTU Cottbus (n=1)"
arup,3,2,Arup (n=2); Bill Dunster / ZEDfactory; BioRegional; Peabody Trust; Arup; Ellis & Moore; Gardiner & Theobald (n=1)
asam,3,3,"Claus Asam, IEMB/TU Berlin; Architekturbüro Conclus / Hervé Biele bzw. Joel Biele (n=1); Hervé Biele / Architekturbüro Conclus; Claus Asam / IEMB (n=1); Claus Asam / IEMB (n=1)"
asbl,3,3,Rotor asbl-vzw (n=1); Rotor asbl (n=1); Zinneke asbl (n=1)
berlin,3,3,"Claus Asam, IEMB/TU Berlin; Architekturbüro Conclus / Hervé Biele bzw. Joel Biele (n=1); Impact Hub Berlin, LXSY Architektur, TRNSFRM eG, Die Zusammenarbeiter, ZRS Ingenieure (n=1); BIM_Berlin (n=1)"
biele,3,3,"Claus Asam, IEMB/TU Berlin; Architekturbüro Conclus / Hervé Biele bzw. Joel Biele (n=1); Hervé Biele / Architekturbüro Conclus; Claus Asam / IEMB (n=1); Hervé Biele / Conclus (n=1)"
bureau,3,3,"Bureau Bouwtechniek, Greisch, Daidalos Peutz, Taktyk (n=1); bureau SLA (n=1); Bureau Greisch (n=1)"
claus,3,3,"Claus Asam, IEMB/TU Berlin; Architekturbüro Conclus / Hervé Biele bzw. Joel Biele (n=1); Hervé Biele / Architekturbüro Conclus; Claus Asam / IEMB (n=1); Claus Asam / IEMB (n=1)"
cleveland,3,2,Cleveland Steel and Tubes (n=2); Cleveland Steel (n=1)
conclus,3,3,"Claus Asam, IEMB/TU Berlin; Architekturbüro Conclus / Hervé Biele bzw. Joel Biele (n=1); Hervé Biele / Architekturbüro Conclus; Claus Asam / IEMB (n=1); Hervé Biele / Conclus (n=1)"
consolis,3,1,Consolis Parma (n=3)
construction,3,3,Mark Young Construction (n=1); McLaren Construction (n=1); Rarig Construction (n=1)
engineering,3,3,GTD Consulting / GTD Engineering (n=1); Immobilien Basel-Stadt; Hochbauamt Basel-Stadt; baubüro in situ; S+B; Jauslin Stebler; Pro Engineering; Haustec; Rapp AG; Husner AG Holzbau; Zirkular (n=1); Daedalus Engineering (n=1)
engineers,3,4,KL&A Engineers and Builders (n=1); Webb Yates Engineers (n=1); Civic Engineers (n=1); SSG Structural Engineers (n=1)
finland,3,2,Ramboll Finland (n=3); Skanska Finland (n=2)
gmbh,3,2,"Zirkular GmbH (n=2); Stadt Zürich, Amt für Hochbauten, Immobilien Stadt Zürich, Bischof Föhn Architektur, Zirkular GmbH, Meili Partner, Heierli, Haerter + Partner, Schmidiger + Rosasco, aik (n=1)"
herv,3,3,"Claus Asam, IEMB/TU Berlin; Architekturbüro Conclus / Hervé Biele bzw. Joel Biele (n=1); Hervé Biele / Architekturbüro Conclus; Claus Asam / IEMB (n=1); Hervé Biele / Conclus (n=1)"
iemb,3,3,"Claus Asam, IEMB/TU Berlin; Architekturbüro Conclus / Hervé Biele bzw. Joel Biele (n=1); Hervé Biele / Architekturbüro Conclus; Claus Asam / IEMB (n=1); Claus Asam / IEMB (n=1)"
imd,3,2,IMd Raadgevende Ingenieurs (n=2); IMd raadgevende ingenieurs (n=1)
ingenieurs,3,2,IMd Raadgevende Ingenieurs (n=2); IMd raadgevende ingenieurs (n=1)
mettke,3,3,Polony 2008; Mettke/Heyn/Dechantsreiter als Literaturquellen (n=1); Angelika Mettke / Heyn et al. / Dechantsreiter et al. / Fischer et al. (n=1); Seidl + Seidl Architekten; Architekturbüro Hose; Dr. Angelika Mettke / BTU Cottbus (n=1)
parma,3,1,Consolis Parma (n=3)
partners,3,3,Philippe Samyn and Partners; Studio Valle Progettazioni; Buro Happold; Belgian Buildings Agency / Regie der Gebouwen (n=1); Pierre Stoffel / BESP Stoffel & Partners; Sofiane Boudahri (n=1); JZH & Partners (n=1)
partnership,3,3,Davis Partnership Architects (n=1); Brent Cross South Limited Partnership (n=1); FORE Partnership (n=1)
raadgevende,3,2,IMd Raadgevende Ingenieurs (n=2); IMd raadgevende ingenieurs (n=1)
steel,3,2,Cleveland Steel and Tubes (n=2); Cleveland Steel (n=1)
superuse,3,3,"BlueCity, Superuse Studios, COUP, Workspot, Floris Schiferli (n=1); Jan Jongert, Jeroen Bergsma, Team Superuse/2012Architecten (n=1); Bewohnerinitiative, Zayaz, Superuse Studios, Bouwbedrijf Versteegden, Transfarmers, VanNimwegen (n=1)"
umacon,3,1,Umacon (n=3)
