cluster_label,n_files,n_raw_values,raw_values
holz,10,11,"Holz aus Deckenkonstruktion/Supermarkt/Discounter (n=1); Betonblöcke, Holz, Sperrholz (n=1); Holz-Alu-Fenster / Außenfenster (n=1); Holz aus Rückbauten / Dachstühlen (n=1); Bestandsgebäude, Innenausbau, ggf. Stahl/Holz/Fassadenmaterial (n=1); Sanitär, Türen, Beläge, Fliesen, Holz, feste Ausstattung (n=1); Holz-Dachbinder / timber roof trusses / rafters (n=1); vorkonsumiertes Holz / pre-used wood (n=1); Holz aus Kabeltrommeln (n=1); Holz-Dachspanten / Brettschichtholz-Kniespanten (n=1); Holz aus ehemaliger Bibliothek / Tankstelle / Schule / Kunstakademie (n=1)"
stahltraeger,8,9,Stahlträger und Stahlstützen (n=1); Stahlträger / Stahlrahmen / H-Profile (n=1); wiederverwendete Stahlträger/-stützen (n=1); Stahlträger / Stützen / Profilbleche Verbunddecken (n=1); Stahlträger / Stützen (n=1); wiederverwendete Stahlträger (n=1); großer Stahlträger als Empfangstresen (n=1); Stahlträger aus Paternoster/Textilmaschine (n=1); ca. 30 Stahlträger (n=1)
tueren,8,8,"Glastrennwände und Türen (n=1); Türen, Bordsteine, Natursteinplatten, Gerüstrohre als Geländer/Balustraden (n=1); Sanitärobjekte, Vorhangfassadenelemente, Blech/Glas, Türen, Bodenplatten (n=1); Türen / Brandschutztüren (n=1); Fenster, Türen (n=1); Holzdachelemente / Holzwerkstoffe / Türen / Dreischichtplatten (n=1); Sanitär, Türen, Beläge, Fliesen, Holz, feste Ausstattung (n=1); Türen (n=1)"
fenster,7,7,"Holz-Alu-Fenster / Außenfenster (n=1); 200 Fenster aus Lagerrestbeständen (n=1); Fenster, Türen (n=1); Fenster (n=1); ca. 700 gespendete Fenster (n=1); Fenster / Rahmen aus Palast der Republik (n=1); wiederverwendete Fenster / upcycled windows (n=1)"
stahl,7,7,"wiederverwendeter Stahl (n=2); Stahl-U-Profile als Außenstürze (n=1); Stahl (n=1); Bestandsgebäude, Innenausbau, ggf. Stahl/Holz/Fassadenmaterial (n=1); Stahl aus vorhandenem Blackfriars-Bestand (n=1); wetternde Stahl-Offcuts an Toren (n=1); 2 Stahl-Treppen (n=1)"
ziegel,6,5,wiederverwendete Ziegel (n=2); red MDF boards und Ziegel aus anderer Baustelle (n=1); Large/Grote Boomse Steen Ziegel (n=1); BTC-Ziegel (n=1); Ziegel / bricks (n=1)
decken,5,4,"200 zugeschnittene Teile aus 60 Decken- und 50 Innenwandplatten (n=2); 145 Decken-/Bodenplatten, 19 Außenwandelemente, 14 Innenwände, 11 Kellerwände (n=1); 58 Stahlbeton-Wand- und Deckenelemente; nach PRECS: 28 Wände, 23 Decken, 7 Treppen (n=1); TT-Decken / Betondecken (n=1)"
gelaender,5,5,"Türen, Bordsteine, Natursteinplatten, Gerüstrohre als Geländer/Balustraden (n=1); Stahlbauteile für Laubengänge, Treppentürme, Geländer, Gitterroste (n=1); Geländer / Brüstungsgeländer (n=1); Aluminiumrohre, Heizkörper, Plattenmaterial, Fensterrahmen, Haustüren, Geländer, Brüstungen, Küche (n=1); Geländer, Fliesen, Steine Verbiest (n=1)"
hohlkoerperdecken,5,4,Hohlkörperdecken (n=2); Hohlkörperdecken / kanaalplaatvloeren (n=1); Hohlkörperdecken / hollow-core slabs (n=1); 27 Hohlkörperdecken / hollow-core slabs (n=1)
sanitaer,5,4,"Sanitär (n=2); Sanitär, ducts, pipes, office fronts, doors (n=1); Sanitär, Türen, Beläge, Fliesen, Holz, feste Ausstattung (n=1); Waschbecken / Sanitär (n=1)"
