cluster_label,n_files,n_raw_values,raw_values
berlin,8,8,"Berlin_Neukoelln (n=2); Schildow, Brandenburg, nördlich von Berlin (n=1); Berlin-Neukölln, Rollbergstraße 26 / 28a (n=1); Berlin-Neukölln (n=1); Wolliner Straße 50, Berlin (n=1); Peter-Behrens-Halle TU Berlin; Tempelhofer Feld Berlin (n=1); Karl_Marx_Allee_Berlin (n=1); Berlin_Mitte (n=1)"
london,8,8,"Southwark, London, UK (n=1); Hackbridge / Wallington, London Borough of Sutton, UK (n=1); Brent Cross, London, UK (n=1); London; UCL Festival of Engineering 2024, London Design Festival 2024, Futurebuild 2025 (n=1); Royal Borough of Kensington and Chelsea / Chelsea, London (n=1); London, UK (n=1); 10 Whitechapel High St, London E1 8QS (n=1); 25 Lavington Street / Bankside, Southwark, London SE1 (n=1)"
rue,8,8,"Rue Charles Malis, Molenbeek-Saint-Jean, Brüssel (n=1); Rue de la Loi / Wetstraat, Brussels (n=1); 2 bis rue de l’Ourcq, 75019 Paris (n=1); Rue des Ateliers, 14460 Colombelles (n=1); Rue de la Vignette, Auderghem, Brüssel, Belgien (n=1); Rue des Brasseurs 3, 7700 Mouscron, Belgien (n=1); 29 Rue d’Amiens, 93240 Stains (n=1); Place Masui / Rue des Palais, Brüssel (n=1)"
belgien,7,7,"Plankenstraat 23, 1701 Dilbeek, Belgien (n=1); Gentbrugge / Ghent, Belgien (n=1); Liège / Lüttich, Belgien (n=1); Markt 1, 8647 Lo-Reninge, Belgien (n=1); Asse, Belgien (n=1); Rue de la Vignette, Auderghem, Brüssel, Belgien (n=1); Rue des Brasseurs 3, 7700 Mouscron, Belgien (n=1)"
bruessel,7,7,"Rue Charles Malis, Molenbeek-Saint-Jean, Brüssel (n=1); Rue de la Vignette, Auderghem, Brüssel, Belgien (n=1); Boulevard Anspach / De Brouckère, Brüssel (n=1); Quai Fernand Demets 22, 1070 Anderlecht, Brüssel (n=1); Sint-Jans-Molenbeek / Brüssel (n=1); Place Masui / Rue des Palais, Brüssel (n=1); Bruessel (n=1)"
deutschland,7,7,"Gröditz, Deutschland (n=1); Plauen, Deutschland (n=1); Schildow, Brandenburg/Berliner Umland, Deutschland (n=1); München, Deutschland (n=1); Bröthen / Hoyerswerda, Deutschland (n=1); Mühlhausen, Thüringen, Deutschland (n=1); Mehrow, Brandenburg, Deutschland (n=1)"
niederlande,6,6,"Arnhem / Heerde, Niederlande (n=1); Kloetinge, Zeeland, Niederlande (n=1); Duiven, Niederlande (n=1); Maassluis, Zuid-Holland, Niederlande (n=1); Bleijerheide, Kerkrade, Niederlande (n=1); Roombeek, Enschede, Niederlande (n=1)"
areal,5,4,"Hobelwerk_Areal_Oberwinterthur (n=2); Zürich-Altstetten, Juch-Areal (n=1); Hannover-Kronsberg / ehemaliges Expo-Areal (n=1); Utrecht, Croeselaan / Knoopkazerne-Areal (n=1)"
basel,5,3,"Basel (n=2); Lysbuechelareal_Basel (n=2); Elsässerstrasse 209/215 bzw. 215, Basel, Lysbüchel/Volta Nord (n=1)"
neukoelln,4,3,"Berlin_Neukoelln (n=2); Berlin-Neukölln, Rollbergstraße 26 / 28a (n=1); Berlin-Neukölln (n=1)"
usa,4,4,"Boston / Cambridge / North Cambridge, MA, USA (n=1); Lexington, Massachusetts, USA (n=1); Boulder, Colorado, USA (n=1); Paso Robles / Templeton Gap, Kalifornien, USA (n=1)"
brandenburg,3,3,"Schildow, Brandenburg/Berliner Umland, Deutschland (n=1); Schildow, Brandenburg, nördlich von Berlin (n=1); Mehrow, Brandenburg, Deutschland (n=1)"
copenhagen,3,3,"Copenhagen / Ørestad, Dänemark (n=1); Thoravej 29, 2400 København NV, Copenhagen (n=1); Ørestad, Copenhagen, DK (n=1)"
daenemark,3,3,"Copenhagen / Ørestad, Dänemark (n=1); Gladsaxe, Dänemark (n=1); Aarhus, Dänemark (n=1)"
paris,3,3,"Parvis de l’Hôtel de Ville, Paris (n=1); 2 bis rue de l’Ourcq, 75019 Paris (n=1); Paris, Frankreich (n=1)"
zuerich,3,3,"Grubenstrasse 29, 8045 Zürich, Binz (n=1); Zürich-Altstetten, Juch-Areal (n=1); Zürich-Wollishofen, Werkhof Mööslistrasse (n=1)"
_unclustered,19,20,"Münster, Rösnerstraße (n=1); Limes 7 / Leiden Bio Science Park, Oegstgeest/Leiden (n=1); Rotterdam, Maasboulevard (n=1); University of Brighton City Campus, Grand Parade, Brighton (n=1); Hannover EXPO 2000; Kloster Volkenroda, Thüringen (n=1); Potkurinkatu, Härmälänranta, Tampere (n=1); Hastings, United Kingdom (n=1); Lagerplatz / Winterthur, Schweiz (n=1); Kristian Augusts gate 13, Oslo, Norwegen (n=1); Kamikatsu, Tokushima Prefecture, Japan (n=1); Lahdesjärvi, Tampere, Finnland (n=1); Luxembourg-Limpertsberg, Luxemburg (n=1); Jätkäsaari, Helsinki, Finnland (n=1); Ketelhuisplein, Eindhoven, NL (n=1); Den Bosch / ’s-Hertogenbosch, NL (n=1); Evere (n=1); Oberwinterthur (n=1); Sulzerareal_Winterthur (n=1); Rollbergviertel (n=1); Heilbronn (n=1)"
