id,fallstudie,kennwertdefinition,wert,einheit,raw_kontext
55_Great_Suffolk_Street_London__Wiederverwendungsquote__20_35_t,55_Great_Suffolk_Street_London,Wiederverwendungsquote,20.35,t,20.35 t reused steel
55_Great_Suffolk_Street_London__CO2_Einsparung__50_0_t,55_Great_Suffolk_Street_London,CO2_Einsparung,50.0,t,ca. 50 t CO₂
55_Great_Suffolk_Street_London__CO2_Einsparung__386_0_kg,55_Great_Suffolk_Street_London,CO2_Einsparung,386.0,kg,386 kgCO₂e/m² A1-A5
Association_house_Groeditz__Datenluecke__2_5_km,Association_house_Groeditz,Datenluecke,2.5,km,"438 dokumentierte Betonfertigteile; 2,5 km; 2007"
Association_house_Plauen__Datenluecke__7_0_km,Association_house_Plauen,Datenluecke,7.0,km,189 Fertigteile; ca. 7 km Distanz; 2007; gebaut
AWM_Muenster_Circular_Office__Datenluecke__6_9_t,AWM_Muenster_Circular_Office,Datenluecke,6.9,t,"6,9 t wiedergewonnene Materialien"
AWM_Muenster_Circular_Office__CO2_Einsparung__13_32_t,AWM_Muenster_Circular_Office,CO2_Einsparung,13.32,t,"13,32 t CO₂e / 82 %"
AWM_Muenster_Circular_Office__CO2_Einsparung__82_0,AWM_Muenster_Circular_Office,CO2_Einsparung,82.0,%,"13,32 t CO₂e / 82 %"
AWM_Muenster_Circular_Office__Wiederverwendungsquote__95_6,AWM_Muenster_Circular_Office,Wiederverwendungsquote,95.6,%,"95,6 % c2c-inspiriert oder ReUse"
AWM_Muenster_Circular_Office__Datenluecke__250_0_m2,AWM_Muenster_Circular_Office,Datenluecke,250.0,m2,250 m² / 200 m²
AWM_Muenster_Circular_Office__Datenluecke__200_0_m2,AWM_Muenster_Circular_Office,Datenluecke,200.0,m2,250 m² / 200 m²
BedZED_London_Hackbridge__Wiederverwendungsquote__98_0_t,BedZED_London_Hackbridge,Wiederverwendungsquote,98.0,t,98 t wiederverwendeter Stahl
BedZED_London_Hackbridge__Wiederverwendungsquote__3404_0_t,BedZED_London_Hackbridge,Wiederverwendungsquote,3404.0,t,"3.404 t wiederverwendete/recycelte Materialien, 15 %"
BedZED_London_Hackbridge__Wiederverwendungsquote__15_0,BedZED_London_Hackbridge,Wiederverwendungsquote,15.0,%,"3.404 t wiederverwendete/recycelte Materialien, 15 %"
Berlin_Schildow_Pilot_House__Datenluecke__245_0_m3,Berlin_Schildow_Pilot_House,Datenluecke,245.0,m3,245 m³; 200 Teile; 33 km; 2005; Bauteilalter ca. 18 Jahre
Berlin_Schildow_Pilot_House__Datenluecke__33_0_km,Berlin_Schildow_Pilot_House,Datenluecke,33.0,km,245 m³; 200 Teile; 33 km; 2005; Bauteilalter ca. 18 Jahre
Berlin_Schildow_Pilot_House__Datenluecke__18_0_jahre,Berlin_Schildow_Pilot_House,Datenluecke,18.0,jahre,245 m³; 200 Teile; 33 km; 2005; Bauteilalter ca. 18 Jahre
Berlin_Schildow_Pilot_House_2__Datenluecke__245_0_m3,Berlin_Schildow_Pilot_House_2,Datenluecke,245.0,m3,200 Teile; 245 m³; ca. 18 Jahre Bauteilalter; 2005
Berlin_Schildow_Pilot_House_2__Datenluecke__18_0_jahre,Berlin_Schildow_Pilot_House_2,Datenluecke,18.0,jahre,200 Teile; 245 m³; ca. 18 Jahre Bauteilalter; 2005
Bestandverplanzung_Pavilion_Muenchen__Datenluecke__36_0_jahre,Bestandverplanzung_Pavilion_Muenchen,Datenluecke,36.0,jahre,2008; ca. 36 Jahre Bauteilalter
Big_Dig_Building_Boston__Datenluecke__2335_0_m2,Big_Dig_Building_Boston,Datenluecke,2335.0,m2,2.335 m² site area; 2.936 m² constructed area
Big_Dig_Building_Boston__Datenluecke__2936_0_m2,Big_Dig_Building_Boston,Datenluecke,2936.0,m2,2.335 m² site area; 2.936 m² constructed area
BioPartner_5_Leiden_Oegstgeest__Wiederverwendungsquote__165000_0_kg,BioPartner_5_Leiden_Oegstgeest,Wiederverwendungsquote,165000.0,kg,165.000 kg wiederverwendeter Stahl
BioPartner_5_Leiden_Oegstgeest__Datenluecke__6200_0_m2,BioPartner_5_Leiden_Oegstgeest,Datenluecke,6200.0,m2,6.200 m² / 7.000 m²
BioPartner_5_Leiden_Oegstgeest__Datenluecke__7000_0_m2,BioPartner_5_Leiden_Oegstgeest,Datenluecke,7000.0,m2,6.200 m² / 7.000 m²
BioPartner_5_Leiden_Oegstgeest__CO2_Einsparung__248_0_kg,BioPartner_5_Leiden_Oegstgeest,CO2_Einsparung,248.0,kg,248 kg CO₂-eq/m² embodied carbon
BioPartner_5_Leiden_Oegstgeest__Datenluecke__40_0,BioPartner_5_Leiden_Oegstgeest,Datenluecke,40.0,%,ca. 40 % Reduktion embodied carbon
BlueCity_Offices_Rotterdam__Datenluecke__1300_0_m2,BlueCity_Offices_Rotterdam,Datenluecke,1300.0,m2,1.300 m²
BlueCity_Offices_Rotterdam__Wiederverwendungsquote__90_0,BlueCity_Offices_Rotterdam,Wiederverwendungsquote,90.0,%,90 % circular / 90 % reused
BlueCity_Offices_Rotterdam__Wiederverwendungsquote__90_0,BlueCity_Offices_Rotterdam,Wiederverwendungsquote,90.0,%,90 % circular / 90 % reused
BlueCity_Offices_Rotterdam__CO2_Einsparung__68_0,BlueCity_Offices_Rotterdam,CO2_Einsparung,68.0,%,68 % CO₂-Reduktion
BlueCity_Offices_Rotterdam__CO2_Einsparung__60_0_t,BlueCity_Offices_Rotterdam,CO2_Einsparung,60.0,t,60 t CO₂ Einsparung
Boulder_Fire_Station_3__Datenluecke__75_0,Boulder_Fire_Station_3,Datenluecke,75.0,%,75 % diversion requirement
Brent_Cross_Town_Primary_Substation_London__Wiederverwendungsquote__33_46_t,Brent_Cross_Town_Primary_Substation_London,Wiederverwendungsquote,33.46,t,33.46 t reused steel
Brent_Cross_Town_Primary_Substation_London__Wiederverwendungsquote__42_5,Brent_Cross_Town_Primary_Substation_London,Wiederverwendungsquote,42.5,%,42.5 % / around 45 % reused steel
Brent_Cross_Town_Primary_Substation_London__Wiederverwendungsquote__45_0,Brent_Cross_Town_Primary_Substation_London,Wiederverwendungsquote,45.0,%,42.5 % / around 45 % reused steel
Brent_Cross_Town_Primary_Substation_London__CO2_Einsparung__66_0_t,Brent_Cross_Town_Primary_Substation_London,CO2_Einsparung,66.0,t,66 t / 99.2 t CO₂e saving
Brent_Cross_Town_Primary_Substation_London__CO2_Einsparung__99_2_t,Brent_Cross_Town_Primary_Substation_London,CO2_Einsparung,99.2,t,66 t / 99.2 t CO₂e saving
Brighton_Waste_House_Brighton__Datenluecke__85_0,Brighton_Waste_House_Brighton,Datenluecke,85.0,%,>85 % Abfallmaterial
Broethen_Twin_House_Hoyerswerda__Datenluecke__32_0_jahre,Broethen_Twin_House_Hoyerswerda,Datenluecke,32.0,jahre,76 Platten; 2001; ca. 32 Jahre Bauteilalter
Charles_Malis_Molenbeek__Datenluecke__1_0_m2,Charles_Malis_Molenbeek,Datenluecke,1.0,m2,"ca. 1,000 m²"
Chiro_d_Itterbeek_Dilbeek__CO2_Einsparung__4572_702786_kg,Chiro_d_Itterbeek_Dilbeek,CO2_Einsparung,4572.702786,kg,"4.572,702786 kg CO₂ vermieden"
Christ_Pavilion_Volkenroda__Datenluecke__2004_0_m2,Christ_Pavilion_Volkenroda,Datenluecke,2004.0,m2,BGF 2.004 m²; BRI 18.548 m³
Christ_Pavilion_Volkenroda__Datenluecke__18548_0_m3,Christ_Pavilion_Volkenroda,Datenluecke,18548.0,m3,BGF 2.004 m²; BRI 18.548 m³
Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot__Datenluecke__7400_0_m2,Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot,Datenluecke,7400.0,m2,7.400 m² / über 8.000 m²
Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot__Datenluecke__8000_0_m2,Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot,Datenluecke,8000.0,m2,7.400 m² / über 8.000 m²
Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot__CO2_Einsparung__17000_0_t,Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot,CO2_Einsparung,17000.0,t,"17.000 t Material, 12.000 t Beton, 3.500 t CO₂, 92 % Reuse"
Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot__CO2_Einsparung__12000_0_t,Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot,CO2_Einsparung,12000.0,t,"17.000 t Material, 12.000 t Beton, 3.500 t CO₂, 92 % Reuse"
Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot__CO2_Einsparung__3500_0_t,Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot,CO2_Einsparung,3500.0,t,"17.000 t Material, 12.000 t Beton, 3.500 t CO₂, 92 % Reuse"
Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot__CO2_Einsparung__92_0,Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot,CO2_Einsparung,92.0,%,"17.000 t Material, 12.000 t Beton, 3.500 t CO₂, 92 % Reuse"
Circular_Pavilion_Paris__Datenluecke__70_0_m2,Circular_Pavilion_Paris,Datenluecke,70.0,m2,70 m²
Circular_Pavilion_Paris__Datenluecke__60_0,Circular_Pavilion_Paris,Datenluecke,60.0,%,60 % Materialien mit erster Lebensdauer
CRCLR_House_Impact_Hub_Berlin__Datenluecke__18_0_m,CRCLR_House_Impact_Hub_Berlin,Datenluecke,18.0,m,120 Stahlträger bis 18 m
CRCLR_House_Impact_Hub_Berlin__Wiederverwendungsquote__70_0,CRCLR_House_Impact_Hub_Berlin,Wiederverwendungsquote,70.0,%,ca. 70 % reused/recycled/upcycled im Innenausbau
CRCLR_House_Impact_Hub_Berlin__Datenluecke__6600_0_m2,CRCLR_House_Impact_Hub_Berlin,Datenluecke,6600.0,m2,BGF 6.600 m² / 7.603 m² / Größe 4.871 m²
CRCLR_House_Impact_Hub_Berlin__Datenluecke__7603_0_m2,CRCLR_House_Impact_Hub_Berlin,Datenluecke,7603.0,m2,BGF 6.600 m² / 7.603 m² / Größe 4.871 m²
CRCLR_House_Impact_Hub_Berlin__Datenluecke__4871_0_m2,CRCLR_House_Impact_Hub_Berlin,Datenluecke,4871.0,m2,BGF 6.600 m² / 7.603 m² / Größe 4.871 m²
ELYS_Kultur_Gewerbehaus_Basel__CO2_Einsparung__91_0_t,ELYS_Kultur_Gewerbehaus_Basel,CO2_Einsparung,91.0,t,91 t CO₂ durch Wiederverwendung vermieden
ELYS_Kultur_Gewerbehaus_Basel__CO2_Einsparung__7000_0_t,ELYS_Kultur_Gewerbehaus_Basel,CO2_Einsparung,7000.0,t,7.000 t CO₂e durch Erhalt der Tragstruktur
Europa_Building_Brussels__Datenluecke__81777_0_m2,Europa_Building_Brussels,Datenluecke,81777.0,m2,81.777 m² Bruttogeschossfläche
Ferme_du_Rail_Paris__Wiederverwendungsquote__90_0,Ferme_du_Rail_Paris,Wiederverwendungsquote,90.0,%,"90 % biosourced und/oder reused, Trockenbauweise"
Ferme_du_Rail_Paris__Datenluecke__2300_0_m2,Ferme_du_Rail_Paris,Datenluecke,2300.0,m2,2.300 m² / 1.000 m² gebaut
Ferme_du_Rail_Paris__Datenluecke__1000_0_m2,Ferme_du_Rail_Paris,Datenluecke,1000.0,m2,2.300 m² / 1.000 m² gebaut
Ferme_du_Rail_Paris__Datenluecke__830_0_m2,Ferme_du_Rail_Paris,Datenluecke,830.0,m2,830 m² SDP + 1.466 m² nicht spezifiziert
Ferme_du_Rail_Paris__Datenluecke__1466_0_m2,Ferme_du_Rail_Paris,Datenluecke,1466.0,m2,830 m² SDP + 1.466 m² nicht spezifiziert
