id,fallstudie,kennwertdefinition,einheit,werte,spread,datenpunkte,n_datenpunkte
Brent_Cross_Town_Primary_Substation_London__Wiederverwendungsquote__conflict_42_5_vs_45_0,Brent_Cross_Town_Primary_Substation_London,Wiederverwendungsquote,%,42.5; 45.0,1.1,Brent_Cross_Town_Primary_Substation_London__Wiederverwendungsquote__42_5; Brent_Cross_Town_Primary_Substation_London__Wiederverwendungsquote__45_0,2
Brent_Cross_Town_Primary_Substation_London__CO2_Einsparung__conflict_66_0_vs_99_2,Brent_Cross_Town_Primary_Substation_London,CO2_Einsparung,t,66.0; 99.2,1.5,Brent_Cross_Town_Primary_Substation_London__CO2_Einsparung__66_0_t; Brent_Cross_Town_Primary_Substation_London__CO2_Einsparung__99_2_t,2
Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot__CO2_Einsparung__conflict_3500_0_vs_17000_0,Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot,CO2_Einsparung,t,3500.0; 12000.0; 17000.0,4.9,Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot__CO2_Einsparung__17000_0_t; Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot__CO2_Einsparung__12000_0_t; Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot__CO2_Einsparung__3500_0_t,3
Haus_HOS_Mehrfamilienhaus_Muehlhausen__Wiederverwendungsquote__conflict_25_0_vs_75_0,Haus_HOS_Mehrfamilienhaus_Muehlhausen,Wiederverwendungsquote,%,25.0; 75.0,3.0,Haus_HOS_Mehrfamilienhaus_Muehlhausen__Wiederverwendungsquote__75_0; Haus_HOS_Mehrfamilienhaus_Muehlhausen__Wiederverwendungsquote__25_0,2
Holbein_Gardens_London__CO2_Einsparung__conflict_25_0_vs_60_0,Holbein_Gardens_London,CO2_Einsparung,t,25.0; 60.0,2.4,Holbein_Gardens_London__CO2_Einsparung__25_0_t; Holbein_Gardens_London__CO2_Einsparung__60_0_t,2
K118_Kopfbau_Halle_118_Winterthur__Wiederverwendungsquote__conflict_14_0_vs_41_0,K118_Kopfbau_Halle_118_Winterthur,Wiederverwendungsquote,%,14.0; 41.0,2.9,K118_Kopfbau_Halle_118_Winterthur__Wiederverwendungsquote__14_0; K118_Kopfbau_Halle_118_Winterthur__Wiederverwendungsquote__41_0,2
Multi_Brussels_Reuse_in_MULTI__Wiederverwendungsquote__conflict_2_0_vs_3_0,Multi_Brussels_Reuse_in_MULTI,Wiederverwendungsquote,%,2.0; 3.0,1.5,Multi_Brussels_Reuse_in_MULTI__Wiederverwendungsquote__2_0; Multi_Brussels_Reuse_in_MULTI__Wiederverwendungsquote__3_0,2
PLP_London_HQ_Circular_Studio_Fitout__Wiederverwendungsquote__conflict_7_0_vs_92_0,PLP_London_HQ_Circular_Studio_Fitout,Wiederverwendungsquote,%,7.0; 92.0,13.1,PLP_London_HQ_Circular_Studio_Fitout__Wiederverwendungsquote__92_0; PLP_London_HQ_Circular_Studio_Fitout__Wiederverwendungsquote__7_0,2
Roots_in_the_Sky_Blackfriars_Crown_Court__CO2_Einsparung__conflict_30_0_vs_74_0,Roots_in_the_Sky_Blackfriars_Crown_Court,CO2_Einsparung,t,30.0; 74.0,2.5,Roots_in_the_Sky_Blackfriars_Crown_Court__CO2_Einsparung__30_0_t; Roots_in_the_Sky_Blackfriars_Crown_Court__CO2_Einsparung__74_0_t,2
Superlocal_Expogebouw_Bleijerheide__Wiederverwendungsquote__conflict_95_0_vs_100_0,Superlocal_Expogebouw_Bleijerheide,Wiederverwendungsquote,%,95.0; 100.0,1.1,Superlocal_Expogebouw_Bleijerheide__Wiederverwendungsquote__95_0; Superlocal_Expogebouw_Bleijerheide__Wiederverwendungsquote__100_0,2
TRAE_High_Rise_Aarhus__CO2_Einsparung__conflict_130096_0_vs_170534_0,TRAE_High_Rise_Aarhus,CO2_Einsparung,kg,130096.0; 170534.0,1.3,TRAE_High_Rise_Aarhus__CO2_Einsparung__130096_0_kg; TRAE_High_Rise_Aarhus__CO2_Einsparung__170534_0_kg,2
Upcycle_Studios_Copenhagen__CO2_Einsparung__conflict_32_0_vs_45_0,Upcycle_Studios_Copenhagen,CO2_Einsparung,%,32.0; 45.0,1.4,Upcycle_Studios_Copenhagen__CO2_Einsparung__32_0; Upcycle_Studios_Copenhagen__CO2_Einsparung__45_0,2
Woongroep_Boschgaard_Den_Bosch__Wiederverwendungsquote__conflict_85_0_vs_90_0,Woongroep_Boschgaard_Den_Bosch,Wiederverwendungsquote,%,85.0; 90.0,1.1,Woongroep_Boschgaard_Den_Bosch__Wiederverwendungsquote__85_0; Woongroep_Boschgaard_Den_Bosch__Wiederverwendungsquote__90_0,2
