id,donor,empfaenger_fallstudie,material,bauteile,alle_materialien
Grade_Ii_Listed_Victorian_Warehouse__to__55_Great_Suffolk_Street_London__Baustahl,Grade II Listed Victorian warehouse,55_Great_Suffolk_Street_London,Baustahl,Stahltraeger,Baustahl
Altes_Verwaltungsgebaeude_Der_Awm__to__AWM_Muenster_Circular_Office__Daemmstoff_Bio,altes Verwaltungsgebäude der awm,AWM_Muenster_Circular_Office,Daemmstoff_Bio,TGA_Sonstiges; Tuer,Daemmstoff_Bio; Naturstein_Material
Lysbuechel_Parkhaus__to__Areal_Walkeweg_Nord__Beton_Ortbeton,Lysbuechel_Parkhaus,Areal_Walkeweg_Nord,Beton_Ortbeton,,Beton_Ortbeton
Sport_Vereinshaus__to__Association_house_Groeditz__Stahlbetonfertigteil,Sport-/Vereinshaus,Association_house_Groeditz,Stahlbetonfertigteil,Plattenbau_Aussenwand,Stahlbetonfertigteil
Spender_Schule_Typ_Dresden_Weiteres_Wbs70_Gebaeude__to__Association_house_Groeditz__Stahlbetonfertigteil,Spender: Schule Typ Dresden; weiteres WBS70-Gebäude,Association_house_Groeditz,Stahlbetonfertigteil,Plattenbau_Aussenwand,Stahlbetonfertigteil
Sport_Vereinshaus__to__Association_house_Plauen__Stahlbetonfertigteil,Sport-/Vereinshaus,Association_house_Plauen,Stahlbetonfertigteil,Plattenbau_Aussenwand,Stahlbetonfertigteil
Wohn_Und_Arbeitsquartier__to__BedZED_London_Hackbridge__Baustahl,Wohn- und Arbeitsquartier,BedZED_London_Hackbridge,Baustahl,Naturstein_Belag,Baustahl; Glas_Material; Naturstein_Material
Spender_Berliner_Elfgeschosser_Marzahn_Plattenbau__to__Berlin_Schildow_Pilot_House__Stahlbetonfertigteil,Spender: Berliner Elfgeschosser / Marzahn-Plattenbau,Berlin_Schildow_Pilot_House,Stahlbetonfertigteil,Plattenbau_Innenwand,Stahlbetonfertigteil
Einfamilienhaus_Pilotwohnhaus__to__Berlin_Schildow_Pilot_House__Stahlbetonfertigteil,Einfamilienhaus / Pilotwohnhaus,Berlin_Schildow_Pilot_House,Stahlbetonfertigteil,Plattenbau_Innenwand,Stahlbetonfertigteil
Spender_Berliner_Marzahner_Plattenbau__to__Berlin_Schildow_Pilot_House_2__Stahlbetonfertigteil,Spender: Berliner/Marzahner Plattenbau,Berlin_Schildow_Pilot_House_2,Stahlbetonfertigteil,Plattenbau_Innenwand,Stahlbetonfertigteil
