canonical_name,node_id,n_files,n_variants,variants,files
CRCLR_House,Crclr_House,4,3,CRCLR House / Impact Hub Berlin; Impact Hub Berlin Interior / CRCLR fit-out; CRCLR_House,Bestandshalle_CRCLR_House.md; CRCLR_House_Impact_Hub_Berlin.md; Impact_Hub_Berlin_CRCLR_Fitout.md; Kindl_Areal.md
Berlin-Schildow Pilot House / Berlin-Schildow 2nd pilot house,Berlin_Schildow_Pilot_House_Berlin_Schildow_2nd_Pilot_House,2,2,Berlin-Schildow Pilot House / Berlin-Schildow 2nd pilot house; Berlin-Schildow 2nd pilot house,Berlin_Schildow_Pilot_House.md; Berlin_Schildow_Pilot_House_2.md
Big Dig Building,Big_Dig_Building,2,2,Big Dig Building; Big Dig House,Big_Dig_Building_Boston.md; Big_Dig_House_Lexington_Massachusetts.md
Maison Vignette / Vignette House,Maison_Vignette_Vignette_House,2,2,dnA House / Maison DnA; Maison Vignette / Vignette House,Maison_DnA_Asse.md; Maison_Vignette_Auderghem.md
Elementa_Walkeweg,Elementa_Walkeweg,2,1,Elementa_Walkeweg,Areal_Walkeweg_Nord.md; Lysbuechel_Parkhaus.md
55 Great Suffolk Street,55_Great_Suffolk_Street,1,1,55 Great Suffolk Street,55_Great_Suffolk_Street_London.md
"Association house, Gröditz / Gröditz association house",Association_House_Groeditz_Groeditz_Association_House,1,1,"Association house, Gröditz / Gröditz association house",Association_house_Groeditz.md
"Association house, Plauen / Plauen association house",Association_House_Plauen_Plauen_Association_House,1,1,"Association house, Plauen / Plauen association house",Association_house_Plauen.md
"AWM Münster, 3. OG Rösnerstraße",Awm_Muenster_3_Og_Roesnerstrasse,1,1,"AWM Münster, 3. OG Rösnerstraße",AWM_Muenster_Circular_Office.md
BedZED / Beddington Zero Energy Development,Bedzed_Beddington_Zero_Energy_Development,1,1,BedZED / Beddington Zero Energy Development,BedZED_London_Hackbridge.md
Bestandverplanzung Pavilion / Bestandverpflanzung?,Bestandverplanzung_Pavilion_Bestandverpflanzung,1,1,Bestandverplanzung Pavilion / Bestandverpflanzung?,Bestandverplanzung_Pavilion_Muenchen.md
BioPartner 5,Biopartner_5,1,1,BioPartner 5,BioPartner_5_Leiden_Oegstgeest.md
BlueCity Offices / Blue City 010 Offices,Bluecity_Offices_Blue_City_010_Offices,1,1,BlueCity Offices / Blue City 010 Offices,BlueCity_Offices_Rotterdam.md
"Boulder Fire Station 3 / City of Boulder Fire Rescue, Station #3",Boulder_Fire_Station_3_City_Of_Boulder_Fire_Rescue_Station_3,1,1,"Boulder Fire Station 3 / City of Boulder Fire Rescue, Station #3",Boulder_Fire_Station_3.md
Brent Cross Town Primary Substation,Brent_Cross_Town_Primary_Substation,1,1,Brent Cross Town Primary Substation,Brent_Cross_Town_Primary_Substation_London.md
Brighton Waste House / Brighton Wild House,Brighton_Waste_House_Brighton_Wild_House,1,1,Brighton Waste House / Brighton Wild House,Brighton_Waste_House_Brighton.md
Bröthen twin-house,Broethen_Twin_House,1,1,Bröthen twin-house,Broethen_Twin_House_Hoyerswerda.md
CascadeUp / London secondary-timber glulam demonstrator,Cascadeup_London_Secondary_Timber_Glulam_Demonstrator,1,1,CascadeUp / London secondary-timber glulam demonstrator,CascadeUp_London_secondary_timber_glulam_demonstrator.md
Charles Malis / Antenne administrative,Charles_Malis_Antenne_Administrative,1,1,Charles Malis / Antenne administrative,Charles_Malis_Molenbeek.md
Sanitary block for the Itterbeek Chiro / Pavillon de sanitaires,Sanitary_Block_For_The_Itterbeek_Chiro_Pavillon_De_Sanitaires,1,1,Sanitary block for the Itterbeek Chiro / Pavillon de sanitaires,Chiro_d_Itterbeek_Dilbeek.md
Christus-Pavillon / Christ Pavilion,Christus_Pavillon_Christ_Pavilion,1,1,Christus-Pavillon / Christ Pavilion,Christ_Pavilion_Volkenroda.md
Circular Centre Netherlands / Prinsenhof A reuse pilot,Circular_Centre_Netherlands_Prinsenhof_A_Reuse_Pilot,1,1,Circular Centre Netherlands / Prinsenhof A reuse pilot,Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot.md
Pavillon Circulaire / Circular Pavilion,Pavillon_Circulaire_Circular_Pavilion,1,1,Pavillon Circulaire / Circular Pavilion,Circular_Pavilion_Paris.md
ELYS Kultur- & Gewerbehaus,Elys_Kultur_Gewerbehaus,1,1,ELYS Kultur- & Gewerbehaus,ELYS_Kultur_Gewerbehaus_Basel.md
Europa Building Brussels,Europa_Building_Brussels,1,1,Europa Building Brussels,Europa_Building_Brussels.md
La Ferme du Rail,La_Ferme_Du_Rail,1,1,La Ferme du Rail,Ferme_du_Rail_Paris.md
gjG House,Gjg_House,1,1,gjG House,gjG_House_Gentbrugge.md
Grande Halle de Colombelles / Le WIP,Grande_Halle_De_Colombelles_Le_Wip,1,1,Grande Halle de Colombelles / Le WIP,Grande_Halle_de_Colombelles.md
Grubenstrasse 29 / Werkhof 29,Grubenstrasse_29_Werkhof_29,1,1,Grubenstrasse 29 / Werkhof 29,Grubenstrasse_29_Werkhof_29_Zuerich.md
Härmälänranta / A-Kruunu ReCreate mini-pilot,Haermaelaenranta_A_Kruunu_Recreate_Mini_Pilot,1,1,Härmälänranta / A-Kruunu ReCreate mini-pilot,Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md
Hastings Pier Visitor Centre / Pavilion Cladding,Hastings_Pier_Visitor_Centre_Pavilion_Cladding,1,1,Hastings Pier Visitor Centre / Pavilion Cladding,Hastings_Pier_Visitor_Centre.md
Haus HOS / Mühlhausen 2-story multi-housing building,Haus_Hos_Muehlhausen_2_Story_Multi_Housing_Building,1,1,Haus HOS / Mühlhausen 2-story multi-housing building,Haus_HOS_Mehrfamilienhaus_Muehlhausen.md
Holbein Gardens,Holbein_Gardens,1,1,Holbein Gardens,Holbein_Gardens_London.md
House of Fraser / 318 Oxford Street → TBC.London,House_Of_Fraser_318_Oxford_Street_Tbc_London,1,1,House of Fraser / 318 Oxford Street → TBC.London,House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md
Institut de Botanique de l’ULg,Institut_De_Botanique_De_L_Ulg,1,1,Institut de Botanique de l’ULg,Institut_de_Botanique_ULg_Liege.md
Kinder- en jeugdkliniek Ithaka / Emergis,Kinder_En_Jeugdkliniek_Ithaka_Emergis,1,1,Kinder- en jeugdkliniek Ithaka / Emergis,Jeugdkliniek_Ithaka_Emergis_Kloetinge.md
Recyclingzentrum Juch-Areal,Recyclingzentrum_Juch_Areal,1,1,Recyclingzentrum Juch-Areal,Juch_Areal_Recyclingzentrum_Zuerich.md
K.118 / Kopfbau Halle 118,K_118_Kopfbau_Halle_118,1,1,K.118 / Kopfbau Halle 118,K118_Kopfbau_Halle_118_Winterthur.md
KA13 / Kristian Augusts gate 13,Ka13_Kristian_Augusts_Gate_13,1,1,KA13 / Kristian Augusts gate 13,KA13_Kristian_Augusts_gate_13_Oslo.md
Kamikatsu Zero Waste Center / Hotel WHY,Kamikatsu_Zero_Waste_Center_Hotel_Why,1,1,Kamikatsu Zero Waste Center / Hotel WHY,Kamikatsu_Zero_Waste_Center_Hotel_WHY.md
Umbau Kindergarten Mööslistrasse / Kindergarten Manegg,Umbau_Kindergarten_Moeoeslistrasse_Kindergarten_Manegg,1,1,Umbau Kindergarten Mööslistrasse / Kindergarten Manegg,Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md
Liander / Alliander HQ Duiven,Liander_Alliander_Hq_Duiven,1,1,Liander / Alliander HQ Duiven,Liander_Alliander_HQ_Duiven.md
Lo-Reninge Town Hall façade / Stadhuis Lo,Lo_Reninge_Town_Hall_Fa_Ade_Stadhuis_Lo,1,1,Lo-Reninge Town Hall façade / Stadhuis Lo,Lo_Reninge_Town_Hall_Facade.md
