canonical_name,node_id,n_files,n_variants,variants,files
Pilotprojekt zur Wiederverwendung von WBS70-Platten,Pilotprojekt_Zur_Wiederverwendung_Von_Wbs70_Platten,2,2,Pilotprojekt zur Wiederverwendung von WBS70-Platten; Wiederverwendung von WBS70-Platten im Wohnhaus,Berlin_Schildow_Pilot_House.md; Mehrow_Pilot_House.md
Hobelwerk_Winterthur,Hobelwerk_Winterthur,2,1,Hobelwerk_Winterthur,Altes_Hobelwerk_Winterthur.md; Hobelwerk_Haus_D_Oberwinterthur.md
Volta_Nord,Volta_Nord,2,1,Volta_Nord,ELYS_Kultur_und_Gewerbehaus_Basel_Lysbuechelareal.md; LysP8_Basel_Lysbuechelareal.md
Retrofit + Extension zu Arbeitsplatznutzung,Retrofit_Extension_Zu_Arbeitsplatznutzung,1,1,Retrofit + Extension zu Arbeitsplatznutzung,55_Great_Suffolk_Street_London.md
Neubau aus wiederverwendeten Betonfertigteilen,Neubau_Aus_Wiederverwendeten_Betonfertigteilen,1,1,Neubau aus wiederverwendeten Betonfertigteilen,Association_house_Groeditz.md
Neubau mit gebrauchten Betonfertigteilen,Neubau_Mit_Gebrauchten_Betonfertigteilen,1,1,Neubau mit gebrauchten Betonfertigteilen,Association_house_Plauen.md
moderne Arbeitswelt aus gebrauchten Materialien,Moderne_Arbeitswelt_Aus_Gebrauchten_Materialien,1,1,moderne Arbeitswelt aus gebrauchten Materialien,AWM_Muenster_Circular_Office.md
Beddington Zero Energy Development,Beddington_Zero_Energy_Development,1,1,Beddington Zero Energy Development,BedZED_London_Hackbridge.md
Schildow-Pilot / Wiederverwendung WBS70,Schildow_Pilot_Wiederverwendung_Wbs70,1,1,Schildow-Pilot / Wiederverwendung WBS70,Berlin_Schildow_Pilot_House_2.md
Wiederverwendung von Paneelen aus Olympiadorf-Bungalows,Wiederverwendung_Von_Paneelen_Aus_Olympiadorf_Bungalows,1,1,Wiederverwendung von Paneelen aus Olympiadorf-Bungalows,Bestandverplanzung_Pavilion_Muenchen.md
Wiederverwendung von Big-Dig-Infrastrukturmaterialien,Wiederverwendung_Von_Big_Dig_Infrastrukturmaterialien,1,1,Wiederverwendung von Big-Dig-Infrastrukturmaterialien,Big_Dig_Building_Boston.md
Reuse of Big Dig steel and concrete,Reuse_Of_Big_Dig_Steel_And_Concrete,1,1,Reuse of Big Dig steel and concrete,Big_Dig_House_Lexington_Massachusetts.md
"BioPartner Center Leiden, fünftes Gebäude",Biopartner_Center_Leiden_Fuenftes_Gebaeude,1,1,"BioPartner Center Leiden, fünftes Gebäude",BioPartner_5_Leiden_Oegstgeest.md
Büroflügel im ehemaligen Discobereich,Buerofluegel_Im_Ehemaligen_Discobereich,1,1,Büroflügel im ehemaligen Discobereich,BlueCity_Offices_Rotterdam.md
New Boulder Fire-Rescue Station 3,New_Boulder_Fire_Rescue_Station_3,1,2,New Boulder Fire-Rescue Station 3; City of Boulder,Boulder_Fire_Station_3.md
80 MVA Substation für Brent Cross Town,80_Mva_Substation_Fuer_Brent_Cross_Town,1,1,80 MVA Substation für Brent Cross Town,Brent_Cross_Town_Primary_Substation_London.md
Gebäude aus über 85 % Abfall-/Überschussmaterial,Gebaeude_Aus_Ueber_85_Abfall_Ueberschussmaterial,1,1,Gebäude aus über 85 % Abfall-/Überschussmaterial,Brighton_Waste_House_Brighton.md
Wiederverwendung von P2-Plattenbauteilen,Wiederverwendung_Von_P2_Plattenbauteilen,1,1,Wiederverwendung von P2-Plattenbauteilen,Broethen_Twin_House_Hoyerswerda.md
UCL Circular Economy Lab + UK CLT Pilot,Ucl_Circular_Economy_Lab_Uk_Clt_Pilot,1,1,UCL Circular Economy Lab + UK CLT Pilot,CascadeUp_London_secondary_timber_glulam_demonstrator.md
Umnutzung zu kommunaler Verwaltungsstelle,Umnutzung_Zu_Kommunaler_Verwaltungsstelle,1,1,Umnutzung zu kommunaler Verwaltungsstelle,Charles_Malis_Molenbeek.md
Neubau/Extension + Renovation-Kontext,Neubau_Extension_Renovation_Kontext,1,1,Neubau/Extension + Renovation-Kontext,Chiro_d_Itterbeek_Dilbeek.md
Demontage und Wiederaufbau des gesamten Ensembles,Demontage_Und_Wiederaufbau_Des_Gesamten_Ensembles,1,1,Demontage und Wiederaufbau des gesamten Ensembles,Christ_Pavilion_Volkenroda.md
Kultur-/Ausstellungs-/Debattenpavillon,Kultur_Ausstellungs_Debattenpavillon,1,1,Kultur-/Ausstellungs-/Debattenpavillon,Circular_Pavilion_Paris.md
"Umbau, Aufstockung und Impact Hub-Ausbau",Umbau_Aufstockung_Und_Impact_Hub_Ausbau,1,1,"Umbau, Aufstockung und Impact Hub-Ausbau",CRCLR_House_Impact_Hub_Berlin.md
Umnutzung zu Kultur- und Gewerbehaus,Umnutzung_Zu_Kultur_Und_Gewerbehaus,1,1,Umnutzung zu Kultur- und Gewerbehaus,ELYS_Kultur_Gewerbehaus_Basel.md
