entity_type,total_rows,unique_values,knoten_kandidaten_n>=3
Abbruchmethode,20,20,0
Akteur,243,227,3
Architekt,12,11,0
As-built-Verifikation,1,1,0
As-found-Komponente,1,1,0
Aufbereitungsmethode,25,25,0
Ausgleichsschicht,1,1,0
Auszeichnung,1,1,0
Bauherr,21,20,0
Bauherr / Akteur,1,1,0
Bauteil,232,225,1
Bauteil-Archiv / Herkunftsmix,1,1,0
Bauteil-Ernte,1,1,0
Bauteilboerse,11,10,0
Bauteilernte,1,1,0
Bauteiljagd-Team,1,1,0
Bauteiljäger / component hunting,1,1,0
Bauteiljäger*in,1,1,0
Bauteilkatalog / Bauteilpass,1,1,0
Bauteilpool öffentlicher Bestand,1,1,0
Bauteilzuschnitt,2,2,0
Bericht,5,5,0
Bericht / Dokument,1,1,0
Bestandserhalt-Abzug,1,1,0
Bestandserhalt-Anteil,1,1,0
Bestandserhalt-Ausschluss,1,1,0
Bestandserhalt-Warnung,1,1,0
Bestandsintegration-Denkmal,1,1,0
Betriebs-Reuse-System,1,1,0
Betriebszirkularität,1,1,0
Bewohner-Selbstbau / Selbstwerkzaamheid,1,1,0
Bildungs-/Lehrbaustelle,1,1,0
Bildungs-/Partizipationsbezug,1,1,0
Bio-/Geo-/Reuse-Hybrid,1,1,0
Brandereignis,1,1,0
CCTP-Variante / „CCTP à trous“,1,1,0
CO₂-Budget / Paris-Proof-Bilanz,1,1,0
Campus-interner Kreislauf,1,1,0
Circular Workplace,1,1,0
Circular building site,1,1,0
Datenmodell,9,9,0
Dauerhafte Außenruine,1,1,0
Deconstruction Ordinance,1,1,0
Demonstrator-Station,1,1,0
Design-Build-Reuse,1,1,0
Donor Building,2,2,0
Donor Building unbekannt,1,1,0
Donor-/Empfängerquartier,1,1,0
Donor-Gebäude,3,3,0
Donor-Gebäudegruppe,1,1,0
Donor-Industrie,1,1,0
Donor-Infrastruktur,1,1,0
Donor-Projekt,2,2,0
Donor-Receiver-Kette,1,1,0
Donor-Site-Stahl,1,1,0
Donorgebäude,2,2,0
Donorgebäude-Serie,1,1,0
Donorskelet,1,1,0
Donorstruktur,1,1,0
Doppellisteneintrag,1,1,0
Embodied-Carbon-Wertekonflikt,1,1,0
