seed_node,kategorie,definition,n_files,n_raw_values,raw_values
Madaster_Materialpass,Materialpass,Madaster-basierter Materialpass.,2,2,Material Passport / Turntoo/Madaster-Kontext möglich (n=1); Madaster Material Passport / Building Circularity Passport (n=1)
Bauteilpass,Materialpass,Bauteilbezogener Pass mit Stammdaten und Historie.,0,0,
Concular_Datenmodell,Materialpass,Concular-basiertes Materialdatenmodell.,0,0,
Datenluecke,Datenluecke,Datenlücke — Wert nicht angegeben oder unbekannt.,0,0,
IFC_BIM,BIM,IFC / openBIM-basierte Datenmodelle.,0,0,
Klassifikation_System,Klassifikation,"Bauteil-Klassifikationssysteme (Uniclass, Omniclass, eCl@ss).",0,0,
Materialenpaspoort_NL,Materialpass,Niederländisches Materialenpaspoort.,0,0,
Ontologie_RDF,Klassifikation,Bauwerks-/Reuse-Ontologie (RDF/OWL/SPARQL).,0,0,
Produktpass,Sonstiges,Generischer Produkt- oder Bauteilpass.,0,0,
Qualitaetsbericht_ReCreate,Sonstiges,ReCreate-Projekt-Qualitätsbericht für Beton-Reuse.,0,0,
Rueckbaukataster_Modell,Inventar,Datenmodell für strukturiertes Rückbaukataster.,0,0,
