seed_node,kategorie,definition,n_files,n_raw_values,raw_values
CO2_Reduktion_absolut,Klima,CO₂-Reduktion absolut in t/kg CO₂e.,19,20,"ca. 50 t CO₂ (n=1); 13,32 t CO₂e / 82 % (n=1); 60 t CO₂ Einsparung (n=1); 66 t / 99.2 t CO₂e saving (n=1); 4.572,702786 kg CO₂ vermieden (n=1); 17.000 t Material, 12.000 t Beton, 3.500 t CO₂, 92 % Reuse (n=1); 91 t CO₂ durch Wiederverwendung vermieden (n=1); 7.000 t CO₂e durch Erhalt der Tragstruktur (n=1); 24–25 t reused steel; 35/45/60 t CO₂-Einsparung je Quelle (n=1); 48 t CO₂ (n=1); fast 600 t CO₂ / gut 40% Reduktion (n=1); 2,6 → 1,9 kg CO₂e/m²a (n=1); 458–792 t CO₂e Einsparung (n=1); 175.78 t CO₂ diverted from landfill (n=1); ca. 100 t CO₂ gebunden (n=1); 69,22 t CO₂e vermieden (n=1); 30 t Stahl / 74 t CO₂e Einsparung (n=1); 6.278 t Materialeinsparung / 178 t CO₂ (n=1); CO₂-Einsparung reused steel 216 oder 276 tCO₂e (n=1); 130.096 kg CO₂e footprint / 170.534 kg waste saved (n=1)"
CO2_Reduktion_prozent,Klima,CO₂-Reduktion in Prozent gegenüber Vergleichsmodell.,8,9,"386 kgCO₂e/m² A1-A5 (n=1); 68 % CO₂-Reduktion (n=1); 59 % CO₂-Reduktion / 494 t CO₂ (n=1); CO₂-/Materialeinsparungen publiziert, aber hier nicht gesichert (n=1); bis 88 % CO₂-Reduktion gegenüber Neubau (n=1); 32 % CO₂-Reduktion bei Materialien (n=1); 45 % CO₂-Einsparung über 50 Jahre inkl. Betrieb (n=1); 90 % CO₂-Reduktion für Konstruktion und Fassade (n=1); 70 % CO₂-Einsparung gegenüber aktuellem Baustandard (n=1)"
Datenluecke,Datenluecke,Datenlücke — Wert nicht angegeben oder unbekannt.,4,3,"unbekannt (n=2); BREEAM / Energiekennwerte publiziert, Direct-Reuse-Mengen unbekannt (n=1); −71 % Global Warming Potential gegenüber Recyclingbeton-Alternative; −74 % gegenüber Stahl-Alternative; +9 % gegenüber Holz-Alternative (n=1)"
Embodied_Carbon,Klima,Embodied Carbon kg CO₂e/m².,3,4,248 kg CO₂-eq/m² embodied carbon (n=1); ca. 40 % Reduktion embodied carbon (n=1); 75.4 % embodied carbon reduction (n=1); 30–50% embodied-carbon reduction (n=1)
Lebensdauer_Jahre,Sonstiges,Erwartete Lebensdauer / Restnutzungsdauer in Jahren.,1,1,mindestens 50 Jahre Nutzungsdauer (n=1)
Wiederverwendete_Masse,Material,Wiederverwendete Masse in t / kg.,1,1,25 tons reused structural steel (n=1)
Wiederverwendungsrate_Gewicht,Reuse_Rate,Wiederverwendungsrate nach Gewicht (% kg).,1,1,14 % Wiederverwendungsrate nach Gewicht (n=1)
Wiederverwendungsrate_Volumen,Reuse_Rate,Wiederverwendungsrate nach Volumen (% m³).,1,1,41 % Wiederverwendungsrate nach Volumen (n=1)
Anzahl_Bauteile,Stueckzahl,Anzahl wiederverwendeter Bauteile.,0,0,
Bauzeit,Zeit,Bauzeit / Bauablauf in Monaten oder als Beschleunigung.,0,0,
Eingespartes_Primaermaterial,Material,Eingespartes Primärmaterial in t / kg / m³.,0,0,
Kosten_absolut,Wirtschaft,Bau- oder Reuse-Kosten absolut in EUR / EUR/m².,0,0,
Kostenersparnis_prozent,Wirtschaft,Kostenersparnis in % gegenüber Vergleichsneubau.,0,0,
Transportdistanz,Logistik,Transportdistanz Donor → Empfänger in km/m.,0,0,
U_Wert,Bauphysik,Wärmedurchgangskoeffizient U-Wert (W/m²K).,0,0,
