seed_node,kategorie,definition,n_files,n_raw_values,raw_values
Datenluecke,Datenluecke,Datenlücke — Wert nicht angegeben oder unbekannt.,19,3,unbekannt (n=19); unbekannt / pre-1970s protocol gap (n=1); Conservation Area / listed context near Tower Bridge (n=1)
Zulassung_im_Einzelfall,Konformität,Werkszeugnis / EN 10204 / Konformitätserklärung als rechtliche Grundlage.,1,1,Bauordnung/Zulassung (n=1)
Bauordnungsrecht,,,0,0,
Brandschutzanforderung,,,0,0,
DIN_18940,Norm_Sonstige,DIN 18940 — Lehmbaustoffe.,0,0,
DIN_EN_15804,,,0,0,
DIN_EN_15978,,,0,0,
EN_15804,,,0,0,
EU_Taxonomie,,,0,0,
F90,,,0,0,
Feuerwiderstand,,,0,0,
Gewaehrleistung,,,0,0,
ISO_14040,,,0,0,
ISO_14044,,,0,0,
ISO_20887,,,0,0,
Produkthaftung,,,0,0,
R90,,,0,0,
REI90,,,0,0,
Vergaberecht,,,0,0,
Wiederverwendungskriterien,,,0,0,
