seed_node,kategorie,definition,n_files,n_raw_values,raw_values
Rueckbau,Ausführung,Rückbau / Demontage als Prozessphase.,5,5,"Rückbau, Transport, Wiedereinbau (n=1); Rückbau Herbst 2023, Einbau Oktober/Herbst 2024 (n=1); Umbau, Rückbau, Aufbereitung, Wiedereinbau (n=1); Rückbau 2023, Refurbishment, Einbau 2025 (n=1); Materialinventar / selektiver Rückbau (n=1)"
Wiedereinbau,Ausführung,Wiedereinbau / Montage als Prozessphase.,3,3,"Rückbau, Transport, Wiedereinbau (n=1); Umbau, Rückbau, Aufbereitung, Wiedereinbau (n=1); Demontage / Remanufacturing / Wiedereinbau (n=1)"
Aufbereitung,Verarbeitung,Aufbereitung / Refurbishment als Prozessphase.,1,1,"Umbau, Rückbau, Aufbereitung, Wiedereinbau (n=1)"
Ausschreibung,,,1,1,Beschaffung / Ausschreibung (n=1)
Bestandserfassung,Vorbereitung,"Erfassung des Bestandes (Vermessung, Dokumentation, Materialinventar).",0,0,
Betrieb_und_Rueckbauplanung,Betrieb,Betrieb / Monitoring nach Inbetriebnahme.,0,0,
Datenluecke,Datenluecke,Datenlücke — Wert nicht angegeben oder unbekannt.,0,0,
Entwurf,Planung,Planungs-/Entwurfsphase mit Reuse-Spezifika.,0,0,
Lagerung,Logistik,Lagerung als Prozessphase.,0,0,
Transport,Logistik,Transport als Prozessphase.,0,0,
