seed_node,kategorie,definition,n_files,n_raw_values,raw_values
Datenluecke,Datenluecke,Datenlücke — Wert nicht angegeben oder unbekannt.,17,3,unbekannt (n=15); unbekannt / IEMB-Forschungskontext (n=1); Werksprüfungen; Anforderungen klar erfüllt (n=1)
Brandschutzpruefung,Bauphysik,Brandschutzprüfung für Reuse-Bauteile.,2,2,"fire testing, acoustics, insurance, vibration performance at scale (n=1); Full-scale fire tests / DBI-Tests (n=1)"
Festigkeitspruefung,Statik,Prüfung der mechanischen Festigkeit.,2,2,"Festigkeitstests / Belastungs-, Schneid-, Bohrversuche im IEMB-Kontext (n=1); Belastungs-/Festigkeitsprüfung allgemein im IEMB-Kontext (n=1)"
Materialpruefung_Stahl,Material,"Zugversuch, Schweißbarkeitsprüfung, Werkszeugnis-Ersatz für Reuse-Stahl.",2,2,"Zugversuche, chemische Analyse, Schweißbarkeit, Korrosionsschutz (n=1); Zugversuche / chemische Analysen für Stahl (n=1)"
Lasttest,Statik,Belastungstest am Bauteil (in-situ oder im Labor).,1,1,Laborversuche / mechanische Prüfung (n=1)
Massaufnahme,Geometrisch,Geometrische Vermessung des Donor-Bauteils.,1,1,"Vermessung, Inventarisierung, Katalogisierung (n=1)"
Sichtpruefung,Visuell,Visuelle Inspektion vor Wiedereinbau.,1,1,"Sichtprüfung, Herstellungsdatum, Zustand, vorhandene Verbindungen, Fabrikationseignung (n=1)"
CE_Kennzeichnung_Problem,Konformität,Probleme mit CE-Kennzeichnung für Gebrauchtbauteile.,0,0,
Hygiene_Dichtheitspruefung,Sonstiges,"Dichtheits-, Hygiene-, Legionellen-Prüfung (Sanitärobjekte).",0,0,
Materialpruefung_Beton,Material,"Druckfestigkeit, Karbonatisierung, Bewehrungsortung, Chloridgehalt.",0,0,
Materialpruefung_Holz,Material,"Festigkeitssortierung, Holzfeuchtemessung, Klebfugenbewertung.",0,0,
Pruefdossier,Dokumentation,Dokumentationsmappe aller Prüfungen.,0,0,
Schadstoffpruefung,Schadstoff,"Asbest-, PCB-, Blei-, sonstige Schadstoff-Screening.",0,0,
Tragwerksnachweis,Statik,"Statischer Nachweis für Wiederverwendung (Lastansatz, Bemessung).",0,0,
Zustandsbewertung,Visuell,Systematische Bewertung des Bauteilzustands.,0,0,
