seed_node,kategorie,definition,n_files,n_raw_values,raw_values
Tragend_Bauteil_Wiederverwendung,Reuse_Niveau,"Einzelne tragende Bauteile (Träger, Stützen, Hohlkörperdecken) ex-situ in neue Tragstruktur integriert.",30,18,ex-situ Bauteilwiederverwendung (n=10); Ex-situ Bauteilwiederverwendung (n=2); ex-situ Bauteilwiederverwendung; Zuschnitt; Remontage (n=2); Bauteilwiederverwendung / Materialwiederverwendung (n=2); ex-situ / Gebäudeversetzung / Bauteilwiederverwendung (n=1); ex-situ; Infrastruktur-zu-Gebäude; Bauteilwiederverwendung (n=1); adaptive reuse + begrenzte Bauteilwiederverwendung (n=1); Bauteilwiederverwendung + in-situ Transformation + adaptive reuse (n=1); Ex-situ auf demselben Standort / Bauteilwiederverwendung (n=1); ex-situ Remontage (n=1); ex-situ Bauteilwiederverwendung / salvaged structural steel (n=1); ex-situ Bauteilwiederverwendung / strukturelle Wiederverwendung geplant (n=1); Bauteilwiederverwendung + Recyclingmaterial + recyclinggerechte Konstruktion (n=1); Ex-situ Wiederverwendung einer Hallenstruktur (n=1); Bauteilwiederverwendung + Materialwiederverwendung (n=1); ex-situ Bauteilwiederverwendung von Stahl + Bestandserhalt + DfD (n=1); in-situ transformiert / Bauteilwiederverwendung (n=1); Bauteilwiederverwendung + adaptive reuse (n=1)
Material_Wiederverwendung,Reuse_Niveau,"Material (nicht Bauteil) wiederverwendet — Sekundärrohstoff, Zerlegung in Material.",10,9,"Bauteilwiederverwendung / Materialwiederverwendung (n=2); Material- und Bauteilwiederverwendung (n=1); Bauteil- und Materialwiederverwendung (n=1); adaptive reuse + partielle Bauteil-/Materialwiederverwendung (n=1); ex-situ Bauteil-/Materialwiederverwendung in Gebäudehülle (n=1); partielle Bauteil- und Materialwiederverwendung (n=1); Bauteilwiederverwendung + Materialwiederverwendung (n=1); Bauteil- und Materialwiederverwendung, temporärer demontabler Neubau (n=1); Oogsten / material harvesting, bauen mit Restmaterialien (n=1)"
Huelle_Bauteil_Wiederverwendung,Reuse_Niveau,"Fenster, Fassadenelemente, Klinker/Backstein, Dämmung in neuer Hülle wiederverwendet.",4,4,partielle Hüllbauteil-Wiederverwendung (n=1); ex-situ Bauteil-/Materialwiederverwendung in Gebäudehülle (n=1); ex-situ Wiederverwendung von Ziegeln in Fassade (n=1); Ziegelwand-Module aus Rückbau (n=1)
Tragwerk_Wiederverwendung_Gesamt,Reuse_Niveau,Komplettes Donor-Tragwerk wird als zusammenhängendes System wiedereingebaut (Donorskelet).,3,3,Donorskelet / ex-situ structural reuse (n=1); Ex-situ steel reuse + in-project self-reuse (n=1); Großmaßstäbliche Bauteilwiederverwendung + Transformation (n=1)
Gebaeudeversetzung_Translokation,Reuse_Niveau,Ganzes Gebäude an neuem Standort wieder errichtet.,2,2,ex-situ / Gebäudeversetzung / Bauteilwiederverwendung (n=1); Gebäudeversetzung / komplett / ex-situ (n=1)
Adaptive_Reuse_Bestand,Reuse_Niveau,Bestand wird angepasst weitergenutzt; oft kombiniert mit Bauteilwiederverwendung.,1,1,Bauteilwiederverwendung + in-situ Transformation + adaptive reuse (n=1)
Datenluecke,Datenluecke,Datenlücke — Wert nicht angegeben oder unbekannt.,1,1,on-site selective deconstruction and reuse (n=1)
Innenausbau_Wiederverwendung,Reuse_Niveau,"Innentüren, Bodenbelag, Trennwände, Geländer wiederverwendet.",1,1,circular fit-out / reuse-first (n=1)
Remanufacturing,Reuse_Niveau,"Material wird zerlegt und in neues Bauteil refabriziert (Sekundärholz → Glulam, Mauerwerksbruch → neuer Mörtel).",0,0,
TGA_Wiederverwendung,Reuse_Niveau,"Sanitärobjekte, Leuchten, Heizkörper, Lüftungstechnik wiederverwendet.",0,0,
