seed_node,kategorie,definition,n_files,n_raw_values,raw_values
Datenluecke,Datenluecke,Datenlücke — Wert nicht angegeben oder unbekannt.,3,2,unbekannt (n=2); WBS70-Knoten / neue Anschlüsse unbekannt (n=1)
Anschlussdetail_Toleranz,Sonstiges,Anschlussdetails mit Toleranzausgleich für Reuse-Bauteile.,2,2,Ziegelschicht zum Höhenausgleich; überlappende Fassaden-Fertigteile (n=1); Anschlussdetails mit Toleranzen für verschiedene Profile (n=1)
Holz_Stabduebel,Reversibel,"Holzverbindung mit Stahlstabdübeln, Holzdübeln, Schrauben.",1,1,Stahllaschen und Bolzen; reversible Stahl-/Dübelverbindungen (n=1)
Reversible_Verbindung,Reversibel,Allgemein für reversible Fügung (DfD-konform).,1,1,reversible joints / non-composite structural design (n=1)
Stahlbau_Schweissverbindung,Permanent,Geschweißte Stahlverbindung — irreversibel.,1,1,geschweißt (n=1)
Geklemmte_Verbindung,Reversibel,Klemmverbindung über Kraftschluss.,0,0,
Gesteckte_Verbindung,Reversibel,"Steckverbindung — reversibel, ohne Werkzeug.",0,0,
Holz_Stahl_Anschluss,Hybrid,Hybrid-Verbindung Holz an Stahlbauteil.,0,0,
Klebeverbindung,Permanent,"Geklebte Verbindung (BSH-Klebfuge, Klebstoff, Verleimung).",0,0,
Moertelfuge,Permanent,Mörtelfuge zwischen Mauerwerksbauteilen.,0,0,
Moertelverbund,Permanent,"Mörtelverbund / Bettung (Mauerwerk, Klinker).",0,0,
Schraubverbindung,Reversibel,"Geschraubte Verbindung — reversibel, demontierbar.",0,0,
