seed_node,kategorie,definition,n_files,n_raw_values,raw_values
Datenluecke,Datenluecke,Datenlücke — Wert nicht angegeben oder unbekannt.,13,1,unbekannt (n=13)
Aufbereitungskosten,Kosten,Kosten der Bauteilaufbereitung.,0,0,
Bauteilboerse_Beschaffung,Beschaffung,Beschaffung über Bauteilbörse / Marktplatz / Online-Plattform.,0,0,
Direktbeschaffung_vom_Donor,Beschaffung,Direkte Beschaffung von einem benannten Donor-Gebäude/Akteur ohne Marktplatz.,0,0,
Free_Issue_Material,Beschaffung,Bauteile werden als Free-Issue/Donation gestellt.,0,0,
Kostenersparnis_Material,Kosten,Materialkosten sinken durch Reuse.,0,0,
Kostenmehraufwand_Arbeit,Kosten,"Höhere Arbeitskosten (Suche, Prüfung, Aufbereitung).",0,0,
Kostenparitaet_Neubau,Kosten,Kosten vergleichbar mit Standard-Neubau.,0,0,
Lagerkosten,Kosten,Lagerhaltungskosten für zwischengelagerte Reuse-Bauteile.,0,0,
Marktbarriere_Illiquid,Markt,Markt für Reuse-Bauteile illiquide oder fragmentiert.,0,0,
Procurement_Reuse_Modell,Beschaffung,"Spezialisiertes Beschaffungsmodell für Reuse (CCTP-Variante, Lot-Réemploi).",0,0,
Rueckbaukosten,Kosten,Kosten des selektiven Rückbaus.,0,0,
Vergabe_Reuse,Beschaffung,Vergabeverfahren mit Reuse-Komponenten.,0,0,
Versicherung_Gewaehrleistung_Modell,Risiko,Versicherungs- oder Gewährleistungsmodell für Reuse-Bauteile.,0,0,
Zeitwirkung,Zeit,Zeitliche Auswirkung von Reuse auf den Bauablauf.,0,0,
