file,entity_type,seed_node
55_Great_Suffolk_Street_London.md,Abbruchmethode,Demontage
55_Great_Suffolk_Street_London.md,Aufbereitungsmethode,Datenluecke
55_Great_Suffolk_Street_London.md,Bauteil,Traeger
55_Great_Suffolk_Street_London.md,Huerde,Verfuegbarkeitsproblem
55_Great_Suffolk_Street_London.md,Kennwert,CO2_Einsparung
55_Great_Suffolk_Street_London.md,Leistungsanforderung,Tragfaehigkeit
55_Great_Suffolk_Street_London.md,Logistik,Lagerung
55_Great_Suffolk_Street_London.md,Material,Sekundaerstahl
55_Great_Suffolk_Street_London.md,Material,Stahl
55_Great_Suffolk_Street_London.md,Methode,Urban_Mining
55_Great_Suffolk_Street_London.md,Reuse_Strategie,Direkte_Wiederverwendung
55_Great_Suffolk_Street_London.md,Schadstoff,Datenluecke
AWM_Muenster_Circular_Office.md,Bauteil,Feuerschutztuer
AWM_Muenster_Circular_Office.md,Bauteil,Wand
AWM_Muenster_Circular_Office.md,Kennwert,CO2_Einsparung
AWM_Muenster_Circular_Office.md,Material,Stroh
AWM_Muenster_Circular_Office.md,Methode,Form_Follows_Availability
Altes_Hobelwerk_Winterthur.md,Methode,Design_for_Disassembly
Areal_Walkeweg_Nord.md,Bauteil,Betonfertigteil
Areal_Walkeweg_Nord.md,Material,Beton
Areal_Walkeweg_Nord.md,Methode,Bauteilkatalogisierung
Areal_Walkeweg_Nord.md,Tragwerkssystem,Betonfertigteil_System
Areal_Walkeweg_Nord.md,Tragwerkssystem,Holz_Skelettbau
Areal_Walkeweg_Nord.md,Tragwerkssystem,Stahl_Skelettbau
Association_house_Groeditz.md,Abbruchmethode,Selektiver_Rueckbau
Association_house_Groeditz.md,Aufbereitungsmethode,Datenluecke
Association_house_Groeditz.md,Bauteil,Betonfertigteil
Association_house_Groeditz.md,Bauteil,Wand
Association_house_Groeditz.md,Huerde,Toleranzen
Association_house_Groeditz.md,Logistik,Transport
Association_house_Groeditz.md,Material,Beton
Association_house_Groeditz.md,Pruefung,Datenluecke
Association_house_Groeditz.md,Reuse_Strategie,Direkte_Wiederverwendung
Association_house_Groeditz.md,Tragwerkssystem,Betonfertigteil_System
Association_house_Groeditz.md,Tragwerkssystem,Tragende_Wand
Association_house_Groeditz.md,Wirtschaft,Datenluecke
Association_house_Plauen.md,Abbruchmethode,Selektiver_Rueckbau
Association_house_Plauen.md,Aufbereitungsmethode,Datenluecke
Association_house_Plauen.md,Bauteil,Wand
Association_house_Plauen.md,Huerde,Gewaehrleistung
Association_house_Plauen.md,Logistik,Transport
Association_house_Plauen.md,Material,Beton
Association_house_Plauen.md,Norm_Recht,Datenluecke
Association_house_Plauen.md,Pruefung,Datenluecke
Association_house_Plauen.md,Reuse_Strategie,Direkte_Wiederverwendung
Association_house_Plauen.md,Tragwerkssystem,Betonfertigteil_System
Association_house_Plauen.md,Tragwerkssystem,Tragende_Wand
Association_house_Plauen.md,Wirtschaft,Datenluecke
BOELL_LAB_Berlin.md,Material,Holz
BOELL_LAB_Berlin.md,Material,Holz_Verbindungen
BOELL_LAB_Berlin.md,Material,Recyclingbeton
BOELL_LAB_Berlin.md,Methode,Design_for_Disassembly
BOELL_LAB_Berlin.md,Tragwerkssystem,Holz_Skelettbau
BedZED_London_Hackbridge.md,Bauteil,Feuerschutztuer
BedZED_London_Hackbridge.md,Huerde,Terminunsicherheit
BedZED_London_Hackbridge.md,Huerde,Verfuegbarkeitsproblem
BedZED_London_Hackbridge.md,Material,Glas
BedZED_London_Hackbridge.md,Material,Holz
BedZED_London_Hackbridge.md,Material,Holz_Verbindungen
BedZED_London_Hackbridge.md,Material,Sekundaerstahl
BedZED_London_Hackbridge.md,Material,Stahl
BedZED_London_Hackbridge.md,Material,Stahl_Verbindungen
BedZED_London_Hackbridge.md,Pruefung,Sichtpruefung
BedZED_London_Hackbridge.md,Reuse_Strategie,Direkte_Wiederverwendung
Berlin_Schildow_Pilot_House.md,Bauteil,Wand
Berlin_Schildow_Pilot_House.md,Logistik,Transport
Berlin_Schildow_Pilot_House.md,Material,Beton
Berlin_Schildow_Pilot_House.md,Norm_Recht,Datenluecke
Berlin_Schildow_Pilot_House.md,Pruefung,Zugversuch
Berlin_Schildow_Pilot_House.md,Reuse_Strategie,Direkte_Wiederverwendung
Berlin_Schildow_Pilot_House.md,Verbindung,Datenluecke
Berlin_Schildow_Pilot_House_2.md,Abbruchmethode,Selektiver_Rueckbau
Berlin_Schildow_Pilot_House_2.md,Bauteil,Wand
Berlin_Schildow_Pilot_House_2.md,Logistik,Transport
Berlin_Schildow_Pilot_House_2.md,Material,Beton
Berlin_Schildow_Pilot_House_2.md,Norm_Recht,Datenluecke
Berlin_Schildow_Pilot_House_2.md,Pruefung,Zugversuch
Berlin_Schildow_Pilot_House_2.md,Reuse_Strategie,Direkte_Wiederverwendung
Bestandshalle_CRCLR_House.md,Material,Holz
Bestandshalle_CRCLR_House.md,Material,Holz_Verbindungen
Bestandshalle_CRCLR_House.md,Material,Stroh
Bestandshalle_CRCLR_House.md,Methode,Design_for_Disassembly
Bestandshalle_CRCLR_House.md,Methode,Materialpass
Bestandshalle_CRCLR_House.md,Tragwerkssystem,Aufstockung_in_Holzbauweise
Bestandverplanzung_Pavilion_Muenchen.md,Bauteil,Betonfertigteil
Bestandverplanzung_Pavilion_Muenchen.md,Material,Beton
Bestandverplanzung_Pavilion_Muenchen.md,Norm_Recht,Datenluecke
Bestandverplanzung_Pavilion_Muenchen.md,Prozessphase,Rueckbau
Bestandverplanzung_Pavilion_Muenchen.md,Prozessphase,Wiedereinbau
Bestandverplanzung_Pavilion_Muenchen.md,Pruefung,Datenluecke
Bestandverplanzung_Pavilion_Muenchen.md,Reuse_Strategie,Direkte_Wiederverwendung
Big_Dig_Building_Boston.md,Bauteil,Traeger
Big_Dig_Building_Boston.md,Material,Beton
Big_Dig_Building_Boston.md,Material,Sekundaerstahl
Big_Dig_Building_Boston.md,Material,Stahl
Big_Dig_Building_Boston.md,Material,Stahl_Verbindungen
Big_Dig_Building_Boston.md,Methode,Building_Material_Scouting
Big_Dig_Building_Boston.md,Reuse_Strategie,Direkte_Wiederverwendung
Big_Dig_House_Lexington_Massachusetts.md,Abbruchmethode,Demontage
Big_Dig_House_Lexington_Massachusetts.md,Bauteil,Stuetze
Big_Dig_House_Lexington_Massachusetts.md,Bauteil,Traeger
Big_Dig_House_Lexington_Massachusetts.md,Logistik,Transport
Big_Dig_House_Lexington_Massachusetts.md,Material,Beton
Big_Dig_House_Lexington_Massachusetts.md,Material,Sekundaerstahl
Big_Dig_House_Lexington_Massachusetts.md,Material,Stahl
Big_Dig_House_Lexington_Massachusetts.md,Material,Stahl_Verbindungen
Big_Dig_House_Lexington_Massachusetts.md,Norm_Recht,Datenluecke
Big_Dig_House_Lexington_Massachusetts.md,Pruefung,Datenluecke
Big_Dig_House_Lexington_Massachusetts.md,Reuse_Strategie,Direkte_Wiederverwendung
Big_Dig_House_Lexington_Massachusetts.md,Schadstoff,Datenluecke
Big_Dig_House_Lexington_Massachusetts.md,Tragwerkssystem,Stahl_Skelettbau
Big_Dig_House_Lexington_Massachusetts.md,Verbindung,Datenluecke
BioPartner_5_Leiden_Oegstgeest.md,Abbruchmethode,Selektiver_Rueckbau
BioPartner_5_Leiden_Oegstgeest.md,Bauteil,Sanitaerobjekt
BioPartner_5_Leiden_Oegstgeest.md,Bauteil,Traeger
BioPartner_5_Leiden_Oegstgeest.md,Kennwert,Graue_Energie
BioPartner_5_Leiden_Oegstgeest.md,Material,Recyclingbeton
BioPartner_5_Leiden_Oegstgeest.md,Reuse_Strategie,Weiterbauen_im_Bestand
BioPartner_5_Leiden_Oegstgeest.md,Wirtschaft,Datenluecke
BlueCity_Offices_Rotterdam.md,Bauteil,Fenster
BlueCity_Offices_Rotterdam.md,Huerde,Toleranzen
BlueCity_Offices_Rotterdam.md,Kennwert,CO2_Einsparung
BlueCity_Offices_Rotterdam.md,Material,Holz
BlueCity_Offices_Rotterdam.md,Methode,Bauteilkatalogisierung
BlueCity_Offices_Rotterdam.md,Methode,Materialinventur
Boulder_Fire_Station_3.md,Abbruchmethode,Demontage
Boulder_Fire_Station_3.md,Bauteil,Traeger
Boulder_Fire_Station_3.md,Huerde,Fehlende_Datenstandards
Boulder_Fire_Station_3.md,Huerde,Fehlende_Lagerflaeche
Boulder_Fire_Station_3.md,Huerde,Fehlende_Standardisierung
Boulder_Fire_Station_3.md,Huerde,Logistikproblem
Boulder_Fire_Station_3.md,Material,Sekundaerstahl
Boulder_Fire_Station_3.md,Material,Stahl
Boulder_Fire_Station_3.md,Material,Stahl_Verbindungen
Boulder_Fire_Station_3.md,Norm_Recht,Datenluecke
Boulder_Fire_Station_3.md,Reuse_Strategie,Direkte_Wiederverwendung
Boulder_Fire_Station_3.md,Schadstoff,Datenluecke
Brent_Cross_Town_Primary_Substation_London.md,Abbruchmethode,Demontage
Brent_Cross_Town_Primary_Substation_London.md,Bauteil,Stuetze
Brent_Cross_Town_Primary_Substation_London.md,Huerde,Verfuegbarkeitsproblem
Brent_Cross_Town_Primary_Substation_London.md,Kennwert,CO2_Einsparung
Brent_Cross_Town_Primary_Substation_London.md,Logistik,Lagerflaeche
Brent_Cross_Town_Primary_Substation_London.md,Material,Sekundaerstahl
Brent_Cross_Town_Primary_Substation_London.md,Material,Stahl
Brent_Cross_Town_Primary_Substation_London.md,Reuse_Strategie,Adaptives_ReUse
Brent_Cross_Town_Primary_Substation_London.md,Schadstoff,Datenluecke
Brighton_Waste_House_Brighton.md,Huerde,Brandschutzkonflikt
Brighton_Waste_House_Brighton.md,Norm_Recht,Datenluecke
Brighton_Waste_House_Brighton.md,Reuse_Strategie,Adaptives_ReUse
Broethen_Twin_House_Hoyerswerda.md,Bauteil,Betonfertigteil
Broethen_Twin_House_Hoyerswerda.md,Bauteil,Deckenplatte
Broethen_Twin_House_Hoyerswerda.md,Bauteil,Wand
Broethen_Twin_House_Hoyerswerda.md,Material,Beton
Broethen_Twin_House_Hoyerswerda.md,Norm_Recht,Datenluecke
Broethen_Twin_House_Hoyerswerda.md,Pruefung,Datenluecke
Broethen_Twin_House_Hoyerswerda.md,Reuse_Strategie,Direkte_Wiederverwendung
CRCLR_House_Impact_Hub_Berlin.md,Bauteil,Fassade
CRCLR_House_Impact_Hub_Berlin.md,Bauteil,Fenster
CRCLR_House_Impact_Hub_Berlin.md,Bauteil,Traeger
