"source","old_relation","old_target","raw_label","existing_clean_material_edges","material_metall_decision","database_change","rationale","legacy_path"
"reuse_einsatz/AWM_Muenster_Circular_Office__003__Kabeltrassen_als_Regale","uses_material","material/Metall","Metall","","keep_review_exact_metal_unknown","none","No exact metal is known from the current clean edge set; do not import broad material/Metall.","Gebäude\AWM_Muenster_Circular_Office.md"
"reuse_einsatz/Ferme_du_Rail_Paris__009__Metallteile","uses_material","material/Metall","Metall","","keep_review_exact_metal_unknown","none","No exact metal is known from the current clean edge set; do not import broad material/Metall.","Gebäude\Ferme_du_Rail_Paris.md"
"reuse_einsatz/Grubenstrasse_29_Werkhof_29_Zuerich__009__Heizk_rper_Radiatoren","uses_material","material/Metall","Metall","","keep_review_exact_metal_unknown","none","No exact metal is known from the current clean edge set; do not import broad material/Metall.","Gebäude\Grubenstrasse_29_Werkhof_29_Zuerich.md"
"reuse_einsatz/Jeugdkliniek_Ithaka_Emergis_Kloetinge__008__Hang_und_Schlie_werk","uses_material","material/Metall","Metall","","keep_review_exact_metal_unknown","none","No exact metal is known from the current clean edge set; do not import broad material/Metall.","Gebäude\Jeugdkliniek_Ithaka_Emergis_Kloetinge.md"
"reuse_einsatz/K118_Kopfbau_Halle_118_Winterthur__005__Fassadenbleche_Profilbleche","uses_material","material/Metall","Metall","","keep_review_exact_metal_unknown","none","No exact metal is known from the current clean edge set; do not import broad material/Metall.","Gebäude\K118_Kopfbau_Halle_118_Winterthur.md"
"reuse_einsatz/KA13_Kristian_Augusts_gate_13_Oslo__006__Radiatoren","uses_material","material/Metall","Metall","","keep_review_exact_metal_unknown","none","No exact metal is known from the current clean edge set; do not import broad material/Metall.","Gebäude\KA13_Kristian_Augusts_gate_13_Oslo.md"
"reuse_einsatz/Kindergarten_Moeoeslistrasse_Manegg_Zuerich__005__Gel_nder_Br_stungsgel_nder","uses_material","material/Metall","Metall","","keep_review_exact_metal_unknown","none","No exact metal is known from the current clean edge set; do not import broad material/Metall.","Gebäude\Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md"
"reuse_einsatz/Lycee_Michel_Lucius_Conversion_Luxembourg__005__Metall_Deckenpaneele","uses_material","material/Metall","Metall","","keep_review_exact_metal_unknown","none","No exact metal is known from the current clean edge set; do not import broad material/Metall.","Gebäude\Lycee_Michel_Lucius_Conversion_Luxembourg.md"
"reuse_einsatz/Recyclinghaus_Hannover__005__Wellblech","uses_material","material/Metall","Metall","","keep_review_exact_metal_unknown","none","No exact metal is known from the current clean edge set; do not import broad material/Metall.","Gebäude\Recyclinghaus_Hannover.md"
"reuse_einsatz/Superlocal_Expogebouw_Bleijerheide__003__Heizk_rper_Radiatoren","uses_material","material/Metall","Metall","","keep_review_exact_metal_unknown","none","No exact metal is known from the current clean edge set; do not import broad material/Metall.","Gebäude\Superlocal_Expogebouw_Bleijerheide.md"
"reuse_einsatz/Superlocal_Expogebouw_Bleijerheide__007__Gel_nder","uses_material","material/Metall","Metall","","keep_review_exact_metal_unknown","none","No exact metal is known from the current clean edge set; do not import broad material/Metall.","Gebäude\Superlocal_Expogebouw_Bleijerheide.md"
"reuse_einsatz/Multi_Brussels_Reuse_in_MULTI__006__Aufzugsmotoren","uses_material","material/Metall","Metall / Technik","","keep_review_exact_metal_unknown","none","No exact metal is known from the current clean edge set; do not import broad material/Metall.","Gebäude\Multi_Brussels_Reuse_in_MULTI.md"
"reuse_einsatz/BlueCity_Offices_Rotterdam__004__Balustraden","uses_material","material/Metall","Metall / unbekannt","","keep_review_exact_metal_unknown","none","No exact metal is known from the current clean edge set; do not import broad material/Metall.","Gebäude\BlueCity_Offices_Rotterdam.md"
"reuse_einsatz/AWM_Muenster_Circular_Office__004__Kabeltrassen_und_LED_Leuchten","uses_material","material/Metall","Metall, Elektrokomponenten","","keep_review_exact_metal_unknown","none","No exact metal is known from the current clean edge set; do not import broad material/Metall.","Gebäude\AWM_Muenster_Circular_Office.md"
"reuse_einsatz/Resilience_La_Ferme_des_Possibles_Stains__008__Leuchten","uses_material","material/Metall","Metall/Elektrik","","keep_review_exact_metal_unknown","none","No exact metal is known from the current clean edge set; do not import broad material/Metall.","Gebäude\Resilience_La_Ferme_des_Possibles_Stains.md"
"reuse_einsatz/Boulder_Fire_Station_3__005__PV_Dach_gro_e_Dachfl_che","uses_material","material/Metall","Photovoltaik/Metall","","keep_review_exact_metal_unknown","none","No exact metal is known from the current clean edge set; do not import broad material/Metall.","Gebäude\Boulder_Fire_Station_3.md"
"reuse_einsatz/TRAE_High_Rise_Aarhus__004__wiederverwendete_upgecycelte_Fenster","uses_material","material/Metall","Glas/Holz/Metall","material/Glas; material/Holz","partial_exact_materials_already_imported_keep_metal_unknown","none","Other exact material parts are already imported; the metal part remains too broad.","Gebäude\TRAE_High_Rise_Aarhus.md"
"reuse_einsatz/Kamikatsu_Zero_Waste_Center_Hotel_WHY__001__Fassadenfenster","uses_material","material/Metall","Glas/Holz/Metall, gemischt","material/Glas; material/Holz","partial_exact_materials_already_imported_keep_metal_unknown","none","Other exact material parts are already imported; the metal part remains too broad.","Gebäude\Kamikatsu_Zero_Waste_Center_Hotel_WHY.md"
"reuse_einsatz/Resilience_La_Ferme_des_Possibles_Stains__007__Glast_ren","uses_material","material/Metall","Glas/Metall/Holz","material/Glas; material/Holz","partial_exact_materials_already_imported_keep_metal_unknown","none","Other exact material parts are already imported; the metal part remains too broad.","Gebäude\Resilience_La_Ferme_des_Possibles_Stains.md"
"reuse_einsatz/Grubenstrasse_29_Werkhof_29_Zuerich__007__Fenster","uses_material","material/Metall","Glas/Metall/Holz unbekannt","material/Glas; material/Holz","partial_exact_materials_already_imported_keep_metal_unknown","none","Other exact material parts are already imported; the metal part remains too broad.","Gebäude\Grubenstrasse_29_Werkhof_29_Zuerich.md"
"reuse_einsatz/K118_Kopfbau_Halle_118_Winterthur__004__Fenster","uses_material","material/Metall","Glas/Metall/Holz unbekannt","material/Glas; material/Holz","partial_exact_materials_already_imported_keep_metal_unknown","none","Other exact material parts are already imported; the metal part remains too broad.","Gebäude\K118_Kopfbau_Halle_118_Winterthur.md"
"reuse_einsatz/Woongroep_Boschgaard_Den_Bosch__009__Feste_Ausstattung_Garderobe","uses_material","material/Metall","Holz/Metall","material/Holz","partial_exact_materials_already_imported_keep_metal_unknown","none","Other exact material parts are already imported; the metal part remains too broad.","Gebäude\Woongroep_Boschgaard_Den_Bosch.md"
"reuse_einsatz/Zinneke_Feder_Masui4ever_Brussels__008__T_ren_inkl_Brandschutzt_ren","uses_material","material/Metall","Holz/Metall, unbekannt","material/Holz","partial_exact_materials_already_imported_keep_metal_unknown","none","Other exact material parts are already imported; the metal part remains too broad.","Gebäude\Zinneke_Feder_Masui4ever_Brussels.md"
"reuse_einsatz/Woongroep_Boschgaard_Den_Bosch__005__T_ren_Schiebet_ren","uses_material","material/Metall","Holz/Metall/Glas","material/Glas; material/Holz","partial_exact_materials_already_imported_keep_metal_unknown","none","Other exact material parts are already imported; the metal part remains too broad.","Gebäude\Woongroep_Boschgaard_Den_Bosch.md"
"reuse_einsatz/BedZED_London_Hackbridge__004__T_ren","uses_material","material/Metall","Holz/Metall/Glas unbekannt","material/Glas; material/Holz","partial_exact_materials_already_imported_keep_metal_unknown","none","Other exact material parts are already imported; the metal part remains too broad.","Gebäude\BedZED_London_Hackbridge.md"
"reuse_einsatz/Grubenstrasse_29_Werkhof_29_Zuerich__008__T_ren","uses_material","material/Metall","Holz/Metall/Glas unbekannt","material/Glas; material/Holz","partial_exact_materials_already_imported_keep_metal_unknown","none","Other exact material parts are already imported; the metal part remains too broad.","Gebäude\Grubenstrasse_29_Werkhof_29_Zuerich.md"
"reuse_einsatz/KA13_Kristian_Augusts_gate_13_Oslo__010__T_ren","uses_material","material/Metall","Holz/Metall/Glas unbekannt","material/Glas; material/Holz","partial_exact_materials_already_imported_keep_metal_unknown","none","Other exact material parts are already imported; the metal part remains too broad.","Gebäude\KA13_Kristian_Augusts_gate_13_Oslo.md"
"reuse_einsatz/Multi_Brussels_Reuse_in_MULTI__007__T_ren_W_nde_Einbauten","uses_material","material/Metall","Holz/Metall/sonstige","material/Holz","partial_exact_materials_already_imported_keep_metal_unknown","none","Other exact material parts are already imported; the metal part remains too broad.","Gebäude\Multi_Brussels_Reuse_in_MULTI.md"
"reuse_einsatz/Maison_des_Canaux_Paris__003__Sanit_rkeramik_Sanit_rteile","uses_material","material/Metall","Keramik / Metall","material/Keramik","partial_exact_materials_already_imported_keep_metal_unknown","none","Other exact material parts are already imported; the metal part remains too broad.","Gebäude\Maison_des_Canaux_Paris.md"
"reuse_einsatz/Chiro_d_Itterbeek_Dilbeek__008__Sanit_robjekte","uses_material","material/Metall","Keramik/Metall","material/Keramik","partial_exact_materials_already_imported_keep_metal_unknown","none","Other exact material parts are already imported; the metal part remains too broad.","Gebäude\Chiro_d_Itterbeek_Dilbeek.md"
"reuse_einsatz/Grande_Halle_de_Colombelles__003__Waschbecken_Sanit_r","uses_material","material/Metall","Keramik/Metall","material/Keramik","partial_exact_materials_already_imported_keep_metal_unknown","none","Other exact material parts are already imported; the metal part remains too broad.","Gebäude\Grande_Halle_de_Colombelles.md"
"reuse_einsatz/KA13_Kristian_Augusts_gate_13_Oslo__007__Sanit_r_Waschbecken_Toiletten","uses_material","material/Metall","Keramik/Metall","material/Keramik","partial_exact_materials_already_imported_keep_metal_unknown","none","Other exact material parts are already imported; the metal part remains too broad.","Gebäude\KA13_Kristian_Augusts_gate_13_Oslo.md"
"reuse_einsatz/Kindergarten_Moeoeslistrasse_Manegg_Zuerich__009__Sanit_rapparate_Lavabos_Toiletten","uses_material","material/Metall","Keramik/Metall","material/Keramik","partial_exact_materials_already_imported_keep_metal_unknown","none","Other exact material parts are already imported; the metal part remains too broad.","Gebäude\Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md"
"reuse_einsatz/Recyclinghaus_Hannover__010__Waschbecken_Sanit_r","uses_material","material/Metall","Keramik/Metall","material/Keramik","partial_exact_materials_already_imported_keep_metal_unknown","none","Other exact material parts are already imported; the metal part remains too broad.","Gebäude\Recyclinghaus_Hannover.md"
"reuse_einsatz/Recyclinghaus_Hannover__011__Fliesen_Kronkorken_Mosaik","uses_material","material/Metall","Keramik/Metall","material/Keramik","partial_exact_materials_already_imported_keep_metal_unknown","none","Other exact material parts are already imported; the metal part remains too broad.","Gebäude\Recyclinghaus_Hannover.md"
"reuse_einsatz/Resilience_La_Ferme_des_Possibles_Stains__010__WC_und_Handwaschbecken","uses_material","material/Metall","Keramik/Metall","material/Keramik","partial_exact_materials_already_imported_keep_metal_unknown","none","Other exact material parts are already imported; the metal part remains too broad.","Gebäude\Resilience_La_Ferme_des_Possibles_Stains.md"
"reuse_einsatz/Woongroep_Boschgaard_Den_Bosch__007__WC_Sanit_r","uses_material","material/Metall","Keramik/Metall","material/Keramik","partial_exact_materials_already_imported_keep_metal_unknown","none","Other exact material parts are already imported; the metal part remains too broad.","Gebäude\Woongroep_Boschgaard_Den_Bosch.md"
"reuse_einsatz/CRCLR_House_Impact_Hub_Berlin__005__Vorhangfassadenelemente_Blech_Glas","uses_material","material/Metall","Metall/Glas","material/Glas","partial_exact_materials_already_imported_keep_metal_unknown","none","Other exact material parts are already imported; the metal part remains too broad.","Gebäude\CRCLR_House_Impact_Hub_Berlin.md"
"reuse_einsatz/ELYS_Kultur_Gewerbehaus_Basel__007__Garagentor","uses_material","material/Metall","Metall/Glas unbekannt","material/Glas","partial_exact_materials_already_imported_keep_metal_unknown","none","Other exact material parts are already imported; the metal part remains too broad.","Gebäude\ELYS_Kultur_Gewerbehaus_Basel.md"
"reuse_einsatz/Verbiest_Karreveld_Brussels__008__Verbiest_Gel_nder","uses_material","material/Metall","Metall/Holz unbekannt","material/Holz","partial_exact_materials_already_imported_keep_metal_unknown","none","Other exact material parts are already imported; the metal part remains too broad.","Gebäude\Verbiest_Karreveld_Brussels.md"
"reuse_einsatz/KA13_Kristian_Augusts_gate_13_Oslo__008__L_ftungskan_le_ducts_and_pipes","uses_material","material/Metall","Metall/Kunststoff","material/Kunststoff","partial_exact_materials_already_imported_keep_metal_unknown","none","Other exact material parts are already imported; the metal part remains too broad.","Gebäude\KA13_Kristian_Augusts_gate_13_Oslo.md"
"reuse_einsatz/Villa_Welpeloo_Enschede__006__Regenschirmrippen_Leuchten","uses_material","material/Metall","Metall/Kunststoff","material/Kunststoff","partial_exact_materials_already_imported_keep_metal_unknown","none","Other exact material parts are already imported; the metal part remains too broad.","Gebäude\Villa_Welpeloo_Enschede.md"
"reuse_einsatz/Woongroep_Boschgaard_Den_Bosch__008__Kabelgoten_Notbeleuchtung","uses_material","material/Metall","Metall/Kunststoff/Elektro","material/Kunststoff","partial_exact_materials_already_imported_keep_metal_unknown","none","Other exact material parts are already imported; the metal part remains too broad.","Gebäude\Woongroep_Boschgaard_Den_Bosch.md"
"reuse_einsatz/Grubenstrasse_29_Werkhof_29_Zuerich__002__Dachbleche","uses_material","material/Metall","Metall/Aluminium/Stahl unbekannt","material/Aluminium; material/Stahl","resolved_by_existing_exact_material","none","Exact metal mentioned in raw label is already represented by a clean material edge.","Gebäude\Grubenstrasse_29_Werkhof_29_Zuerich.md"
"reuse_einsatz/ELYS_Kultur_Gewerbehaus_Basel__006__Gitterroste_Br_stungsgitter","uses_material","material/Metall","Stahl/Metall","material/Stahl","resolved_by_existing_exact_material","none","Exact metal mentioned in raw label is already represented by a clean material edge.","Gebäude\ELYS_Kultur_Gewerbehaus_Basel.md"
"reuse_einsatz/Svanen_Kindergarten_Gladsaxe__005__Stahlfassadenelemente_facade_panels","uses_material","material/Metall","Stahl/Metall","material/Stahl","resolved_by_existing_exact_material","none","Exact metal mentioned in raw label is already represented by a clean material edge.","Gebäude\Svanen_Kindergarten_Gladsaxe.md"
