"source","old_relation","old_target","raw_label","existing_clean_edges","tragstruktur_decision","suggested_target","suggested_relation","database_change","rationale","legacy_path"
"reuse_einsatz/ELYS_Kultur_Gewerbehaus_Basel__008__Betonhallen_Tragstruktur","has_bauteiltyp","bauteiltyp/Tragstruktur","Betonhallen / Tragstruktur","uses_material->material/Beton","candidate_existing_tragwerkstyp","tragwerkstyp/Ortbetontragwerk","has_tragwerkstyp","none","Concrete structural system; verify whether in-situ, precast, frame, or slab system.","Gebäude\ELYS_Kultur_Gewerbehaus_Basel.md"
"reuse_einsatz/Boulder_Fire_Station_3__004__Concrete_slab_on_metal_deck_composite_framing","has_bauteiltyp","bauteiltyp/Tragstruktur","Concrete slab on metal deck / composite framing","has_bauteiltyp->bauteiltyp/Platte_Paneel; uses_material->material/Beton; uses_material->material/Stahl","candidate_existing_tragwerkstyp","tragwerkstyp/Ortbetontragwerk","has_tragwerkstyp","none","Concrete structural system; verify whether in-situ, precast, frame, or slab system.","Gebäude\Boulder_Fire_Station_3.md"
"reuse_einsatz/Circular_Pavilion_Paris__003__Holzstruktur","has_bauteiltyp","bauteiltyp/Tragstruktur","Holzstruktur","uses_material->material/Holz","candidate_existing_tragwerkstyp","tragwerkstyp/Holztragwerk","has_tragwerkstyp","none","Material-derived timber structure; verify whether Holz_Skeletttragwerk is more exact.","Gebäude\Circular_Pavilion_Paris.md"
"reuse_einsatz/Lo_Reninge_Town_Hall_Facade__002__Holzstruktur","has_bauteiltyp","bauteiltyp/Tragstruktur","Holzstruktur","uses_material->material/Holz","candidate_existing_tragwerkstyp","tragwerkstyp/Holztragwerk","has_tragwerkstyp","none","Material-derived timber structure; verify whether Holz_Skeletttragwerk is more exact.","Gebäude\Lo_Reninge_Town_Hall_Facade.md"
"reuse_einsatz/Saxum_Vineyard_Equipment_Barn_Paso_Robles__004__Aussteifung","has_bauteiltyp","bauteiltyp/Tragstruktur","Aussteifung","","candidate_new_or_existing_tragwerk","tragwerkstyp/Stahltragwerk or tragwerksprinzip/Skeletttragwerk","has_tragwerkstyp or has_tragwerksprinzip","none","Likely steel/material structure or bracing principle; current ontology may need a generic Stahltragwerk knot.","Gebäude\Saxum_Vineyard_Equipment_Barn_Paso_Robles.md"
"reuse_einsatz/Brent_Cross_Town_Primary_Substation_London__002__Aussteifung_bracing_members","has_bauteiltyp","bauteiltyp/Tragstruktur","Aussteifung / bracing members","uses_material->material/Stahl","candidate_new_or_existing_tragwerk","tragwerkstyp/Stahltragwerk or tragwerksprinzip/Skeletttragwerk","has_tragwerkstyp or has_tragwerksprinzip","none","Likely steel/material structure or bracing principle; current ontology may need a generic Stahltragwerk knot.","Gebäude\Brent_Cross_Town_Primary_Substation_London.md"
"reuse_einsatz/Timber_Square_London__005__Neue_recycled_content_Stahlbauteile","has_bauteiltyp","bauteiltyp/Tragstruktur","Neue/recycled-content Stahlbauteile","has_bauteiltyp->bauteiltyp/Leuchte; uses_material->material/Stahl","candidate_new_or_existing_tragwerk","tragwerkstyp/Stahltragwerk or tragwerksprinzip/Skeletttragwerk","has_tragwerkstyp or has_tragwerksprinzip","none","Likely steel/material structure or bracing principle; current ontology may need a generic Stahltragwerk knot.","Gebäude\Timber_Square_London.md"
"reuse_einsatz/Plattenvereinigung_Berlin__005__Prim_rtragwerk_Aussteifung","has_bauteiltyp","bauteiltyp/Tragstruktur","Primärtragwerk / Aussteifung","","candidate_new_or_existing_tragwerk","tragwerkstyp/Stahltragwerk or tragwerksprinzip/Skeletttragwerk","has_tragwerkstyp or has_tragwerksprinzip","none","Likely steel/material structure or bracing principle; current ontology may need a generic Stahltragwerk knot.","Gebäude\Plattenvereinigung_Berlin.md"
"reuse_einsatz/Grubenstrasse_29_Werkhof_29_Zuerich__003__Stahlbauteile_Laubeng_nge","has_bauteiltyp","bauteiltyp/Tragstruktur","Stahlbauteile Laubengänge","uses_material->material/Stahl","candidate_new_or_existing_tragwerk","tragwerkstyp/Stahltragwerk or tragwerksprinzip/Skeletttragwerk","has_tragwerkstyp or has_tragwerksprinzip","none","Likely steel/material structure or bracing principle; current ontology may need a generic Stahltragwerk knot.","Gebäude\Grubenstrasse_29_Werkhof_29_Zuerich.md"
"reuse_einsatz/Kindergarten_Moeoeslistrasse_Manegg_Zuerich__004__Stahlkonstruktion_Beschattung","has_bauteiltyp","bauteiltyp/Tragstruktur","Stahlkonstruktion Beschattung","has_bauteiltyp->bauteiltyp/Beschattung_Sonnenschutz; uses_material->material/Stahl","candidate_new_or_existing_tragwerk","tragwerkstyp/Stahltragwerk or tragwerksprinzip/Skeletttragwerk","has_tragwerkstyp or has_tragwerksprinzip","none","Likely steel/material structure or bracing principle; current ontology may need a generic Stahltragwerk knot.","Gebäude\Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md"
"reuse_einsatz/Juch_Areal_Recyclingzentrum_Zuerich__001__Stahlstruktur_der_Traghalle_Hagenholz","has_bauteiltyp","bauteiltyp/Tragstruktur","Stahlstruktur der Traghalle Hagenholz","uses_material->material/Stahl","candidate_new_or_existing_tragwerk","tragwerkstyp/Stahltragwerk or tragwerksprinzip/Skeletttragwerk","has_tragwerkstyp or has_tragwerksprinzip","none","Likely steel/material structure or bracing principle; current ontology may need a generic Stahltragwerk knot.","Gebäude\Juch_Areal_Recyclingzentrum_Zuerich.md"
"reuse_einsatz/The_Green_House_Utrecht__007__Stahltragwerk","has_bauteiltyp","bauteiltyp/Tragstruktur","Stahltragwerk","uses_material->material/Stahl","candidate_new_or_existing_tragwerk","tragwerkstyp/Stahltragwerk or tragwerksprinzip/Skeletttragwerk","has_tragwerkstyp or has_tragwerksprinzip","none","Likely steel/material structure or bracing principle; current ontology may need a generic Stahltragwerk knot.","Gebäude\The_Green_House_Utrecht.md"
"reuse_einsatz/Saxum_Vineyard_Equipment_Barn_Paso_Robles__002__Dachtragwerk_Rohrtr_ger","has_bauteiltyp","bauteiltyp/Tragstruktur","Dachtragwerk / Rohrträger","has_bauteiltyp->bauteiltyp/Technik_TGA; has_bauteiltyp->bauteiltyp/Traeger; has_tragwerkstyp->tragwerkstyp/Dachtragwerk; uses_material->material/Stahl","covered_by_existing_tragwerkstyp","","","none","A precise Dachtragwerk edge already exists.","Gebäude\Saxum_Vineyard_Equipment_Barn_Paso_Robles.md"
"reuse_einsatz/Christ_Pavilion_Volkenroda__002__Dachtragwerk_Christusraum","has_bauteiltyp","bauteiltyp/Tragstruktur","Dachtragwerk Christusraum","has_tragwerkstyp->tragwerkstyp/Dachtragwerk; uses_material->material/Stahl","covered_by_existing_tragwerkstyp","","","none","A precise Dachtragwerk edge already exists.","Gebäude\Christ_Pavilion_Volkenroda.md"
"reuse_einsatz/Chiro_d_Itterbeek_Dilbeek__013__Holzrahmen_Dachtragwerk","has_bauteiltyp","bauteiltyp/Tragstruktur","Holzrahmen / Dachtragwerk","has_tragwerkstyp->tragwerkstyp/Dachtragwerk; uses_material->material/Holz","covered_by_existing_tragwerkstyp","","","none","A precise Dachtragwerk edge already exists.","Gebäude\Chiro_d_Itterbeek_Dilbeek.md"
"reuse_einsatz/CascadeUp_London_secondary_timber_glulam_demonstrator__001__Tragwerksrahmen_Balken_St_tzen","has_bauteiltyp","bauteiltyp/Tragstruktur","Tragwerksrahmen / Balken / Stützen","has_bauteiltyp->bauteiltyp/Stuetze; has_bauteiltyp->bauteiltyp/Traeger; uses_material->material/Brettschichtholz","covered_or_candidate_components","bauteiltyp/Traeger; bauteiltyp/Stuetze; tragwerksprinzip/Skeletttragwerk","has_bauteiltyp; has_tragwerksprinzip","none","The raw label names structural components/principle rather than a generic component type.","Gebäude\CascadeUp_London_secondary_timber_glulam_demonstrator.md"
"reuse_einsatz/Zinneke_Feder_Masui4ever_Brussels__010__Bestandstragwerk","has_bauteiltyp","bauteiltyp/Tragstruktur","Bestandstragwerk","","keep_review_derive_structure","","","none","Tragstruktur is too broad as bauteiltyp; derive a real structural entity from source context.","Gebäude\Zinneke_Feder_Masui4ever_Brussels.md"
"reuse_einsatz/KA13_Kristian_Augusts_gate_13_Oslo__003__Bestehendes_Tragwerk","has_bauteiltyp","bauteiltyp/Tragstruktur","Bestehendes Tragwerk","uses_material->material/Beton; uses_material->material/Stahl","keep_review_derive_structure","","","none","Tragstruktur is too broad as bauteiltyp; derive a real structural entity from source context.","Gebäude\KA13_Kristian_Augusts_gate_13_Oslo.md"
"reuse_einsatz/Big_Dig_House_Lexington_Massachusetts__005__Dachgarten_Tragunterbau","has_bauteiltyp","bauteiltyp/Tragstruktur","Dachgarten-Tragunterbau","has_bauteiltyp->bauteiltyp/Dach; uses_material->material/Sekundaerstahl","keep_review_derive_structure","","","none","Tragstruktur is too broad as bauteiltyp; derive a real structural entity from source context.","Gebäude\Big_Dig_House_Lexington_Massachusetts.md"
"reuse_einsatz/Institut_de_Botanique_ULg_Liege__002__Haupttragwerk_Bestand","has_bauteiltyp","bauteiltyp/Tragstruktur","Haupttragwerk Bestand","","keep_review_derive_structure","","","none","Tragstruktur is too broad as bauteiltyp; derive a real structural entity from source context.","Gebäude\Institut_de_Botanique_ULg_Liege.md"
"reuse_einsatz/gjG_House_Gentbrugge__003__Infill_Struktur","has_bauteiltyp","bauteiltyp/Tragstruktur","Infill-Struktur","uses_material->material/Holz; uses_material->material/Stahl","keep_review_derive_structure","","","none","Tragstruktur is too broad as bauteiltyp; derive a real structural entity from source context.","Gebäude\gjG_House_Gentbrugge.md"
"reuse_einsatz/Hastings_Pier_Visitor_Centre__004__neues_Tragwerk_Besucherzentrum","has_bauteiltyp","bauteiltyp/Tragstruktur","neues Tragwerk Besucherzentrum","uses_material->material/Brettsperrholz","keep_review_derive_structure","","","none","Tragstruktur is too broad as bauteiltyp; derive a real structural entity from source context.","Gebäude\Hastings_Pier_Visitor_Centre.md"
"reuse_einsatz/TRAE_High_Rise_Aarhus__001__Prim_rstruktur","has_bauteiltyp","bauteiltyp/Tragstruktur","Primärstruktur","uses_material->material/Beton; uses_material->material/Brettsperrholz; uses_material->material/Holz","keep_review_derive_structure","","","none","Tragstruktur is too broad as bauteiltyp; derive a real structural entity from source context.","Gebäude\TRAE_High_Rise_Aarhus.md"
"reuse_einsatz/Timber_Square_London__003__Retained_Print_Building_structure","has_bauteiltyp","bauteiltyp/Tragstruktur","Retained Print Building structure","uses_material->material/Beton; uses_material->material/Stahl","keep_review_derive_structure","","","none","Tragstruktur is too broad as bauteiltyp; derive a real structural entity from source context.","Gebäude\Timber_Square_London.md"
"reuse_einsatz/Kamikatsu_Zero_Waste_Center_Hotel_WHY__009__Tragstruktur","has_bauteiltyp","bauteiltyp/Tragstruktur","Tragstruktur","uses_material->material/Holz","keep_review_derive_structure","","","none","Tragstruktur is too broad as bauteiltyp; derive a real structural entity from source context.","Gebäude\Kamikatsu_Zero_Waste_Center_Hotel_WHY.md"
"reuse_einsatz/Maison_Vignette_Auderghem__007__Tragstruktur","has_bauteiltyp","bauteiltyp/Tragstruktur","Tragstruktur","uses_material->material/Holz","keep_review_derive_structure","","","none","Tragstruktur is too broad as bauteiltyp; derive a real structural entity from source context.","Gebäude\Maison_Vignette_Auderghem.md"
"reuse_einsatz/Maison_des_Canaux_Paris__007__Tragwerk_Bestand","has_bauteiltyp","bauteiltyp/Tragstruktur","Tragwerk Bestand","","keep_review_derive_structure","","","none","Tragstruktur is too broad as bauteiltyp; derive a real structural entity from source context.","Gebäude\Maison_des_Canaux_Paris.md"
"reuse_einsatz/Resource_Rows_Copenhagen__004__Tragwerk_Neubau","has_bauteiltyp","bauteiltyp/Tragstruktur","Tragwerk Neubau","uses_material->material/Beton; uses_material->material/Holz; uses_material->material/Stahl","keep_review_derive_structure","","","none","Tragstruktur is too broad as bauteiltyp; derive a real structural entity from source context.","Gebäude\Resource_Rows_Copenhagen.md"
