"source","relation","old_target","new_target","decision","raw_label","note"
"datenpunkt/ELYS_Kultur_Gewerbehaus_Basel__003__Fenster","measured_on_bauobjekt","bauobjekt/ELYS_Kultur_Gewerbehaus_Basel","","delete","ELYS_Kultur_Gewerbehaus_Basel","duplicate of canonical reuse_einsatz; original case data lives there"
"datenpunkt/Timber_Square_London__001__Wiederverwendete_Stahltr_ger","measured_on_bauobjekt","bauobjekt/Timber_Square_London","","delete","Timber_Square_London","duplicate of canonical reuse_einsatz; original case data lives there"
"datenpunkt/ELYS_Kultur_Gewerbehaus_Basel__003__Fenster","belongs_to_fallstudie","fallstudie/ELYS_Kultur_Gewerbehaus_Basel","","delete","fallstudie/ELYS_Kultur_Gewerbehaus_Basel","duplicate of canonical reuse_einsatz; original case data lives there"
"datenpunkt/Timber_Square_London__001__Wiederverwendete_Stahltr_ger","belongs_to_fallstudie","fallstudie/Timber_Square_London","","delete","fallstudie/Timber_Square_London","duplicate of canonical reuse_einsatz; original case data lives there"
"datenpunkt/ELYS_Kultur_Gewerbehaus_Basel__003__Fenster","measures_kennwertdefinition","kennwertdefinition/Bauteilanzahl","","delete","Fenster","duplicate of canonical reuse_einsatz; original case data lives there"
"datenpunkt/Timber_Square_London__001__Wiederverwendete_Stahltr_ger","measures_kennwertdefinition","kennwertdefinition/Materialmenge","","delete","Wiederverwendete Stahlträger","duplicate of canonical reuse_einsatz; original case data lives there"
"datenpunkt/Timber_Square_London__001__Wiederverwendete_Stahltr_ger","measures_kennwertdefinition","kennwertdefinition/Wiederverwendungsquote","","delete","Wiederverwendete Stahlträger","duplicate of canonical reuse_einsatz; original case data lives there"
"datenpunkt/ELYS_Kultur_Gewerbehaus_Basel__003__Fenster","belongs_to_projekt","projekt/ELYS_Kultur_Gewerbehaus_Basel","","delete","ELYS_Kultur_Gewerbehaus_Basel","duplicate of canonical reuse_einsatz; original case data lives there"
"datenpunkt/Timber_Square_London__001__Wiederverwendete_Stahltr_ger","belongs_to_projekt","projekt/Timber_Square_London","","delete","Timber_Square_London","duplicate of canonical reuse_einsatz; original case data lives there"
"reuse_kette/index","belongs_to_fallstudie","fallstudie/index","","delete","fallstudie/index","pseudo-node placeholder"
"reuse_kettenstation/index__Donor","belongs_to_fallstudie","fallstudie/index","","delete","fallstudie/index","pseudo-node placeholder"
"reuse_kettenstation/index__Receiver","belongs_to_fallstudie","fallstudie/index","","delete","fallstudie/index","pseudo-node placeholder"
"reuse_kettenstation/index__Donor","part_of_reuse_kette","reuse_kette/index","","delete","reuse_kette/index","pseudo-node placeholder"
"reuse_kettenstation/index__Receiver","part_of_reuse_kette","reuse_kette/index","","delete","reuse_kette/index","pseudo-node placeholder"
"reuse_einsatz/Chiro_d_Itterbeek_Dilbeek__003__Dachziegel","has_bauteiltyp","bauteiltyp/Dachziegel","bauteiltyp/Dach","split","Dachziegel",""
"reuse_einsatz/Lo_Reninge_Town_Hall_Facade__003__Dachziegel_Dach","has_bauteiltyp","bauteiltyp/Dachziegel","bauteiltyp/Dach","split","Dachziegel / Dach",""
"reuse_einsatz/Svanen_Kindergarten_Gladsaxe__004__Dachziegel_roof_tiles_vingetegl","has_bauteiltyp","bauteiltyp/Dachziegel","bauteiltyp/Dach","split","Dachziegel / roof tiles / vingetegl",""
"reuse_einsatz/Grande_Halle_de_Colombelles__006__T_ren_massiv_Brandschutzt_ren","has_bauteiltyp","bauteiltyp/Feuerschutztuer","bauteiltyp/Tuer","move","Türen massiv / Brandschutztüren",""
"reuse_einsatz/Kindergarten_Moeoeslistrasse_Manegg_Zuerich__007__Brandschutzt_ren","has_bauteiltyp","bauteiltyp/Feuerschutztuer","bauteiltyp/Tuer","move","Brandschutztüren",""
"reuse_einsatz/Zinneke_Feder_Masui4ever_Brussels__008__T_ren_inkl_Brandschutzt_ren","has_bauteiltyp","bauteiltyp/Feuerschutztuer","bauteiltyp/Tuer","move","Türen inkl. Brandschutztüren",""
"reuse_einsatz/Plattenpalast_Berlin__004__Plattenauflager","has_bauteiltyp","bauteiltyp/Auflager_Widerlager","bauteiltyp/Fundament","split","Plattenauflager",""
"reuse_einsatz/ReCrete_footbridge_reused_concrete_blocks__003__Widerlager_Auflager","has_bauteiltyp","bauteiltyp/Auflager_Widerlager","bauteiltyp/Fundament","split","Widerlager / Auflager",""
"reuse_einsatz/55_Great_Suffolk_Street_London__004__Bestandslagerhaus","has_bauteiltyp","bauteiltyp/Bauwerksteil","","delete","Bestandslagerhaus","target bauteiltyp/Bauwerksteil dropped per schema"
"reuse_einsatz/Berlin_Schildow_Pilot_House_2__005__Garage_Schuppen_Au_enmauern","has_bauteiltyp","bauteiltyp/Bauwerksteil","","delete","Garage / Schuppen / Außenmauern","target bauteiltyp/Bauwerksteil dropped per schema"
"reuse_einsatz/Big_Dig_House_Lexington_Massachusetts__004__Ramp_pier_components","has_bauteiltyp","bauteiltyp/Bauwerksteil","","delete","Ramp / pier components","target bauteiltyp/Bauwerksteil dropped per schema"
"reuse_einsatz/Big_Dig_House_Lexington_Massachusetts__007__Concrete_block_garage_wing","has_bauteiltyp","bauteiltyp/Bauwerksteil","","delete","Concrete-block garage wing","target bauteiltyp/Bauwerksteil dropped per schema"
"reuse_einsatz/Christ_Pavilion_Volkenroda__001__gesamtes_Pavillonensemble","has_bauteiltyp","bauteiltyp/Bauwerksteil","","delete","gesamtes Pavillonensemble","target bauteiltyp/Bauwerksteil dropped per schema"
"reuse_einsatz/Christ_Pavilion_Volkenroda__005__Kreuzgang","has_bauteiltyp","bauteiltyp/Bauwerksteil","","delete","Kreuzgang","target bauteiltyp/Bauwerksteil dropped per schema"
"reuse_einsatz/Christ_Pavilion_Volkenroda__008__Krypta_Kolonnade_Wasserbecken","has_bauteiltyp","bauteiltyp/Bauwerksteil","","delete","Krypta, Kolonnade, Wasserbecken","target bauteiltyp/Bauwerksteil dropped per schema"
"reuse_einsatz/CRCLR_House_Impact_Hub_Berlin__006__Holzgalerie_Innenausbau","has_bauteiltyp","bauteiltyp/Bauwerksteil","","delete","Holzgalerie / Innenausbau","target bauteiltyp/Bauwerksteil dropped per schema"
"reuse_einsatz/ELYS_Kultur_Gewerbehaus_Basel__007__Garagentor","has_bauteiltyp","bauteiltyp/Bauwerksteil","","delete","Garagentor","target bauteiltyp/Bauwerksteil dropped per schema"
"reuse_einsatz/Europa_Building_Brussels__002__Glas_Stahlw_rfel","has_bauteiltyp","bauteiltyp/Bauwerksteil","","delete","Glas-/Stahlwürfel","target bauteiltyp/Bauwerksteil dropped per schema"
"reuse_einsatz/Europa_Building_Brussels__003__Residence_Palace_Bestand","has_bauteiltyp","bauteiltyp/Bauwerksteil","","delete","Residence Palace Bestand","target bauteiltyp/Bauwerksteil dropped per schema"
"reuse_einsatz/Ferme_du_Rail_Paris__011__Holz_Strohbau","has_bauteiltyp","bauteiltyp/Bauwerksteil","","delete","Holz-/Strohbau","target bauteiltyp/Bauwerksteil dropped per schema"
"reuse_einsatz/Grande_Halle_de_Colombelles__011__Bestand_Betonstruktur","has_bauteiltyp","bauteiltyp/Bauwerksteil","","delete","Bestand-Betonstruktur","target bauteiltyp/Bauwerksteil dropped per schema"
"reuse_einsatz/Hastings_Pier_Visitor_Centre__006__viktorianischer_Pavillon","has_bauteiltyp","bauteiltyp/Bauwerksteil","","delete","viktorianischer Pavillon","target bauteiltyp/Bauwerksteil dropped per schema"
"reuse_einsatz/Holbein_Gardens_London__003__bestehender_Betonrahmen","has_bauteiltyp","bauteiltyp/Bauwerksteil","","delete","bestehender Betonrahmen","target bauteiltyp/Bauwerksteil dropped per schema"
"reuse_einsatz/House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain__004__Retained_1990s_concrete_frame_TBC","has_bauteiltyp","bauteiltyp/Bauwerksteil","","delete","Retained 1990s concrete frame TBC","target bauteiltyp/Bauwerksteil dropped per schema"
"reuse_einsatz/Impact_Hub_Berlin_CRCLR_Fitout__006__Holzgalerie","has_bauteiltyp","bauteiltyp/Bauwerksteil","","delete","Holzgalerie","target bauteiltyp/Bauwerksteil dropped per schema"
"reuse_einsatz/Juch_Areal_Recyclingzentrum_Zuerich__006__Betriebsgeb_ude","has_bauteiltyp","bauteiltyp/Bauwerksteil","","delete","Betriebsgebäude","target bauteiltyp/Bauwerksteil dropped per schema"
