"source","relation","target","raw_label","confidence","resolution_rule","legacy_path"
"reuse_einsatz/55_Great_Suffolk_Street_London__001__Stahlprofile_f_r_neuen_externen_Kern","has_prozessphase","prozessphase/Aufbereitung","Anbauteile entfernt, Löcher gefüllt, getestet, CE markiert","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/55_Great_Suffolk_Street_London__001__Stahlprofile_f_r_neuen_externen_Kern","has_prozessphase","prozessphase/Pruefung","Anbauteile entfernt, Löcher gefüllt, getestet, CE markiert","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/55_Great_Suffolk_Street_London__002__Stahl_aus_1_Broadgate","has_prozessphase","prozessphase/Aufbereitung","Concrete casings entfernt, hot-cut ends; Weiterbearbeitung","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/55_Great_Suffolk_Street_London__003__Reclaimed_stock_von_Cleveland","has_prozessphase","prozessphase/Lagerung","Lagerung, Restaurierung, Rezertifizierung","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/55_Great_Suffolk_Street_London__003__Reclaimed_stock_von_Cleveland","has_prozessphase","prozessphase/Aufbereitung","Lagerung, Restaurierung, Rezertifizierung","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/55_Great_Suffolk_Street_London__003__Reclaimed_stock_von_Cleveland","has_prozessphase","prozessphase/Pruefung","Lagerung, Restaurierung, Rezertifizierung","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/AWM_Muenster_Circular_Office__001__Glastrennw_nde_und_T_ren","has_prozessphase","prozessphase/Rueckbau","Rückgewinnung, Transport, Montage","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/AWM_Muenster_Circular_Office__001__Glastrennw_nde_und_T_ren","has_prozessphase","prozessphase/Transport","Rückgewinnung, Transport, Montage","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/AWM_Muenster_Circular_Office__001__Glastrennw_nde_und_T_ren","has_prozessphase","prozessphase/Wiedereinbau","Rückgewinnung, Transport, Montage","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/AWM_Muenster_Circular_Office__002__WC_Trennw_nde","has_prozessphase","prozessphase/Rueckbau","Rückgewinnung, Montage","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/AWM_Muenster_Circular_Office__002__WC_Trennw_nde","has_prozessphase","prozessphase/Wiedereinbau","Rückgewinnung, Montage","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/AWM_Muenster_Circular_Office__003__Kabeltrassen_als_Regale","has_prozessphase","prozessphase/Aufbereitung","Umnutzung, Halterungen 3D-Druck","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/AWM_Muenster_Circular_Office__004__Kabeltrassen_und_LED_Leuchten","has_prozessphase","prozessphase/Aufbereitung","Reaktivierung, Montage","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/AWM_Muenster_Circular_Office__004__Kabeltrassen_und_LED_Leuchten","has_prozessphase","prozessphase/Wiedereinbau","Reaktivierung, Montage","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/AWM_Muenster_Circular_Office__005__Wandverkleidung_aus_Stuhllehnen_sitzen","has_prozessphase","prozessphase/Rueckbau","Demontage, Zuschnitt, Wandmontage","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/AWM_Muenster_Circular_Office__005__Wandverkleidung_aus_Stuhllehnen_sitzen","has_prozessphase","prozessphase/Aufbereitung","Demontage, Zuschnitt, Wandmontage","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/AWM_Muenster_Circular_Office__005__Wandverkleidung_aus_Stuhllehnen_sitzen","has_prozessphase","prozessphase/Wiedereinbau","Demontage, Zuschnitt, Wandmontage","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/AWM_Muenster_Circular_Office__006__Sideboard_Holzeinbauten","has_prozessphase","prozessphase/Rueckbau","Rückbau, Zuschnitt, Tischlerei","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/AWM_Muenster_Circular_Office__006__Sideboard_Holzeinbauten","has_prozessphase","prozessphase/Aufbereitung","Rückbau, Zuschnitt, Tischlerei","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/AWM_Muenster_Circular_Office__008__Lehmbauw_nde","has_prozessphase","prozessphase/Wiedereinbau","Montage","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/AWM_Muenster_Circular_Office__010__M_bel","has_prozessphase","prozessphase/Aufbereitung","Reparatur","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/BedZED_London_Hackbridge__001__Stahlrahmen_Stahlprofile","has_prozessphase","prozessphase/Aufbereitung","Sandstrahlen, Fertigung, Lackierung, zinkreiche Beschichtung","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/BedZED_London_Hackbridge__003__Holzst_nder_Wandst_nder","has_prozessphase","prozessphase/Aufbereitung","Instandsetzung, Behandlung, Zuschneiden in Sägewerk","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Berlin_Schildow_Pilot_House_2__001__zugeschnittene_Betonfertigteile","has_prozessphase","prozessphase/Aufbereitung","Sägen, Reinigen, Sortieren","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Berlin_Schildow_Pilot_House_2__001__zugeschnittene_Betonfertigteile","has_prozessphase","prozessphase/Identifikation","Sägen, Reinigen, Sortieren","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Berlin_Schildow_Pilot_House_2__002__Deckenplatten_als_Ursprungsbauteile","has_prozessphase","prozessphase/Aufbereitung","Zuschnitt","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Berlin_Schildow_Pilot_House_2__003__Innenwandplatten_als_Ursprungsbauteile","has_prozessphase","prozessphase/Aufbereitung","Zuschnitt","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Berlin_Schildow_Pilot_House_2__008__Dach","has_prozessphase","prozessphase/Aufbereitung","Zuschnitt","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Berlin_Schildow_Pilot_House__001__zugeschnittene_Betonfertigteile","has_prozessphase","prozessphase/Aufbereitung","Zuschnitt/Sägen","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Berlin_Schildow_Pilot_House__002__Deckenplatten","has_prozessphase","prozessphase/Aufbereitung","in Stücke gesägt","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Berlin_Schildow_Pilot_House__003__Innenwandplatten","has_prozessphase","prozessphase/Aufbereitung","in Stücke gesägt","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Berlin_Schildow_Pilot_House__005__Dach_Satteldach","has_prozessphase","prozessphase/Aufbereitung","Zuschnitt","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Bestandverplanzung_Pavilion_Muenchen__001__Fertigteil_Paneele","has_prozessphase","prozessphase/Rueckbau","Demontage, Transport, Wiedereinbau; Details unbekannt","rule_medium","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Bestandverplanzung_Pavilion_Muenchen__001__Fertigteil_Paneele","has_prozessphase","prozessphase/Transport","Demontage, Transport, Wiedereinbau; Details unbekannt","rule_medium","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Bestandverplanzung_Pavilion_Muenchen__001__Fertigteil_Paneele","has_prozessphase","prozessphase/Wiedereinbau","Demontage, Transport, Wiedereinbau; Details unbekannt","rule_medium","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Big_Dig_Building_Boston__001__Boxbeams_Infrastrukturtr_ger","has_prozessphase","prozessphase/Rueckbau","Demontage/Transport/Anpassung geplant","rule_medium","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Big_Dig_Building_Boston__001__Boxbeams_Infrastrukturtr_ger","has_prozessphase","prozessphase/Transport","Demontage/Transport/Anpassung geplant","rule_medium","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Big_Dig_Building_Boston__001__Boxbeams_Infrastrukturtr_ger","has_prozessphase","prozessphase/Aufbereitung","Demontage/Transport/Anpassung geplant","rule_medium","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Big_Dig_Building_Boston__003__Fassaden_Cladding_Elemente","has_prozessphase","prozessphase/Aufbereitung","Anpassung geplant","rule_medium","label_50d_prozessphase_eingriff_aufbereitung",""
