"source","relation","target","raw_label","confidence","resolution_rule","legacy_path"
"reuse_einsatz/55_Great_Suffolk_Street_London__001__Stahlprofile_f_r_neuen_externen_Kern","has_aufbereitungsverfahren","aufbereitungsverfahren/Qualitaetssicherung","Anbauteile entfernt, Löcher gefüllt, getestet, CE markiert","rule_high","label_50j_has_aufbereitungsverfahren_eingriff",""
"reuse_einsatz/BedZED_London_Hackbridge__003__Holzst_nder_Wandst_nder","has_aufbereitungsverfahren","aufbereitungsverfahren/Rekonditionierung","Instandsetzung, Behandlung, Zuschneiden in Sägewerk","rule_high","label_50j_has_aufbereitungsverfahren_eingriff",""
"reuse_einsatz/Berlin_Schildow_Pilot_House_2__001__zugeschnittene_Betonfertigteile","has_aufbereitungsverfahren","aufbereitungsverfahren/Holzaufbereitung","Sägen, Reinigen, Sortieren","rule_high","label_50j_has_aufbereitungsverfahren_eingriff",""
"reuse_einsatz/Berlin_Schildow_Pilot_House__001__zugeschnittene_Betonfertigteile","has_aufbereitungsverfahren","aufbereitungsverfahren/Holzaufbereitung","Zuschnitt/Sägen","rule_high","label_50j_has_aufbereitungsverfahren_eingriff",""
"reuse_einsatz/Brent_Cross_Town_Primary_Substation_London__001__Lange_St_tzen_aus_reclaimed_tubulars","has_aufbereitungsverfahren","aufbereitungsverfahren/Qualitaetssicherung","Auswahl, Test, ggf. Vorbereitung","rule_high","label_50j_has_aufbereitungsverfahren_eingriff",""
"reuse_einsatz/CRCLR_House_Impact_Hub_Berlin__006__Holzgalerie_Innenausbau","has_aufbereitungsverfahren","aufbereitungsverfahren/Holzaufbereitung","Zuschnitt; Holzständerraster 62,5 cm","rule_high","label_50j_has_aufbereitungsverfahren_eingriff",""
"reuse_einsatz/Chiro_d_Itterbeek_Dilbeek__008__Sanit_robjekte","has_aufbereitungsverfahren","aufbereitungsverfahren/Qualitaetssicherung","Reinigung/Funktionsprüfung unbekannt","rule_high","label_50j_has_aufbereitungsverfahren_eingriff",""
"reuse_einsatz/ELYS_Kultur_Gewerbehaus_Basel__003__Fenster","has_aufbereitungsverfahren","aufbereitungsverfahren/Reparatur","Einbau aus Restposten; ggf. Reparaturfonds statt Garantie","rule_high","label_50j_has_aufbereitungsverfahren_eingriff",""
"reuse_einsatz/Grubenstrasse_29_Werkhof_29_Zuerich__009__Heizk_rper_Radiatoren","has_aufbereitungsverfahren","aufbereitungsverfahren/Qualitaetssicherung","Prüfung/Reinigung unbekannt","rule_high","label_50j_has_aufbereitungsverfahren_eingriff",""
"reuse_einsatz/Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere__001__Hohlk_rperdecken","has_aufbereitungsverfahren","aufbereitungsverfahren/Qualitaetssicherung","intakter Ausbau, Prüfung, Werksaufbereitung","rule_high","label_50j_has_aufbereitungsverfahren_eingriff",""
"reuse_einsatz/Holbein_Gardens_London__001__Stahltr_ger_st_tzen","has_aufbereitungsverfahren","aufbereitungsverfahren/Qualitaetssicherung","Rückbau, Prüfung, Primerentfernung, Refabrikation","rule_high","label_50j_has_aufbereitungsverfahren_eingriff",""
"reuse_einsatz/House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain__001__1930er_Stahltr_ger_vom_House_of_Fraser","has_aufbereitungsverfahren","aufbereitungsverfahren/Qualitaetssicherung","ausgebaut, gereinigt, getestet, zertifiziert, vorbereitet","rule_high","label_50j_has_aufbereitungsverfahren_eingriff",""
"reuse_einsatz/Impact_Hub_Berlin_CRCLR_Fitout__007__T_ren_Fenster_Sanit_r","has_aufbereitungsverfahren","aufbereitungsverfahren/Leuchten_Refurbishment","refurbishment","rule_high","label_50j_has_aufbereitungsverfahren_eingriff",""
"reuse_einsatz/Juch_Areal_Recyclingzentrum_Zuerich__002__Betonplatten_aus_Kerenzerbergtunnel","has_aufbereitungsverfahren","aufbereitungsverfahren/Qualitaetssicherung","Ausbau, Prüfung, Transport, Neuverlegung","rule_high","label_50j_has_aufbereitungsverfahren_eingriff",""
"reuse_einsatz/Juch_Areal_Recyclingzentrum_Zuerich__003__Beton_Pilzst_tzen_mit_Deckenelementen","has_aufbereitungsverfahren","aufbereitungsverfahren/Qualitaetssicherung","Beschaffung, Prüfung, Vorbereitung zum Wiedereinbau","rule_high","label_50j_has_aufbereitungsverfahren_eingriff",""
"reuse_einsatz/KA13_Kristian_Augusts_gate_13_Oslo__001__Hohlk_rperdecken_hollow_core_slabs","has_aufbereitungsverfahren","aufbereitungsverfahren/Qualitaetssicherung","Demontage, Reinigung, Tests, Zuschnitt","rule_high","label_50j_has_aufbereitungsverfahren_eingriff",""
"reuse_einsatz/Kamikatsu_Zero_Waste_Center_Hotel_WHY__001__Fassadenfenster","has_aufbereitungsverfahren","aufbereitungsverfahren/Holzaufbereitung","gesammelt, sortiert, in neue Holzrahmen integriert","rule_high","label_50j_has_aufbereitungsverfahren_eingriff",""
"reuse_einsatz/Maison_Vignette_Auderghem__006__Sanit_robjekte","has_aufbereitungsverfahren","aufbereitungsverfahren/Qualitaetssicherung","Reinigung/Funktionsprüfung unbekannt","rule_high","label_50j_has_aufbereitungsverfahren_eingriff",""
"reuse_einsatz/Maison_des_Canaux_Paris__003__Sanit_rkeramik_Sanit_rteile","has_aufbereitungsverfahren","aufbereitungsverfahren/Qualitaetssicherung","Reinigung / Prüfung möglich","rule_high","label_50j_has_aufbereitungsverfahren_eingriff",""
"reuse_einsatz/Multi_Brussels_Reuse_in_MULTI__001__Blausteinbl_cke_Fassadenplatten","has_aufbereitungsverfahren","aufbereitungsverfahren/Holzaufbereitung","Demontage, Sägen, Remanufacturing, Wiederverlegung","rule_high","label_50j_has_aufbereitungsverfahren_eingriff",""
"reuse_einsatz/ReCrete_footbridge_reused_concrete_blocks__001__Betonbl_cke_Bogensegmente","has_aufbereitungsverfahren","aufbereitungsverfahren/Holzaufbereitung","Sägen aus Bestandswand, Vorbereitung, Montage","rule_high","label_50j_has_aufbereitungsverfahren_eingriff",""
"reuse_einsatz/Resilience_La_Ferme_des_Possibles_Stains__008__Leuchten","has_aufbereitungsverfahren","aufbereitungsverfahren/Qualitaetssicherung","elektrische Prüfung unbekannt","rule_high","label_50j_has_aufbereitungsverfahren_eingriff",""
"reuse_einsatz/Roots_in_the_Sky_Blackfriars_Crown_Court__001__Stahltr_ger_profile","has_aufbereitungsverfahren","aufbereitungsverfahren/Qualitaetssicherung","Demontage, Lagerung, Prüfung, Re-Zertifizierung","rule_high","label_50j_has_aufbereitungsverfahren_eingriff",""
"reuse_einsatz/Saxum_Vineyard_Equipment_Barn_Paso_Robles__002__Dachtragwerk_Rohrtr_ger","has_aufbereitungsverfahren","aufbereitungsverfahren/Reparatur","Zuschnitt/Schweißen","rule_high","label_50j_has_aufbereitungsverfahren_eingriff",""
