"source","case_id","legacy_path","value","relationship","confidence_source","note","raw_label","reason"
"reuse_einsatz/55_Great_Suffolk_Street_London__002__Stahl_aus_1_Broadgate","","","","","","","Concrete casings entfernt, hot-cut ends; Weiterbearbeitung","no_aufbereitung_token_match"
"reuse_einsatz/55_Great_Suffolk_Street_London__003__Reclaimed_stock_von_Cleveland","","","","","","","Lagerung, Restaurierung, Rezertifizierung","no_aufbereitung_token_match"
"reuse_einsatz/AWM_Muenster_Circular_Office__001__Glastrennw_nde_und_T_ren","","","","","","","Rückgewinnung, Transport, Montage","no_aufbereitung_token_match"
"reuse_einsatz/AWM_Muenster_Circular_Office__002__WC_Trennw_nde","","","","","","","Rückgewinnung, Montage","no_aufbereitung_token_match"
"reuse_einsatz/AWM_Muenster_Circular_Office__004__Kabeltrassen_und_LED_Leuchten","","","","","","","Reaktivierung, Montage","no_aufbereitung_token_match"
"reuse_einsatz/AWM_Muenster_Circular_Office__006__Sideboard_Holzeinbauten","","","","","","","Rückbau, Zuschnitt, Tischlerei","no_aufbereitung_token_match"
"reuse_einsatz/BedZED_London_Hackbridge__001__Stahlrahmen_Stahlprofile","","","","","","","Sandstrahlen, Fertigung, Lackierung, zinkreiche Beschichtung","no_aufbereitung_token_match"
"reuse_einsatz/Berlin_Schildow_Pilot_House_2__002__Deckenplatten_als_Ursprungsbauteile","","","","","","","Zuschnitt","no_aufbereitung_token_match"
"reuse_einsatz/Berlin_Schildow_Pilot_House_2__003__Innenwandplatten_als_Ursprungsbauteile","","","","","","","Zuschnitt","no_aufbereitung_token_match"
"reuse_einsatz/Berlin_Schildow_Pilot_House_2__008__Dach","","","","","","","Zuschnitt","no_aufbereitung_token_match"
"reuse_einsatz/Berlin_Schildow_Pilot_House__002__Deckenplatten","","","","","","","in Stücke gesägt","no_aufbereitung_token_match"
"reuse_einsatz/Berlin_Schildow_Pilot_House__003__Innenwandplatten","","","","","","","in Stücke gesägt","no_aufbereitung_token_match"
"reuse_einsatz/Berlin_Schildow_Pilot_House__005__Dach_Satteldach","","","","","","","Zuschnitt","no_aufbereitung_token_match"
"reuse_einsatz/Bestandverplanzung_Pavilion_Muenchen__001__Fertigteil_Paneele","","","","","","","Demontage, Transport, Wiedereinbau; Details unbekannt","no_aufbereitung_token_match"
"reuse_einsatz/Big_Dig_House_Lexington_Massachusetts__001__Stahltr_ger","","","","","","","largely as found / Zuschnitt unbekannt","no_aufbereitung_token_match"
"reuse_einsatz/Big_Dig_House_Lexington_Massachusetts__003__Inverset_panels","","","","","","","reused as building components","no_aufbereitung_token_match"
"reuse_einsatz/Big_Dig_House_Lexington_Massachusetts__004__Ramp_pier_components","","","","","","","as found","no_aufbereitung_token_match"
"reuse_einsatz/BioPartner_5_Leiden_Oegstgeest__001__Tr_ger_St_tzen_Stahlrahmen","","","","","","","Demontage, kurzer Transport, Bearbeitung/Beschichtung, Wiedermontage","no_aufbereitung_token_match"
"reuse_einsatz/BioPartner_5_Leiden_Oegstgeest__003__W_nde_Innenw_nde","","","","","","","Ausbau, Anpassung, Einbau","no_aufbereitung_token_match"
"reuse_einsatz/BioPartner_5_Leiden_Oegstgeest__004__Fassadenmaterial_Gabionenf_llung","","","","","","","Brechen/Sichten/Einfüllen","no_aufbereitung_token_match"
"reuse_einsatz/BioPartner_5_Leiden_Oegstgeest__005__Bodenbelag_Eingang_Erdgeschoss","","","","","","","Reinigung, Zuschnitt, Einbau","no_aufbereitung_token_match"
"reuse_einsatz/BioPartner_5_Leiden_Oegstgeest__006__T_ren","","","","","","","Reinigung, Anpassung","no_aufbereitung_token_match"
"reuse_einsatz/BioPartner_5_Leiden_Oegstgeest__007__Sanit_r","","","","","","","professionelle Reinigung; Installateur musste überzeugt werden","no_aufbereitung_token_match"
"reuse_einsatz/BlueCity_Offices_Rotterdam__001__Fensterrahmen_Red_Cedar_Rahmen","","","","","","","Ernte, Auswahl, Montage; gebrochenes Glas ersetzt","no_aufbereitung_token_match"
"reuse_einsatz/Boulder_Fire_Station_3__001__Wide_flange_beams_structural_steel_members","","","","","","","selektiver Rückbau, Katalogisierung, Reinigung, Vorbereitung, Re-Fabrication","no_aufbereitung_token_match"
"reuse_einsatz/Boulder_Fire_Station_3__002__Stahlstockpile_gesamt","","","","","","","Katalogisierung/Stockpile","no_aufbereitung_token_match"
"reuse_einsatz/Brent_Cross_Town_Primary_Substation_London__002__Aussteifung_bracing_members","","","","","","","wie oben","no_aufbereitung_token_match"
"reuse_einsatz/Brent_Cross_Town_Primary_Substation_London__004__Ovaler_Substation_Screen","","","","","","","Montage","no_aufbereitung_token_match"
"reuse_einsatz/Brighton_Waste_House_Brighton__001__Betonbl_cke","","","","","","","Sortieren, Einbau","no_aufbereitung_token_match"
"reuse_einsatz/Brighton_Waste_House_Brighton__002__Holz_off_cut_timber","","","","","","","Zuschnitt, Einbau","no_aufbereitung_token_match"
"reuse_einsatz/Brighton_Waste_House_Brighton__003__Sperrholz_ply_sheets","","","","","","","Zuschnitt","no_aufbereitung_token_match"
"reuse_einsatz/Brighton_Waste_House_Brighton__004__Teppichfliesen","","","","","","","Reinigung, Befestigung","no_aufbereitung_token_match"
"reuse_einsatz/Brighton_Waste_House_Brighton__005__Vinylbanner","","","","","","","Zuschnitt, Verlegung","no_aufbereitung_token_match"
"reuse_einsatz/Brighton_Waste_House_Brighton__006__Zahnb_rsten","","","","","","","Sammeln, Reinigen unbekannt, Einfüllen","no_aufbereitung_token_match"
"reuse_einsatz/Brighton_Waste_House_Brighton__007__Denim_jeans","","","","","","","Einfüllen","no_aufbereitung_token_match"
"reuse_einsatz/Brighton_Waste_House_Brighton__008__Videokassetten_DVD_cases_Floppy_Discs","","","","","","","Sortieren, Einfüllen","no_aufbereitung_token_match"
"reuse_einsatz/Brighton_Waste_House_Brighton__010__Kaffeesatz_Arbeitsplatte","","","","","","","Verarbeitung zu Platte","no_aufbereitung_token_match"
"reuse_einsatz/Brighton_Waste_House_Brighton__011__Duvets_Bettdecken","","","","","","","Einbau bei späterem Makeover","no_aufbereitung_token_match"
"reuse_einsatz/Broethen_Twin_House_Hoyerswerda__001__Wandplatten","","","","","","","Demontage, Reinigung, ggf. Anpassung unbekannt","no_aufbereitung_token_match"
"reuse_einsatz/Broethen_Twin_House_Hoyerswerda__002__Deckenplatten","","","","","","","Demontage, Reinigung","no_aufbereitung_token_match"
"reuse_einsatz/CRCLR_House_Impact_Hub_Berlin__001__Stahlpfetten_I_Tr_ger","","","","","","","demontiert, Proben, Zugversuch, chemische Analyse, entrostet, Korrosionsschutz","no_aufbereitung_token_match"
"reuse_einsatz/CRCLR_House_Impact_Hub_Berlin__002__Stahlfachwerktr_ger","","","","","","","demontiert und geprüft","no_aufbereitung_token_match"
"reuse_einsatz/CRCLR_House_Impact_Hub_Berlin__003__Holz_Alu_Fenster_Au_enfenster","","","","","","","neu verglast laut nbau","no_aufbereitung_token_match"
"reuse_einsatz/CRCLR_House_Impact_Hub_Berlin__004__Sanit_robjekte_Duschtassen","","","","","","","Reinigung/Aufbereitung unbekannt","no_aufbereitung_token_match"
"reuse_einsatz/CRCLR_House_Impact_Hub_Berlin__007__TGA_sichtbar_gef_hrt","","","","","","","auf Putz/sichtbar","no_aufbereitung_token_match"
"reuse_einsatz/CascadeUp_London_secondary_timber_glulam_demonstrator__001__Tragwerksrahmen_Balken_St_tzen","","","","","","","Vorbereitung und Remanufacturing zu glulamST","no_aufbereitung_token_match"
"reuse_einsatz/CascadeUp_London_secondary_timber_glulam_demonstrator__002__Wandpaneele","","","","","","","Remanufacturing zu CLST","no_aufbereitung_token_match"
"reuse_einsatz/CascadeUp_London_secondary_timber_glulam_demonstrator__003__Bodenpaneele","","","","","","","Remanufacturing","no_aufbereitung_token_match"
"reuse_einsatz/Charles_Malis_Molenbeek__001__Bodenpflaster_Bruseleye_tiles","","","","","","","zurückgewonnen und neu zugeschnitten","no_aufbereitung_token_match"
"reuse_einsatz/Charles_Malis_Molenbeek__002__Leuchten","","","","","","","Wiederverwendung / ggf. elektrische Aufbereitung","no_aufbereitung_token_match"
"reuse_einsatz/Chiro_d_Itterbeek_Dilbeek__001__Fassadenziegel","","","","","","","Reinigen/Sortieren nicht detailliert","no_aufbereitung_token_match"
"reuse_einsatz/Chiro_d_Itterbeek_Dilbeek__002__Au_enst_rze","","","","","","","zwei U-Profile zusammengefügt","no_aufbereitung_token_match"
"reuse_einsatz/Chiro_d_Itterbeek_Dilbeek__003__Dachziegel","","","","","","","Sortieren","no_aufbereitung_token_match"
"reuse_einsatz/Chiro_d_Itterbeek_Dilbeek__004__Au_ent_ren","","","","","","","Anpassung unbekannt","no_aufbereitung_token_match"
"reuse_einsatz/Chiro_d_Itterbeek_Dilbeek__005__Holzfenster","","","","","","","Anpassung unbekannt","no_aufbereitung_token_match"
"reuse_einsatz/Chiro_d_Itterbeek_Dilbeek__006__Bodenfliesen","","","","","","","Reinigung","no_aufbereitung_token_match"
"reuse_einsatz/Chiro_d_Itterbeek_Dilbeek__007__Wandfliesen","","","","","","","Reinigung","no_aufbereitung_token_match"
"reuse_einsatz/Chiro_d_Itterbeek_Dilbeek__012__Betonbl_cke","","","","","","","neu/restposten","no_aufbereitung_token_match"
"reuse_einsatz/Chiro_d_Itterbeek_Dilbeek__013__Holzrahmen_Dachtragwerk","","","","","","","neu/restposten","no_aufbereitung_token_match"
"reuse_einsatz/Christ_Pavilion_Volkenroda__001__gesamtes_Pavillonensemble","","","","","","","demontiert und in Volkenroda wiederaufgebaut","no_aufbereitung_token_match"
"reuse_einsatz/Christ_Pavilion_Volkenroda__002__Dachtragwerk_Christusraum","","","","","","","Abbau/Wiederaufbau","no_aufbereitung_token_match"
"reuse_einsatz/Christ_Pavilion_Volkenroda__004__Marmor_Glas_Wand_Christusraum","","","","","","","Abbau/Wiederaufbau","no_aufbereitung_token_match"
"reuse_einsatz/Christ_Pavilion_Volkenroda__005__Kreuzgang","","","","","","","Abbau/Wiederaufbau","no_aufbereitung_token_match"
"reuse_einsatz/Christ_Pavilion_Volkenroda__006__Glasfassade_Vitrinen","","","","","","","wiederaufgebaut","no_aufbereitung_token_match"
"reuse_einsatz/Christ_Pavilion_Volkenroda__007__Sichtbetonteile","","","","","","","Abbau/Wiederaufbau, soweit Teil des translozierten Ensembles","no_aufbereitung_token_match"
