"target_primary","duplicate_count","legacy_path","action","risk_flags"
"reuse_strategie/Design_for_Disassembly","3","methode\Design_for_Disassembly.md","move_as_knot",""
"reuse_strategie/Design_for_Disassembly","3","reuse_strategie\Design_for_Disassembly.md","move_as_knot",""
"reuse_strategie/Design_for_Disassembly","3","tragwerkssystem\Design_for_Disassembly.md","semantic_split","old_type_tragwerkssystem_overgeneralized"
"fallstudie/K118_Kopfbau_Halle_118_Winterthur","2","gebaeude\K118_Kopfbau_Halle_118_Winterthur.md","split_into_case_graph",""
"fallstudie/K118_Kopfbau_Halle_118_Winterthur","2","Gebäude\K118_Kopfbau_Halle_118_Winterthur.md","split_into_case_graph","do_not_treat_file_as_single_gebaeude_only"
"software_digitaltool/Rhino","2","software\Rhino.md","move_as_core",""
"software_digitaltool/Rhino","2","werkzeug\Rhino.md","semantic_move","may_duplicate_bauteilboerse_or_akteur"
"software_digitaltool/one_click_lca","2","software\one-click-lca\index.md","move_as_core","nested_index_is_content_node_not_category_index"
"software_digitaltool/one_click_lca","2","werkzeug\One_Click_Lca.md","semantic_move","may_duplicate_bauteilboerse_or_akteur"
"software_digitaltool/klimaschutz_konfigurator","2","software\klimaschutz-konfigurator\index.md","move_as_core","nested_index_is_content_node_not_category_index"
"software_digitaltool/klimaschutz_konfigurator","2","werkzeug\Klimaschutz_Konfigurator.md","semantic_move","may_duplicate_bauteilboerse_or_akteur"
"bauteiltyp/Tragende_Wand","2","tragwerkssystem\to_sort\Tragende_Wände_Kerne.md","semantic_review_split","unsorted_content_do_not_autoload"
"bauteiltyp/Tragende_Wand","2","tragwerkssystem\Tragende_Wand.md","semantic_split","old_type_tragwerkssystem_overgeneralized"
"bauaufgabe_intervention/Aufstockung","2","projekt\Aufstockung.md","semantic_move",""
"bauaufgabe_intervention/Aufstockung","2","tragwerkssystem\Aufstockung_in_Holzbauweise.md","semantic_split","old_type_tragwerkssystem_overgeneralized"
"software_digitaltool/cycle_up","2","bauteilboerse\cycle-up.md","split_platform_profile","duplicate_with_akteur_or_werkzeug"
"software_digitaltool/cycle_up","2","werkzeug\Cycle_Up.md","semantic_move","may_duplicate_bauteilboerse_or_akteur"
"bauteiltyp/Traeger","2","bauteil\Traeger.md","move_as_knot",""
"bauteiltyp/Traeger","2","tragwerkssystem\to_sort\Träger.md","semantic_review_split","unsorted_content_do_not_autoload"
"software_digitaltool/globechain","2","bauteilboerse\globechain.md","split_platform_profile","duplicate_with_akteur_or_werkzeug"
"software_digitaltool/globechain","2","werkzeug\Globechain.md","semantic_move","may_duplicate_bauteilboerse_or_akteur"
"software_digitaltool/material_index","2","bauteilboerse\material-index.md","split_platform_profile","duplicate_with_akteur_or_werkzeug"
"software_digitaltool/material_index","2","werkzeug\Material_Index.md","semantic_move","may_duplicate_bauteilboerse_or_akteur"
"software_digitaltool/loopfront","2","bauteilboerse\loopfront.md","split_platform_profile","duplicate_with_akteur_or_werkzeug"
"software_digitaltool/loopfront","2","werkzeug\Loopfront.md","semantic_move","may_duplicate_bauteilboerse_or_akteur"
"bauteiltyp/Deckenplatte","2","bauteil\Deckenplatte.md","move_as_knot",""
"bauteiltyp/Deckenplatte","2","tragwerkssystem\to_sort\Deckenplatten.md","semantic_review_split","unsorted_content_do_not_autoload"
"bauteiltyp/Betonfertigteil","2","bauteil\Betonfertigteil.md","move_as_knot",""
"bauteiltyp/Betonfertigteil","2","tragwerkssystem\to_sort\Betonfertigteile.md","semantic_review_split","unsorted_content_do_not_autoload"
"software_digitaltool/material_reuse_portal","2","bauteilboerse\material-reuse-portal.md","split_platform_profile","duplicate_with_akteur_or_werkzeug"
"software_digitaltool/material_reuse_portal","2","werkzeug\Material_Reuse_Portal.md","semantic_move","may_duplicate_bauteilboerse_or_akteur"
"software_digitaltool/Opalis","2","dokument\Opalis_Datenbank.md","move_as_knot",""
"software_digitaltool/Opalis","2","fallstudie\Opalis.md","keep_or_split_case",""
"fallstudie/ELEMENTA","2","fallstudie\ELEMENTA.md","keep_or_split_case",""
"fallstudie/ELEMENTA","2","gebaeude\Elementa.md","split_into_case_graph",""
"foerderprogramm/PREUSE","2","fallstudie\PREUSE.md","keep_or_split_case",""
"foerderprogramm/PREUSE","2","foerderprogramm\PREUSE.md","move_as_core_or_context",""
"dokumenttyp/Materialpass","2","dokument\Materialpass.md","move_as_knot",""
"dokumenttyp/Materialpass","2","methode\Materialpass.md","semantic_move",""
"software_digitaltool/rotordc","2","bauteilboerse\rotordc.md","split_platform_profile","duplicate_with_akteur_or_werkzeug"
"software_digitaltool/rotordc","2","werkzeug\RotorDC.md","semantic_move","may_duplicate_bauteilboerse_or_akteur"
"software_digitaltool/restado","2","bauteilboerse\restado.md","split_platform_profile","duplicate_with_akteur_or_werkzeug"
"software_digitaltool/restado","2","werkzeug\Restado.md","semantic_move","may_duplicate_bauteilboerse_or_akteur"
"software_digitaltool/salvoweb","2","bauteilboerse\salvoweb.md","split_platform_profile","duplicate_with_akteur_or_werkzeug"
"software_digitaltool/salvoweb","2","werkzeug\SalvoWEB.md","semantic_move","may_duplicate_bauteilboerse_or_akteur"
