"legacy_path","exists","covered_after_phase5","action","target_primary","target_secondary"
"_extract\Gebaeude_Entity_Extraction.md","True","True","archive_as_source","90_import_rohdaten_or_quelle/interne_extraktion",""
"abbruchmethode.md","True","True","merge_into_index","rueckbauverfahren/index",""
"abbruchmethode\Ausbau_von_Bauteilen.md","True","True","move_as_knot","rueckbauverfahren/Ausbau_von_Bauteilen",""
"abbruchmethode\Betonfräsen.md","True","True","move_as_knot","rueckbauverfahren/Betonfraesen",""
"abbruchmethode\Demontage.md","True","True","move_as_knot","rueckbauverfahren/Demontage",""
"abbruchmethode\index.md","True","True","merge_into_index","rueckbauverfahren/index",""
"abbruchmethode\Selektiver_Rueckbau.md","True","True","move_as_knot","rueckbauverfahren/Selektiver_Rueckbau",""
"abbruchmethode\Zerstoerungsarme_Bergung.md","True","True","move_as_knot","rueckbauverfahren/Zerstoerungsarme_Bergung",""
"AGENTS.md","True","True","keep_meta","meta/repo_instruction",""
"akteur\01_oeffentliche_institutionen_foerderung\BBSR_Zukunft_Bau.md","True","True","move_as_core","akteur/BBSR_Zukunft_Bau","akteurtyp/oeffentliche_institutionen_foerderung"
"akteur\01_oeffentliche_institutionen_foerderung\BIM_Berlin.md","True","True","move_as_core","akteur/BIM_Berlin","akteurtyp/oeffentliche_institutionen_foerderung"
"akteur\01_oeffentliche_institutionen_foerderung\Bundesstiftung_Bauakademie.md","True","True","move_as_core","akteur/Bundesstiftung_Bauakademie","akteurtyp/oeffentliche_institutionen_foerderung"
"akteur\01_oeffentliche_institutionen_foerderung\Bundesstiftung_Baukultur.md","True","True","move_as_core","akteur/Bundesstiftung_Baukultur","akteurtyp/oeffentliche_institutionen_foerderung"
"akteur\01_oeffentliche_institutionen_foerderung\ReUse_Berlin.md","True","True","move_as_core","akteur/ReUse_Berlin","akteurtyp/oeffentliche_institutionen_foerderung"
"akteur\01_oeffentliche_institutionen_foerderung\Umweltbundesamt.md","True","True","move_as_core","akteur/Umweltbundesamt","akteurtyp/oeffentliche_institutionen_foerderung"
"akteur\02_kammern_verbaende_ngos_netzwerke\Architects_for_Future_Deutschland.md","True","True","move_as_core","akteur/Architects_for_Future_Deutschland","akteurtyp/kammern_verbaende_ngos_netzwerke"
