"id","target","status"
"Bauteilanzahl","kennwertdefinition/Bauteilanzahl","created"
"Abmessung","kennwertdefinition/Abmessung","created"
"Materialherkunft","kennwertdefinition/Materialherkunft","created"
"Zertifizierung_Auszeichnung","kennwertdefinition/Zertifizierung_Auszeichnung","created"
"Nutzungsumfang","kennwertdefinition/Nutzungsumfang","created"
"Primaermaterial_Einsparung","kennwertdefinition/Primaermaterial_Einsparung","created"
"Wasserkennwert","kennwertdefinition/Wasserkennwert","created"
"Recyclingquote","kennwertdefinition/Recyclingquote","created"
"Energieerzeugung","kennwertdefinition/Energieerzeugung","created"
"U_Wert","kennwertdefinition/U_Wert","created"
"Gebaeudemasse","kennwertdefinition/Gebaeudemasse","created"
"Planungsaufwand","kennwertdefinition/Planungsaufwand","created"
