"legacy_path","target","role","action"
"bauteil\Betonfertigteil.md","bauteiltyp/Betonfertigteil","phase1_primary","move_as_knot"
"tragwerkssystem\Betonfertigteil_System.md","bauteiltyp/Betonfertigteil","phase2_secondary","semantic_split"
"tragwerkssystem\to_sort\Betonfertigteile.md","bauteiltyp/Betonfertigteil","phase2_primary","semantic_review_split"
"bauteil\Deckenplatte.md","bauteiltyp/Deckenplatte","phase1_primary","move_as_knot"
"tragwerkssystem\to_sort\Deckenplatten.md","bauteiltyp/Deckenplatte","phase2_primary","semantic_review_split"
"bauteil\Fachwerktraeger.md","bauteiltyp/Fachwerktraeger","phase1_primary","move_as_knot"
"tragwerkssystem\Dachtragwerk_und_Fachwerk.md","bauteiltyp/Fachwerktraeger","phase2_secondary","semantic_split"
"bauteil\Traeger.md","bauteiltyp/Traeger","phase1_primary","move_as_knot"
"tragwerkssystem\to_sort\Träger.md","bauteiltyp/Traeger","phase2_primary","semantic_review_split"
"datenmodell\Materialpass_Schema.md","datenmodell/Materialpass_Schema","phase1_primary","move_as_knot"
"methode\Materialpass.md","datenmodell/Materialpass_Schema","phase2_secondary","semantic_move"
"dokument\Materialpass.md","dokumenttyp/Materialpass","phase1_primary","move_as_knot"
"methode\Materialpass.md","dokumenttyp/Materialpass","phase2_primary","semantic_move"
"material\Beton.md","material/Beton","phase1_primary","move_as_knot"
"tragwerkssystem\to_sort\Ortbeton.md","material/Beton","phase2_secondary","semantic_review_split"
"material\Holz.md","material/Holz","phase1_primary","move_as_knot"
"material\Holz_Verbindungen.md","material/Holz","phase2_secondary","split_into_knots"
"tragwerkssystem\Holz_Skelettbau.md","material/Holz","phase2_secondary","semantic_split"
"tragwerkssystem\to_sort\Holztragwerk.md","material/Holz","phase2_secondary","semantic_review_split"
"material\Stahl.md","material/Stahl","phase1_primary","move_as_knot"
"material\Stahl_Verbindungen.md","material/Stahl","phase2_secondary","split_into_knots"
"tragwerkssystem\Stahl_Skelettbau.md","material/Stahl","phase2_secondary","semantic_split"
"methode\Design_for_Disassembly.md","reuse_strategie/Design_for_Disassembly","phase1_primary","move_as_knot"
"reuse_strategie\Design_for_Disassembly.md","reuse_strategie/Design_for_Disassembly","phase1_primary","move_as_knot"
"tragwerkssystem\Design_for_Disassembly.md","reuse_strategie/Design_for_Disassembly","phase2_primary","semantic_split"
"akteur\05_reuse_beratung_prozessdienstleister\Concular.md","methode/Pre_Deconstruction_Audit","phase2_secondary","semantic_split"
"akteur\05_reuse_beratung_prozessdienstleister\Concular.md","datenmodell/Gebaeuderessourcenpass","phase2_secondary","semantic_split"
"akteur\05_reuse_beratung_prozessdienstleister\Concular.md","beschaffungsweg/Digitale_Plattform","phase2_secondary","semantic_split"
"akteur\06_bauteilboersen_marktplaetze_handel\Bauteilboerse_Bremen.md","tooltyp/Bauteilboerse","phase2_secondary","semantic_split"
"akteur\06_bauteilboersen_marktplaetze_handel\Bauteilboerse_Hannover.md","tooltyp/Bauteilboerse","phase2_secondary","semantic_split"
"akteur\06_bauteilboersen_marktplaetze_handel\Bauteilnetz_Deutschland.md","tooltyp/Bauteilboerse","phase2_secondary","semantic_split"
"akteur\06_bauteilboersen_marktplaetze_handel\Lindner_Group_ReUsed_Products.md","tooltyp/Bauteilboerse","phase2_secondary","semantic_split"
"akteur\06_bauteilboersen_marktplaetze_handel\Restado.md","tooltyp/Bauteilboerse","phase2_secondary","semantic_split"
"akteur\06_bauteilboersen_marktplaetze_handel\Rotor_DC.md","tooltyp/Bauteilboerse","phase2_secondary","semantic_split"
"akteur\06_bauteilboersen_marktplaetze_handel\Bauteilboerse_Bremen.md","beschaffungsweg/Bauteilboerse","phase2_secondary","semantic_split"
"akteur\06_bauteilboersen_marktplaetze_handel\Bauteilboerse_Hannover.md","beschaffungsweg/Bauteilboerse","phase2_secondary","semantic_split"
"akteur\06_bauteilboersen_marktplaetze_handel\Bauteilnetz_Deutschland.md","beschaffungsweg/Bauteilboerse","phase2_secondary","semantic_split"
"akteur\06_bauteilboersen_marktplaetze_handel\Lindner_Group_ReUsed_Products.md","beschaffungsweg/Bauteilboerse","phase2_secondary","semantic_split"
"akteur\06_bauteilboersen_marktplaetze_handel\Restado.md","beschaffungsweg/Bauteilboerse","phase2_secondary","semantic_split"
"akteur\06_bauteilboersen_marktplaetze_handel\Rotor_DC.md","beschaffungsweg/Bauteilboerse","phase2_secondary","semantic_split"
"akteur\06_bauteilboersen_marktplaetze_handel\Bauteilboerse_Bremen.md","ressourcenquelle/Bauteilboerse","phase2_secondary","semantic_split"
