"legacy_path","action","risk_flags","legacy_type","map_title","raw_target","canonical_target","target_role","target_primary","target_secondary"
"akteur\01_oeffentliche_institutionen_foerderung\BBSR_Zukunft_Bau.md","move_as_core","","","","akteur/BBSR_Zukunft_Bau","akteur/BBSR_Zukunft_Bau","primary","akteur/BBSR_Zukunft_Bau","akteurtyp/oeffentliche_institutionen_foerderung"
"akteur\01_oeffentliche_institutionen_foerderung\BIM_Berlin.md","move_as_core","","","","akteur/BIM_Berlin","akteur/BIM_Berlin","primary","akteur/BIM_Berlin","akteurtyp/oeffentliche_institutionen_foerderung"
"akteur\01_oeffentliche_institutionen_foerderung\Bundesstiftung_Bauakademie.md","move_as_core","","","","akteur/Bundesstiftung_Bauakademie","akteur/Bundesstiftung_Bauakademie","primary","akteur/Bundesstiftung_Bauakademie","akteurtyp/oeffentliche_institutionen_foerderung"
"akteur\01_oeffentliche_institutionen_foerderung\Bundesstiftung_Baukultur.md","move_as_core","","","","akteur/Bundesstiftung_Baukultur","akteur/Bundesstiftung_Baukultur","primary","akteur/Bundesstiftung_Baukultur","akteurtyp/oeffentliche_institutionen_foerderung"
"akteur\01_oeffentliche_institutionen_foerderung\ReUse_Berlin.md","move_as_core","","","","akteur/ReUse_Berlin","akteur/ReUse_Berlin","primary","akteur/ReUse_Berlin","akteurtyp/oeffentliche_institutionen_foerderung"
"akteur\01_oeffentliche_institutionen_foerderung\Umweltbundesamt.md","move_as_core","","","","akteur/Umweltbundesamt","akteur/Umweltbundesamt","primary","akteur/Umweltbundesamt","akteurtyp/oeffentliche_institutionen_foerderung"
"akteur\02_kammern_verbaende_ngos_netzwerke\Architects_for_Future_Deutschland.md","move_as_core","","","","akteur/Architects_for_Future_Deutschland","akteur/Architects_for_Future_Deutschland","primary","akteur/Architects_for_Future_Deutschland","akteurtyp/kammern_verbaende_ngos_netzwerke"
"akteur\02_kammern_verbaende_ngos_netzwerke\Architektenkammer_Berlin_A_Wie_Zirkulaer.md","move_as_core","","","","akteur/Architektenkammer_Berlin_A_Wie_Zirkulaer","akteur/Architektenkammer_Berlin_A_Wie_Zirkulaer","primary","akteur/Architektenkammer_Berlin_A_Wie_Zirkulaer","akteurtyp/kammern_verbaende_ngos_netzwerke"
"akteur\02_kammern_verbaende_ngos_netzwerke\BDA_Bund_Deutscher_Architektinnen_Architekten.md","move_as_core","","","","akteur/BDA_Bund_Deutscher_Architektinnen_Architekten","akteur/BDA_Bund_Deutscher_Architektinnen_Architekten","primary","akteur/BDA_Bund_Deutscher_Architektinnen_Architekten","akteurtyp/kammern_verbaende_ngos_netzwerke"
"akteur\02_kammern_verbaende_ngos_netzwerke\C2C_NGO.md","move_as_core","","","","akteur/C2C_NGO","akteur/C2C_NGO","primary","akteur/C2C_NGO","akteurtyp/kammern_verbaende_ngos_netzwerke"
"akteur\02_kammern_verbaende_ngos_netzwerke\Circular_Berlin.md","move_as_core","","","","akteur/Circular_Berlin","akteur/Circular_Berlin","primary","akteur/Circular_Berlin","akteurtyp/kammern_verbaende_ngos_netzwerke"
"akteur\02_kammern_verbaende_ngos_netzwerke\DGNB.md","move_as_core","","","","akteur/DGNB","akteur/DGNB","primary","akteur/DGNB","akteurtyp/kammern_verbaende_ngos_netzwerke"
"akteur\02_kammern_verbaende_ngos_netzwerke\Phase_Nachhaltigkeit.md","move_as_core","","","","akteur/Phase_Nachhaltigkeit","akteur/Phase_Nachhaltigkeit","primary","akteur/Phase_Nachhaltigkeit","akteurtyp/kammern_verbaende_ngos_netzwerke"
"akteur\02_kammern_verbaende_ngos_netzwerke\re_source_Stiftung.md","move_as_core","","","re!source Stiftung e.V.","akteur/re_source_Stiftung","akteur/re_source_Stiftung","primary","akteur/re_source_Stiftung","akteurtyp/kammern_verbaende_ngos_netzwerke"
"akteur\03_forschung_lehre_wissenstransfer\Bauhaus_Erde.md","move_as_core","","","","akteur/Bauhaus_Erde","akteur/Bauhaus_Erde","primary","akteur/Bauhaus_Erde","akteurtyp/forschung_lehre_wissenstransfer"
"akteur\03_forschung_lehre_wissenstransfer\Natural_Building_Lab.md","move_as_core","","","","akteur/Natural_Building_Lab","akteur/Natural_Building_Lab","primary","akteur/Natural_Building_Lab","akteurtyp/forschung_lehre_wissenstransfer"
"akteur\03_forschung_lehre_wissenstransfer\VDI_ZRE.md","move_as_core","","","","akteur/VDI_ZRE","akteur/VDI_ZRE","primary","akteur/VDI_ZRE","akteurtyp/forschung_lehre_wissenstransfer"
"akteur\03_forschung_lehre_wissenstransfer\Wuppertal_Institut.md","move_as_core","","","","akteur/Wuppertal_Institut","akteur/Wuppertal_Institut","primary","akteur/Wuppertal_Institut","akteurtyp/forschung_lehre_wissenstransfer"
"akteur\04_planung_architektur_ingenieurwesen\baubuero_in_situ_zirkular.md","move_as_core","","","baubÃ¼ro in situ + Zirkular","akteur/baubuero_in_situ_zirkular","akteur/baubuero_in_situ_zirkular","primary","akteur/baubuero_in_situ_zirkular","akteurtyp/planung_architektur_ingenieurwesen"
