"fallstudie","relation","legacy_path","akteur_candidate","beziehung","vertrauensgrad"
"55_Great_Suffolk_Street_London","55_Great_Suffolk_Street_London__001__Fabrix","Gebäude\55_Great_Suffolk_Street_London.md","Fabrix","Developer / Bauherr","belegt"
"55_Great_Suffolk_Street_London","55_Great_Suffolk_Street_London__002__Hawkins_Brown","Gebäude\55_Great_Suffolk_Street_London.md","Hawkins\Brown","Architekt","belegt"
"55_Great_Suffolk_Street_London","55_Great_Suffolk_Street_London__003__Symmetrys","Gebäude\55_Great_Suffolk_Street_London.md","Symmetrys","Structural engineer","belegt"
"55_Great_Suffolk_Street_London","55_Great_Suffolk_Street_London__004__AKT_II","Gebäude\55_Great_Suffolk_Street_London.md","AKT II","Engineering consultant / Mitwirkung Reuse-Initiative","belegt"
"55_Great_Suffolk_Street_London","55_Great_Suffolk_Street_London__005__CBRE","Gebäude\55_Great_Suffolk_Street_London.md","CBRE","Sustainability consultant","belegt"
"55_Great_Suffolk_Street_London","55_Great_Suffolk_Street_London__006__Opera","Gebäude\55_Great_Suffolk_Street_London.md","Opera","Project manager","belegt"
"55_Great_Suffolk_Street_London","55_Great_Suffolk_Street_London__007__Gardiner_Theobald","Gebäude\55_Great_Suffolk_Street_London.md","Gardiner & Theobald","Project manager reclaimed steel initiative","belegt"
"55_Great_Suffolk_Street_London","55_Great_Suffolk_Street_London__008__Cantillon","Gebäude\55_Great_Suffolk_Street_London.md","Cantillon","Demolition contractor donor site 1 Broadgate","belegt"
"55_Great_Suffolk_Street_London","55_Great_Suffolk_Street_London__009__Cleveland_Steel_and_Tubes","Gebäude\55_Great_Suffolk_Street_London.md","Cleveland Steel and Tubes","Reclaimed steel stockholder / supplier","belegt"
"Association_house_Groeditz","Association_house_Groeditz__001__Polony_2008_Mettke_Heyn_Dechantsreiter_als_Liter","Gebäude\Association_house_Groeditz.md","Polony 2008; Mettke/Heyn/Dechantsreiter als Literaturquellen","Quellenbezug","teilweise belegt"
"Association_house_Plauen","Association_house_Plauen__001__Angelika_Mettke_Heyn_et_al_Dechantsreiter_et_al","Gebäude\Association_house_Plauen.md","Angelika Mettke / Heyn et al. / Dechantsreiter et al. / Fischer et al.","Literatur- und Forschungsbezug","teilweise belegt"
"AWM_Muenster_Circular_Office","AWM_Muenster_Circular_Office__001__Abfallwirtschaftsbetriebe_M_nster_urselmann_inte","Gebäude\AWM_Muenster_Circular_Office.md","Abfallwirtschaftsbetriebe Münster, urselmann interior, Concular, Petra Jablonická, Sven Urselmann","Bauherr/Nutzer, Entwurf/Innenausbau, Materialplattform/Ökobilanz","belegt"
"BedZED_London_Hackbridge","BedZED_London_Hackbridge__001__Bill_Dunster_ZEDfactory_BioRegional_Peabody_Trus","Gebäude\BedZED_London_Hackbridge.md","Bill Dunster / ZEDfactory; BioRegional; Peabody Trust; Arup; Ellis & Moore; Gardiner & Theobald","Planung, Entwicklung, Beratung","belegt"
"Berlin_Schildow_Pilot_House","Berlin_Schildow_Pilot_House__001__Claus_Asam_IEMB_TU_Berlin_Architekturb_ro_Conclu","Gebäude\Berlin_Schildow_Pilot_House.md","Claus Asam, IEMB/TU Berlin; Architekturbüro Conclus / Hervé Biele bzw. Joel Biele","Forschung/Planung laut Presse","teilweise belegt"
"Berlin_Schildow_Pilot_House_2","Berlin_Schildow_Pilot_House_2__001__Herv_Biele_Architekturb_ro_Conclus_Claus_Asam_IE","Gebäude\Berlin_Schildow_Pilot_House_2.md","Hervé Biele / Architekturbüro Conclus; Claus Asam / IEMB","Planung/Forschung im Pressekontext","teilweise belegt"
"Berlin_Schildow_Pilot_House_2","Berlin_Schildow_Pilot_House_2__002__Detlev_Lange_Familie_Lange","Gebäude\Berlin_Schildow_Pilot_House_2.md","Detlev Lange / Familie Lange","Bauherr laut Deutschlandfunk-Kontext","teilweise belegt"
"Big_Dig_Building_Boston","Big_Dig_Building_Boston__001__Single_Speed_Design_SsD","Gebäude\Big_Dig_Building_Boston.md","Single Speed Design / SsD","Architektur","belegt"
"Big_Dig_Building_Boston","Big_Dig_Building_Boston__002__John_Hong_Jinhee_Park_Paul_Pedini","Gebäude\Big_Dig_Building_Boston.md","John Hong, Jinhee Park, Paul Pedini","Projektteam / Autoren","teilweise belegt"
"Big_Dig_House_Lexington_Massachusetts","Big_Dig_House_Lexington_Massachusetts__001__Paul_Pedini","Gebäude\Big_Dig_House_Lexington_Massachusetts.md","Paul Pedini","structural engineer, original owner / contractor","belegt"
"Big_Dig_House_Lexington_Massachusetts","Big_Dig_House_Lexington_Massachusetts__002__Single_Speed_Design","Gebäude\Big_Dig_House_Lexington_Massachusetts.md","Single Speed Design","Architekturbüro","belegt"
"Big_Dig_House_Lexington_Massachusetts","Big_Dig_House_Lexington_Massachusetts__003__John_Hong","Gebäude\Big_Dig_House_Lexington_Massachusetts.md","John Hong","Architekt","belegt"
"Big_Dig_House_Lexington_Massachusetts","Big_Dig_House_Lexington_Massachusetts__004__Jinhee_Park","Gebäude\Big_Dig_House_Lexington_Massachusetts.md","Jinhee Park","Architektin","belegt"
"Big_Dig_House_Lexington_Massachusetts","Big_Dig_House_Lexington_Massachusetts__005__Weidlinger_Associates","Gebäude\Big_Dig_House_Lexington_Massachusetts.md","Weidlinger Associates","in einigen Quellen als engineer/architect erwähnt","unklar"
"BioPartner_5_Leiden_Oegstgeest","BioPartner_5_Leiden_Oegstgeest__001__BioPartner_Center_Leiden","Gebäude\BioPartner_5_Leiden_Oegstgeest.md","BioPartner Center Leiden","Bauherr / Auftraggeber","belegt"
"BioPartner_5_Leiden_Oegstgeest","BioPartner_5_Leiden_Oegstgeest__002__Popma_ter_Steege_Architecten_PTSA","Gebäude\BioPartner_5_Leiden_Oegstgeest.md","Popma ter Steege Architecten / PTSA","Architekt","belegt"
"BioPartner_5_Leiden_Oegstgeest","BioPartner_5_Leiden_Oegstgeest__003__IMd_Raadgevende_Ingenieurs","Gebäude\BioPartner_5_Leiden_Oegstgeest.md","IMd Raadgevende Ingenieurs","Tragwerksplanung","belegt"
"BioPartner_5_Leiden_Oegstgeest","BioPartner_5_Leiden_Oegstgeest__004__De_Vries_en_Verburg","Gebäude\BioPartner_5_Leiden_Oegstgeest.md","De Vries en Verburg","Ausführung","belegt"
"BioPartner_5_Leiden_Oegstgeest","BioPartner_5_Leiden_Oegstgeest__005__Vic_Obdam_Staalbouw","Gebäude\BioPartner_5_Leiden_Oegstgeest.md","Vic Obdam Staalbouw","Stahlbau","belegt"
"BioPartner_5_Leiden_Oegstgeest","BioPartner_5_Leiden_Oegstgeest__006__Deerns","Gebäude\BioPartner_5_Leiden_Oegstgeest.md","Deerns","Installationen, Nachhaltigkeit, Bauphysik","belegt"
"BioPartner_5_Leiden_Oegstgeest","BioPartner_5_Leiden_Oegstgeest__007__STONE22","Gebäude\BioPartner_5_Leiden_Oegstgeest.md","STONE22","Projektmanagement / Entwicklung","belegt"
"BlueCity_Offices_Rotterdam","BlueCity_Offices_Rotterdam__001__BlueCity_Superuse_Studios_COUP_Workspot_Floris_S","Gebäude\BlueCity_Offices_Rotterdam.md","BlueCity, Superuse Studios, COUP, Workspot, Floris Schiferli","Auftraggeber, Architektur/Design/Partner","belegt"
"Boulder_Fire_Station_3","Boulder_Fire_Station_3__001__Davis_Partnership_Architects","Gebäude\Boulder_Fire_Station_3.md","Davis Partnership Architects","Architekt","belegt"
"Boulder_Fire_Station_3","Boulder_Fire_Station_3__002__KL_A_Engineers_and_Builders","Gebäude\Boulder_Fire_Station_3.md","KL&A Engineers and Builders","Tragwerksplanung / Stahlreuse-Koordination","belegt"
"Boulder_Fire_Station_3","Boulder_Fire_Station_3__003__Mark_Young_Construction","Gebäude\Boulder_Fire_Station_3.md","Mark Young Construction","Builder","teilweise belegt"
"Brent_Cross_Town_Primary_Substation_London","Brent_Cross_Town_Primary_Substation_London__001__Brent_Cross_South_Limited_Partnership","Gebäude\Brent_Cross_Town_Primary_Substation_London.md","Brent Cross South Limited Partnership","Client / Joint venture Related Argent + London Borough of Barnet","belegt"
"Brent_Cross_Town_Primary_Substation_London","Brent_Cross_Town_Primary_Substation_London__002__Related_Argent","Gebäude\Brent_Cross_Town_Primary_Substation_London.md","Related Argent","Client / development partner","belegt"
"Brent_Cross_Town_Primary_Substation_London","Brent_Cross_Town_Primary_Substation_London__003__London_Borough_of_Barnet","Gebäude\Brent_Cross_Town_Primary_Substation_London.md","London Borough of Barnet","Joint venture partner","belegt"
"Brent_Cross_Town_Primary_Substation_London","Brent_Cross_Town_Primary_Substation_London__004__IF_DO","Gebäude\Brent_Cross_Town_Primary_Substation_London.md","IF_DO","Architekt","belegt"
"Brent_Cross_Town_Primary_Substation_London","Brent_Cross_Town_Primary_Substation_London__005__Arup","Gebäude\Brent_Cross_Town_Primary_Substation_London.md","Arup","Concept structural engineer / design lead","belegt"
"Brent_Cross_Town_Primary_Substation_London","Brent_Cross_Town_Primary_Substation_London__006__Whitby_Wood","Gebäude\Brent_Cross_Town_Primary_Substation_London.md","Whitby Wood","Structural engineer","belegt"
"Brent_Cross_Town_Primary_Substation_London","Brent_Cross_Town_Primary_Substation_London__007__Bourne_Special_Projects_Bourne_Group","Gebäude\Brent_Cross_Town_Primary_Substation_London.md","Bourne Special Projects / Bourne Group","steel structure designer, fabricator, erector / wrap contractor","belegt"
"Brent_Cross_Town_Primary_Substation_London","Brent_Cross_Town_Primary_Substation_London__008__Galldris_Galldris_Group","Gebäude\Brent_Cross_Town_Primary_Substation_London.md","Galldris / Galldris Group","main contractor","belegt"
"Brent_Cross_Town_Primary_Substation_London","Brent_Cross_Town_Primary_Substation_London__009__Cleveland_Steel_and_Tubes","Gebäude\Brent_Cross_Town_Primary_Substation_London.md","Cleveland Steel and Tubes","reclaimed steel stockholder / supplier","belegt"
"Brighton_Waste_House_Brighton","Brighton_Waste_House_Brighton__001__Duncan_Baker_Brown_Cat_Fletcher_Freegle_Mears_Gr","Gebäude\Brighton_Waste_House_Brighton.md","Duncan Baker-Brown, Cat Fletcher/Freegle, Mears Group, Greater Brighton Metropolitan College, Studierende","Beteiligte","belegt"
"Broethen_Twin_House_Hoyerswerda","Broethen_Twin_House_Hoyerswerda__001__unbekannt","Gebäude\Broethen_Twin_House_Hoyerswerda.md","unbekannt","Akteure","unklar"
"Charles_Malis_Molenbeek","Charles_Malis_Molenbeek__001__MAMOUT_architectes","Gebäude\Charles_Malis_Molenbeek.md","MAMOUT architectes","Architekt","belegt"
"Charles_Malis_Molenbeek","Charles_Malis_Molenbeek__002__LD2_architecture","Gebäude\Charles_Malis_Molenbeek.md","LD2 architecture","Architekt","belegt"
"Charles_Malis_Molenbeek","Charles_Malis_Molenbeek__003__St_phanie_Willocx_architecte","Gebäude\Charles_Malis_Molenbeek.md","Stéphanie Willocx architecte","Architektin","belegt"
"Charles_Malis_Molenbeek","Charles_Malis_Molenbeek__004__Commune_de_Molenbeek_Saint_Jean","Gebäude\Charles_Malis_Molenbeek.md","Commune de Molenbeek-Saint-Jean","Bauherr","belegt"
"Charles_Malis_Molenbeek","Charles_Malis_Molenbeek__005__MOBAT_Ing_nierie","Gebäude\Charles_Malis_Molenbeek.md","MOBAT Ingénierie","Tragwerksplanung","belegt"
"Charles_Malis_Molenbeek","Charles_Malis_Molenbeek__006__GTD_Consulting_GTD_Engineering","Gebäude\Charles_Malis_Molenbeek.md","GTD Consulting / GTD Engineering","Technik/Energie","belegt"
"Charles_Malis_Molenbeek","Charles_Malis_Molenbeek__007__Gillion_Construct","Gebäude\Charles_Malis_Molenbeek.md","Gillion Construct","Contractor","belegt"
"Chiro_d_Itterbeek_Dilbeek","Chiro_d_Itterbeek_Dilbeek__001__Rotor_asbl_vzw","Gebäude\Chiro_d_Itterbeek_Dilbeek.md","Rotor asbl-vzw","Entwurf / Design-Build","belegt"
"Chiro_d_Itterbeek_Dilbeek","Chiro_d_Itterbeek_Dilbeek__002__CC_Autrement","Gebäude\Chiro_d_Itterbeek_Dilbeek.md","CC Autrement","Konstrukteur / Ausführung","belegt"
"Christ_Pavilion_Volkenroda","Christ_Pavilion_Volkenroda__001__gmp_Architekten_von_Gerkan_Marg_und_Partner","Gebäude\Christ_Pavilion_Volkenroda.md","gmp · Architekten von Gerkan, Marg und Partner","Architekt","belegt"
"Christ_Pavilion_Volkenroda","Christ_Pavilion_Volkenroda__002__Evangelisches_B_ro_f_r_die_Weltausstellung_Expo","Gebäude\Christ_Pavilion_Volkenroda.md","Evangelisches Büro für die Weltausstellung Expo 2000","Auftraggeber","belegt"
"Christ_Pavilion_Volkenroda","Christ_Pavilion_Volkenroda__003__Kloster_Volkenroda_Jesus_Bruderschaft","Gebäude\Christ_Pavilion_Volkenroda.md","Kloster Volkenroda / Jesus-Bruderschaft","heutiger Betreiber/Kontext","teilweise belegt"
"Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot","Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot__001__cepezed","Gebäude\Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot.md","cepezed","Architekt des circular center","belegt"
"Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot","Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot__002__Provincie_Gelderland","Gebäude\Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot.md","Provincie Gelderland","Auftraggeber/Eigentümer Donor-Kontext","belegt"
"Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot","Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot__003__IMd_raadgevende_ingenieurs","Gebäude\Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot.md","IMd raadgevende ingenieurs","Konstrukteur im Prinsenhof-Projekt","belegt"
"Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot","Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot__004__Dycore","Gebäude\Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot.md","Dycore","Berater Kanalplatten","belegt"
"Circular_Pavilion_Paris","Circular_Pavilion_Paris__001__Encore_Heureux_Architectes","Gebäude\Circular_Pavilion_Paris.md","Encore Heureux Architectes","Architekt / mandataire","belegt"
"Circular_Pavilion_Paris","Circular_Pavilion_Paris__002__TRIBU","Gebäude\Circular_Pavilion_Paris.md","TRIBU","HQE / Umweltberatung","belegt"
"Circular_Pavilion_Paris","Circular_Pavilion_Paris__003__Bonnefrite","Gebäude\Circular_Pavilion_Paris.md","Bonnefrite","Illustration","belegt"
"Circular_Pavilion_Paris","Circular_Pavilion_Paris__004__Camping_Design","Gebäude\Circular_Pavilion_Paris.md","Camping Design","Grafik","belegt"
"Circular_Pavilion_Paris","Circular_Pavilion_Paris__005__Ville_de_Paris_Pavillon_de_l_Arsenal","Gebäude\Circular_Pavilion_Paris.md","Ville de Paris – Pavillon de l’Arsenal","Auftraggeber","belegt"
"Circular_Pavilion_Paris","Circular_Pavilion_Paris__006__technische_Dienste_der_Stadt_Paris","Gebäude\Circular_Pavilion_Paris.md","technische Dienste der Stadt Paris","second œuvre","belegt"
"CRCLR_House_Impact_Hub_Berlin","CRCLR_House_Impact_Hub_Berlin__001__TRNSFRM_eG_Die_Zusammenarbeiter_LXSY_ZRS_Solares","Gebäude\CRCLR_House_Impact_Hub_Berlin.md","TRNSFRM eG; Die Zusammenarbeiter; LXSY; ZRS; Solares Bauen; eZeit; brandkontrolle; Akustik-Ingenieurbüro Moll","Akteure","belegt"
"ELYS_Kultur_Gewerbehaus_Basel","ELYS_Kultur_Gewerbehaus_Basel__001__Immobilien_Basel_Stadt_Hochbauamt_Basel_Stadt_ba","Gebäude\ELYS_Kultur_Gewerbehaus_Basel.md","Immobilien Basel-Stadt; Hochbauamt Basel-Stadt; baubüro in situ; S+B; Jauslin Stebler; Pro Engineering; Haustec; Rapp AG; Husner AG Holzbau; Zirkular","Akteure","belegt"
"Europa_Building_Brussels","Europa_Building_Brussels__001__Philippe_Samyn_and_Partners_Studio_Valle_Progett","Gebäude\Europa_Building_Brussels.md","Philippe Samyn and Partners; Studio Valle Progettazioni; Buro Happold; Belgian Buildings Agency / Regie der Gebouwen","Akteure","belegt"
"Ferme_du_Rail_Paris","Ferme_du_Rail_Paris__001__Grand_Huit","Gebäude\Ferme_du_Rail_Paris.md","Grand Huit","Architekt","belegt"
"Ferme_du_Rail_Paris","Ferme_du_Rail_Paris__002__Bellastock","Gebäude\Ferme_du_Rail_Paris.md","Bellastock","AMO / Reuse-Logistik","belegt"
"Ferme_du_Rail_Paris","Ferme_du_Rail_Paris__003__Travail_Vie","Gebäude\Ferme_du_Rail_Paris.md","Travail & Vie","Betreiber / soziale Integration","belegt"
"Ferme_du_Rail_Paris","Ferme_du_Rail_Paris__004__R_habail","Gebäude\Ferme_du_Rail_Paris.md","Réhabail","Bauherr / privater Auftraggeber","belegt"
"Ferme_du_Rail_Paris","Ferme_du_Rail_Paris__005__Albert_Compagnie","Gebäude\Ferme_du_Rail_Paris.md","Albert & Compagnie","Nachhaltigkeitsberatung","belegt"
"Ferme_du_Rail_Paris","Ferme_du_Rail_Paris__006__Pouget_Consultants","Gebäude\Ferme_du_Rail_Paris.md","Pouget Consultants","Thermik","belegt"
"Ferme_du_Rail_Paris","Ferme_du_Rail_Paris__007__Scoping","Gebäude\Ferme_du_Rail_Paris.md","Scoping","BE TCE","belegt"
"Ferme_du_Rail_Paris","Ferme_du_Rail_Paris__008__M_lanie_Devret","Gebäude\Ferme_du_Rail_Paris.md","Mélanie Devret","Landschaftsplanung","belegt"
"Ferme_du_Rail_Paris","Ferme_du_Rail_Paris__009__Philippe_Peiger","Gebäude\Ferme_du_Rail_Paris.md","Philippe Peiger","urbaner Agro-Ökologe","belegt"
"gjG_House_Gentbrugge","gjG_House_Gentbrugge__001__BLAF_Architecten","Gebäude\gjG_House_Gentbrugge.md","BLAF Architecten","Architekt","belegt"
"gjG_House_Gentbrugge","gjG_House_Gentbrugge__002__Tecclem","Gebäude\gjG_House_Gentbrugge.md","Tecclem","Stabilität / Tragwerk","belegt"
"gjG_House_Gentbrugge","gjG_House_Gentbrugge__003__G_build","Gebäude\gjG_House_Gentbrugge.md","G-build","Structural work","belegt"
"gjG_House_Gentbrugge","gjG_House_Gentbrugge__004__Vlieghe","Gebäude\gjG_House_Gentbrugge.md","Vlieghe","Carpentry","belegt"
"gjG_House_Gentbrugge","gjG_House_Gentbrugge__005__Barbara_Oelbrandt","Gebäude\gjG_House_Gentbrugge.md","Barbara Oelbrandt","EPB","belegt"
"Grande_Halle_de_Colombelles","Grande_Halle_de_Colombelles__001__Normandie_Am_nagement","Gebäude\Grande_Halle_de_Colombelles.md","Normandie Aménagement","Bauherr / Commanditaire","belegt"
"Grande_Halle_de_Colombelles","Grande_Halle_de_Colombelles__002__Encore_Heureux","Gebäude\Grande_Halle_de_Colombelles.md","Encore Heureux","Architekt","belegt"
"Grande_Halle_de_Colombelles","Grande_Halle_de_Colombelles__003__Construire","Gebäude\Grande_Halle_de_Colombelles.md","Construire","Architekt","belegt"
"Grande_Halle_de_Colombelles","Grande_Halle_de_Colombelles__004__Le_WIP","Gebäude\Grande_Halle_de_Colombelles.md","Le WIP","Betreiber und Inhaber Lot 01 Reuse","belegt"
"Grande_Halle_de_Colombelles","Grande_Halle_de_Colombelles__005__St_phanie_Paly","Gebäude\Grande_Halle_de_Colombelles.md","Stéphanie Paly","Co-traitance Lot 1","belegt"
"Grande_Halle_de_Colombelles","Grande_Halle_de_Colombelles__006__Ligne_B_E","Gebäude\Grande_Halle_de_Colombelles.md","Ligne B.E.","Tragwerksplanung","belegt"
"Grande_Halle_de_Colombelles","Grande_Halle_de_Colombelles__007__Albert_Co","Gebäude\Grande_Halle_de_Colombelles.md","Albert & Co","Umwelt/HQE/technische Leitung","belegt"
"Grubenstrasse_29_Werkhof_29_Zuerich","Grubenstrasse_29_Werkhof_29_Zuerich__001__Marc_Angst_This_Alder_Oliver_Zbinden_u_a","Gebäude\Grubenstrasse_29_Werkhof_29_Zuerich.md","Marc Angst, This Alder, Oliver Zbinden u. a.","Projektteam / Bauteiljagd / Führung","teilweise belegt"
"Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere","Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere__001__Skanska_Finland","Gebäude\Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md","Skanska Finland","Bauunternehmen","belegt"
"Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere","Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere__002__Tampere_University_Satu_Huuhka","Gebäude\Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md","Tampere University / Satu Huuhka","ReCreate-Koordination","belegt"
"Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere","Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere__003__Consolis_Parma","Gebäude\Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md","Consolis Parma","Qualitätskontrolle und Aufbereitung","belegt"
